Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Lucky You (feat. Joyner Lucas),Eminem; Joyner Lucas,4.798.694,1,1,7
2,In My Feelings,Drake,4.173.686,1,2,70
3,The Ringer,Eminem,3.678.081,1,3,7
4,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,3.387.889,3,4,56
5,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,3.135.257,2,5,98
6,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,3.098.537,6,8,21
7,SICKO MODE,Travis Scott,3.075.612,2,7,35
8,FEFE,6ix9ine; Nicki Minaj; Murda Beatz,3.073.955,2,6,47
9,In My Mind,Dynoro; Gigi D'Agostino,2.917.606,6,9,65
10,Happier,Marshmello; Bastille,2.900.460,10,10,21
11,Lucid Dreams,Juice WRLD,2.865.234,2,12,117
12,Fall,Eminem,2.770.213,11,11,7
13,No Brainer,DJ Khaled; Justin Bieber; Quavo; Chance the Rapper,2.687.479,2,15,42
14,Not Alike (feat. Royce Da 5'9),Eminem; Royce Da 5'9",2.531.833,9,14,7
15,Taste (feat. Offset),Tyga; Offset,2.530.038,5,16,112
16,Greatest,Eminem,2.506.383,4,13,7
17,God is a woman,Ariana Grande,2.482.817,2,17,56
18,Be Alright,Dean Lewis,2.348.002,18,19,47
19,I Like It,Cardi B; Bad Bunny; J Balvin,2.322.308,2,21,154
20,breathin,Ariana Grande,2.297.890,2,20,21
21,SAD!,XXXTENTACION,2.253.923,1,22,189
22,Vaina Loca,Ozuna; Manuel Turizo,2.246.889,13,23,70
23,Kamikaze,Eminem,2.199.705,13,18,7
24,Body,Loud Luxury; Brando,2.155.490,18,24,102
25,BEBE,6ix9ine; Anuel AA,2.125.761,25,28,7
26,Better Now,Post Malone,2.103.564,1,26,133
27,Rise,Jonas Blue; Jack & Jack,2.062.694,11,25,95
28,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,2.006.596,7,27,112
29,Youngblood,5 Seconds of Summer,1.965.477,6,31,147
30,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,1.965.123,11,30,112
31,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,1.952.613,7,33,146
32,Nonstop,Drake,1.877.111,1,35,70
33,Moonlight,XXXTENTACION,1.876.197,2,34,175
34,Natural,Imagine Dragons,1.806.365,34,37,49
35,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1.773.625,1,36,154
36,Normal,Eminem,1.746.583,15,29,7
37,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,1.703.143,28,41,35
38,Stepping Stone,Eminem,1.693.319,19,32,7
39,Happy Now,Zedd; Elley Duhé,1.607.560,27,39,49
40,Sin Pijama,Becky G; NATTI NATASHA,1.600.665,20,42,136
41,No Es Justo,J Balvin; Zion & Lennox,1.591.117,27,43,77
42,Venom - Music From The Motion Picture,Eminem,1.564.605,32,38,7
43,STARGAZING,Travis Scott,1.529.656,2,47,35
44,God's Plan,Drake,1.519.712,1,45,230
45,Shotgun,George Ezra,1.491.407,35,48,76
46,no tears left to cry,Ariana Grande,1.484.108,2,46,140
47,Whenever (feat. Conor Maynard),Kris Kross Amsterdam; The Boy Next Door; Conor Maynard,1.462.479,42,50,35
48,Good Guy (feat. Jessie Reyez),Eminem; Jessie Reyez,1.451.309,38,40,7
49,Thunderclouds (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,1.435.223,46,52,28
50,Jocelyn Flores,XXXTENTACION,1.380.719,2,51,378
51,rockstar (feat. 21 Savage),Post Malone; 21 Savage,1.330.623,1,54,357
52,Paul - Skit,Paul Rosenberg,1.301.050,20,44,7
53,Nice Guy (with Jessie Reyez),Eminem; Jessie Reyez,1.296.218,37,49,7
54,High Hopes,Panic! At The Disco,1.271.968,45,55,77
55,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,1.242.828,1,57,196
56,changes,XXXTENTACION,1.240.503,4,56,82
57,Don't Leave Me Alone (feat. Anne-Marie),David Guetta; Anne-Marie,1.232.020,51,60,42
58,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,1.218.917,14,61,105
59,Yes Indeed,Lil Baby; Drake,1.204.953,12,63,115
60,Cuando Te Besé,Becky G; Paulo Londra,1.204.248,57,65,35
61,Clandestino,Shakira; Maluma,1.201.495,34,64,91
62,Nevermind,Dennis Lloyd,1.198.584,17,58,179
63,2002,Anne-Marie,1.175.576,25,59,140
64,Ocean (feat. Khalid),Martin Garrix; Khalid,1.164.719,13,62,84
65,Shape of You,Ed Sheeran,1.155.021,1,68,609
66,Born To Be Yours,Kygo; Imagine Dragons,1.151.137,22,66,84
67,Nice For What,Drake,1.138.098,1,67,153
68,SWISH,Tyga,1.134.491,51,76,43
69,Mala Mía,Maluma,1.133.770,59,72,28
70,I'm a Mess,Bebe Rexha,1.118.291,47,69,77
71,Em Calls Paul - Skit,Eminem,1.108.316,29,53,7
72,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1.106.310,4,70,120
73,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,1.101.361,5,71,81
74,No Me Acuerdo,Thalia; NATTI NATASHA,1.038.784,62,73,52
75,Asesina,Brytiago; Darell,1.027.153,67,77,70
76,Believer,Imagine Dragons,1.016.979,15,75,582
77,IDGAF,Dua Lipa,1.006.286,3,74,255
78,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo; David Guetta; Nicki Minaj; Willy William,1.002.452,63,79,11
79,Mo Bamba,Sheck Wes,992.781,78,78,25
80,Havana (feat. Young Thug),Camila Cabello; Young Thug,984.311,1,80,399
81,Darkside,Alan Walker; Au/Ra; Tomine Harket,978.790,63,87,42
82,Me Niego (feat. Ozuna & Wisin),Reik; Ozuna; Wisin,968.494,20,81,202
83,lovely (with Khalid),Billie Eilish; Khalid,962.161,19,82,137
84,X (feat. Maluma & Ozuna) - Remix,Nicky Jam; J Balvin; Maluma; Ozuna,945.876,33,86,70
85,Lean Wit Me,Juice WRLD,942.668,79,84,33
86,Quiere Beber,Anuel AA,940.473,86,92,20
87,New Rules,Dua Lipa,940.106,2,91,424
88,Feels Like Summer,Childish Gambino,935.279,88,116,4
89,All Girls Are The Same,Juice WRLD,934.734,47,89,118
90,FRIENDS,Marshmello; Anne-Marie,932.430,3,88,210
91,The Middle,Zedd; Maren Morris; Grey,929.353,6,83,224
92,Thunder,Imagine Dragons,927.852,7,90,497
93,High On Life (feat. Bonn),Martin Garrix; Bonn,917.229,85,97,35
94,Don’t Matter To Me (with Michael Jackson),Drake; Michael Jackson,911.974,1,85,70
95,La player (Bandolera),Zion & Lennox,907.623,47,95,171
96,Look Alive (feat. Drake),BlocBoy JB; Drake,907.244,6,93,210
97,YOSEMITE,Travis Scott,901.341,17,94,35
98,Perfect,Ed Sheeran,892.060,3,96,553
99,X,Nicky Jam; J Balvin,876.289,3,98,189
100,BIG BANK (feat. 2 Chainz Big Sean Nicki Minaj),YG; 2 Chainz; Big Sean; Nicki Minaj,864.060,70,101,72
101,Love Lies (with Normani),Khalid; Normani,860.005,9,99,203
102,1 2 3 (feat. Jason Derulo & De La Ghetto),Sofía Reyes; Jason Derulo; De La Ghetto,857.653,31,100,199
103,Side Effects,The Chainsmokers; Emily Warren,843.981,54,109,42
104,Toda - Remix,Alex Rose; Cazzu; Rauw Alejandro; Lenny Tavárez,838.163,104,107,23
105,Unica,Ozuna,837.287,55,104,104
106,I Fall Apart,Post Malone,836.712,10,105,347
107,Everybody Dies In Their Nightmares,XXXTENTACION,835.541,6,103,81
108,Wasted (feat. Lil Uzi Vert),Juice WRLD; Lil Uzi Vert,833.122,66,106,58
109,I Like Me Better,Lauv,832.137,24,102,26
110,Taking A Walk,Trippie Redd,809.409,28,110,31
111,WORKIN ME,Quavo,804.284,105,108,28
112,XO Tour Llif3,Lil Uzi Vert,802.775,9,114,531
113,REMEDY,Alesso,802.410,113,141,4
114,Hipócrita,Anuel AA; Zion,798.231,111,115,39
115,Tie Me Down (with Elley Duhé),Gryffin; Elley Duhé,795.049,98,111,26
116,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental; Jess Glynne; Macklemore; Dan Caplen,787.309,9,113,228
117,Look At Me!,XXXTENTACION,786.464,21,112,81
118,Mi Cama - Remix,KAROL G; J Balvin; Nicky Jam,776.931,67,119,42
119,Amigos Con Derechos,Reik; Maluma,769.338,119,122,6
120,8 Letters,Why Don't We,769.189,111,117,9
