Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,thank u next,Ariana Grande,5.701.102,1,1,40
2,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,3.670.143,1,2,77
3,Without Me,Halsey,3.341.066,3,3,70
4,All I Want for Christmas Is You,Mariah Carey,3.320.934,1,4,40
5,MIA,Bad Bunny; Drake,2.946.389,1,5,64
6,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,2.936.150,4,6,57
7,SICKO MODE,Travis Scott,2.741.427,2,7,133
8,Happier,Marshmello; Bastille,2.612.543,2,8,119
9,Going Bad (feat. Drake),Meek Mill; Drake,2.575.555,8,10,14
10,Last Christmas,Wham!,2.573.964,2,11,28
11,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,2.557.961,3,9,63
12,Sweet but Psycho,Ava Max,2.370.928,12,12,78
13,Adan y Eva,Paulo Londra,2.306.354,11,13,38
14,Shallow,Lady Gaga; Bradley Cooper,2.138.485,5,14,77
15,Santa Tell Me,Ariana Grande,2.131.875,6,20,27
16,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,2.079.216,12,17,92
17,Mo Bamba,Sheck Wes,2.044.489,10,18,123
18,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION; Lil Pump; Swae Lee; Maluma,2.019.534,3,16,50
19,whoa (mind in awe),XXXTENTACION,1.940.883,3,15,7
20,Bohemian Rhapsody - Remastered 2011,Queen,1.933.301,10,21,65
21,It's Beginning to Look a Lot like Christmas,Michael Bublé,1.926.718,3,27,26
22,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson; Miley Cyrus,1.922.235,22,22,14
23,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,1.893.709,3,24,154
24,Lucid Dreams,Juice WRLD,1.882.120,2,28,215
25,BAD!,XXXTENTACION,1.865.599,4,19,35
26,when the party's over,Billie Eilish,1.856.085,11,23,58
27,SAD!,XXXTENTACION,1.855.687,1,25,287
28,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,1.846.117,2,29,196
29,Better,Khalid,1.824.695,7,26,91
30,Jingle Bell Rock,Bobby Helms,1.803.439,11,32,23
31,Better Now,Post Malone,1.757.558,1,30,231
32,Rockin' Around The Christmas Tree,Brenda Lee,1.755.218,4,34,26
33,High Hopes,Panic! At The Disco,1.714.818,31,31,175
34,KIKA,6ix9ine; Tory Lanez,1.672.902,3,33,17
