Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Lucky You (feat. Joyner Lucas),Eminem; Joyner Lucas,5.360.080,1,1,5
2,The Ringer,Eminem,4.548.906,1,3,5
3,In My Feelings,Drake,4.276.722,1,2,68
4,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,3.466.147,3,4,54
5,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,3.223.887,2,5,96
6,Greatest,Eminem,3.167.182,4,7,5
7,FEFE,6ix9ine; Nicki Minaj; Murda Beatz,3.128.006,2,6,45
8,SICKO MODE,Travis Scott,3.062.973,2,9,33
9,Not Alike (feat. Royce Da 5'9),Eminem; Royce Da 5'9",3.030.733,9,13,5
10,In My Mind,Dynoro; Gigi D'Agostino,2.972.547,6,8,63
11,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,2.968.633,9,11,19
12,Fall,Eminem,2.878.995,12,15,5
13,Lucid Dreams,Juice WRLD,2.831.024,2,10,115
14,Happier,Marshmello; Bastille,2.822.244,13,14,19
15,No Brainer,DJ Khaled; Justin Bieber; Quavo; Chance the Rapper,2.763.658,2,12,40
16,Kamikaze,Eminem,2.730.315,13,17,5
17,God is a woman,Ariana Grande,2.564.929,2,16,54
18,Taste (feat. Offset),Tyga; Offset,2.532.820,5,18,110
19,Be Alright,Dean Lewis,2.381.435,19,22,45
20,breathin,Ariana Grande,2.370.384,2,20,19
21,I Like It,Cardi B; Bad Bunny; J Balvin,2.354.826,2,19,152
22,Vaina Loca,Ozuna; Manuel Turizo,2.265.224,13,23,68
23,Normal,Eminem,2.262.095,15,26,5
24,SAD!,XXXTENTACION,2.260.233,1,21,187
25,Body,Loud Luxury; Brando,2.210.357,18,25,100
26,Rise,Jonas Blue; Jack & Jack,2.191.987,11,24,93
27,Stepping Stone,Eminem,2.171.646,19,30,5
28,Better Now,Post Malone,2.108.302,1,28,131
29,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,2.085.072,7,27,110
30,BEBE,6ix9ine; Anuel AA,2.058.826,29,29,5
31,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,2.017.288,11,31,110
32,Youngblood,5 Seconds of Summer,2.002.115,6,32,145
33,Venom - Music From The Motion Picture,Eminem,1.912.084,32,35,5
34,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,1.908.825,7,33,144
35,Moonlight,XXXTENTACION,1.811.210,2,36,173
36,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1.810.262,1,34,152
