Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,thank u next,Ariana Grande,5.043.377,1,1,22
2,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,4.135.425,1,2,59
3,MIA,Bad Bunny; Drake,3.079.633,1,3,46
4,Happier,Marshmello; Bastille,2.725.457,2,4,101
5,Without Me,Halsey,2.681.653,4,5,52
6,SICKO MODE,Travis Scott,2.596.751,2,6,115
7,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,2.560.128,3,7,45
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,2.438.699,4,8,39
9,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION; Lil Pump; Swae Lee; Maluma,2.361.322,3,9,32
10,Bohemian Rhapsody - Remastered 2011,Queen,2.360.141,10,10,47
11,Mo Bamba,Sheck Wes,2.348.936,10,12,105
12,Shallow,Lady Gaga; Bradley Cooper,2.313.475,5,11,59
13,All I Want for Christmas Is You,Mariah Carey,2.191.027,1,16,22
14,when the party's over,Billie Eilish,2.092.332,11,15,40
15,Adan y Eva,Paulo Londra,2.028.718,14,14,20
16,Sweet but Psycho,Ava Max,2.001.245,13,13,60
17,BAD!,XXXTENTACION,1.814.001,4,17,17
18,Better,Khalid,1.812.243,7,20,73
19,Lucid Dreams,Juice WRLD,1.759.729,2,21,197
20,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,1.732.517,12,22,74
21,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,1.728.985,2,19,178
22,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,1.694.263,3,23,136
23,In My Mind,Dynoro; Gigi D'Agostino,1.619.906,4,18,145
24,SAD!,XXXTENTACION,1.617.675,1,25,269
25,come out and play,Billie Eilish,1.605.815,19,31,5
26,Be Alright,Dean Lewis,1.551.320,12,28,127
27,Better Now,Post Malone,1.509.587,1,30,213
28,Moonlight,XXXTENTACION,1.490.397,2,32,255
29,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,1.488.925,4,24,101
30,Woman Like Me (feat. Nicki Minaj),Little Mix; Nicki Minaj,1.466.045,21,29,45
31,Let You Love Me,Rita Ora,1.462.660,24,26,66
32,Vaina Loca,Ozuna; Manuel Turizo,1.454.911,12,27,150
33,Falling Down - Bonus Track,Lil Peep; XXXTENTACION,1.446.358,2,37,68
34,Ruin My Life,Zara Larsson,1.437.854,26,36,38
35,Kiss and Make Up,Dua Lipa; BLACKPINK,1.437.148,13,33,38
36,Another One Bites The Dust - Remastered 2011,Queen,1.423.202,32,34,30
37,Bad Liar,Imagine Dragons,1.419.204,12,38,17
38,Last Christmas,Wham!,1.413.121,2,51,10
39,BEBE,6ix9ine; Anuel AA,1.393.613,13,35,87
40,lovely (with Khalid),Billie Eilish; Khalid,1.386.435,19,47,217
41,Wake Up in the Sky,Gucci Mane; Bruno Mars; Kodak Black,1.343.564,24,41,73
42,Santa Tell Me,Ariana Grande,1.333.341,6,55,9
43,Happy Now,Kygo; Sandro Cavazza,1.317.781,34,39,31
44,Natural,Imagine Dragons,1.299.466,13,40,129
45,In My Feelings,Drake,1.283.130,1,42,150
46,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding; Diplo; Swae Lee,1.256.926,39,49,31
47,High Hopes,Panic! At The Disco,1.237.254,40,46,157
48,Youngblood,5 Seconds of Summer,1.232.170,6,50,227
49,Taste (feat. Offset),Tyga; Offset,1.229.471,5,44,192
50,Cuando Te Besé,Becky G; Paulo Londra,1.220.883,39,43,115
51,Ella Quiere Beber - Remix,Anuel AA; Romeo Santos,1.190.506,45,45,23
52,I Love It (& Lil Pump),Kanye West; Lil Pump,1.182.528,1,48,80
53,Rockin' Around The Christmas Tree,Brenda Lee,1.178.655,4,66,8
54,It's Beginning to Look a Lot like Christmas,Michael Bublé,1.175.535,3,78,8
55,Somebody To Love - Remastered 2011,Queen,1.159.852,45,53,24
56,Don't Stop Me Now - Remastered 2011,Queen,1.157.269,47,52,30
57,Armed And Dangerous,Juice WRLD,1.111.026,35,59,17
58,I Like It,Cardi B; Bad Bunny; J Balvin,1.105.530,2,54,234
59,rockstar (feat. 21 Savage),Post Malone; 21 Savage,1.100.266,1,56,437
60,FEFE,6ix9ine; Nicki Minaj; Murda Beatz,1.094.169,2,60,127
61,Love Someone,Lukas Graham,1.089.262,50,64,77
62,Under Pressure - Remastered 2011,Queen; David Bowie,1.087.238,50,58,25
63,breathin,Ariana Grande,1.080.006,2,63,101
64,Jingle Bell Rock,Bobby Helms,1.076.095,11,80,5
65,Jocelyn Flores,XXXTENTACION,1.073.011,2,65,458
66,Calma - Remix,Pedro Capó; Farruko,1.072.846,61,62,16
67,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,1.045.299,7,61,226
68,bellyache,Billie Eilish,1.036.812,68,84,9
69,SOLO,JENNIE,1.032.634,64,77,14
70,Imposible,Luis Fonsi; Ozuna,1.029.830,55,57,38
71,Nonstop,Drake,1.004.540,1,68,150
72,It's the Most Wonderful Time of the Year,Andy Williams,992.787,7,102,4
73,Leave Me Alone,Flipp Dinero,992.659,67,75,80
74,God's Plan,Drake,961.412,1,74,310
75,No Stylist (feat. Drake),French Montana; Drake,946.110,23,70,66
76,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,944.155,28,89,115
77,no tears left to cry,Ariana Grande,941.208,2,79,220
78,Amigos Con Derechos,Reik; Maluma,939.103,64,67,86
79,Ya No Tiene Novio,Sebastian Yatra; Mau y Ricky,938.498,61,69,90
80,We Will Rock You - Remastered 2011,Queen,935.023,63,76,24
81,Shape of You,Ed Sheeran,934.026,1,73,689
82,Do They Know It's Christmas? - 1984 Version,Band Aid,931.242,3,114,4
83,Bubalu,Becky G; Prince Royce; DJ Luian; Mambo Kingz; Anuel AA,930.788,67,72,19
84,Money,Cardi B,926.765,28,86,33
85,Rise,Jonas Blue; Jack & Jack,924.211,11,71,175
86,idontwannabeyouanymore,Billie Eilish,920.191,82,108,29
87,God is a woman,Ariana Grande,919.952,2,92,136
88,Believer,Imagine Dragons,916.624,15,83,662
89,Topanga,Trippie Redd,914.726,38,97,34
90,2002,Anne-Marie,911.068,25,94,220
91,changes,XXXTENTACION,907.514,4,101,162
92,10 Freaky Girls (with 21 Savage),Metro Boomin; 21 Savage,901.332,33,90,24
93,Adictiva,Daddy Yankee; Anuel AA,881.019,81,81,14
94,Always Remember Us This Way,Lady Gaga,878.344,33,100,49
95,Killer Queen - Remastered 2011,Queen,871.290,80,93,23
96,Mala Mía,Maluma,867.561,47,87,108
97,Shotgun,George Ezra,866.014,35,88,156
98,Culpables,KAROL G; Anuel AA,861.153,80,95,72
99,Mistletoe,Justin Bieber,853.959,19,124,8
100,Body,Loud Luxury; Brando,852.400,18,85,182
101,Electricity (with Dua Lipa),Silk City; Dua Lipa; Diplo; Mark Ronson,850.196,13,82,81
102,I Found You (with Calvin Harris),benny blanco; Calvin Harris,849.855,55,98,24
103,This Feeling,The Chainsmokers; Kelsea Ballerini,845.349,19,104,66
104,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,843.922,5,110,161
105,No Es Justo,J Balvin; Zion & Lennox,834.482,27,96,157
106,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,832.713,1,105,276
107,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,826.913,1,91,234
108,Perfect,Ed Sheeran,822.810,3,111,633
109,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,820.735,7,99,192
110,Desconocidos,Mau y Ricky; Manuel Turizo; Camilo,807.827,100,103,16
111,ocean eyes,Billie Eilish,799.577,92,131,15
112,Fine China,Future; Juice WRLD,788.178,15,113,41
113,IDGAF,Dua Lipa,786.840,3,109,335
114,Reggaeton,J Balvin,766.746,98,107,3
115,Baller los,MERO,765.625,115,135,2
116,Havana (feat. Young Thug),Camila Cabello; Young Thug,764.547,1,112,479
117,Ibiza,Ozuna; Romeo Santos,754.229,93,106,49
118,Beach House,The Chainsmokers,752.210,50,125,10
119,Waste It On Me,Steve Aoki; BTS,751.987,30,122,32
120,Thunder,Imagine Dragons,750.780,7,115,577
121,I Fall Apart,Post Malone,749.219,10,129,427
122,FRIENDS,Marshmello; Anne-Marie,747.370,3,116,290
123,Thunderclouds (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,745.449,30,117,108
124,Holly Jolly Christmas,Michael Bublé,744.991,28,151,2
125,Never Recover (Lil Baby & Gunna Drake),Lil Baby; Gunna; Drake,741.272,15,123,52
126,Have Yourself A Merry Little Christmas,Sam Smith,736.433,23,153,2
127,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra; B. Swanson Quartet,732.735,15,143,3
128,Lucky You (feat. Joyner Lucas),Eminem; Joyner Lucas,731.225,1,120,87
129,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,730.531,16,157,2
130,White Christmas,Bing Crosby; Ken Darby Singers; John Scott Trotter & His Orchestra,730.199,10,152,2
131,New Rules,Dua Lipa,729.063,2,119,504
132,Say My Name,David Guetta; Bebe Rexha; J Balvin,717.983,37,118,73
133,Say You Won't Let Go,James Arthur,709.093,7,138,694
134,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,706.231,4,133,200
135,The Middle,Zedd; Maren Morris; Grey,702.583,6,130,304
136,Happy Xmas (War Is Over) - Remastered 2010,John Lennon; Yoko Ono,696.864,7,171,2
137,Sin Pijama,Becky G; NATTI NATASHA,691.473,20,121,216
138,Too Good At Goodbyes,Sam Smith,690.155,1,147,444
139,Asesina - Remix,Brytiago; Daddy Yankee; Ozuna; Darell; Anuel AA,688.007,111,126,24
140,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur; Anne-Marie,687.211,131,154,3
141,Toda - Remix,Alex Rose; Cazzu; Rauw Alejandro; Lenny Tavárez,684.494,97,128,103
142,I Like Me Better,Lauv,680.563,24,145,106
143,Everybody Dies In Their Nightmares,XXXTENTACION,680.112,6,146,161
144,Quiere Beber,Anuel AA,673.430,39,127,100
145,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,671.581,11,132,192
146,All Girls Are The Same,Juice WRLD,663.163,47,149,198
147,Yes Indeed,Lil Baby; Drake,659.755,12,144,195
148,Noticed,Lil Mosey,657.303,38,137,86
149,XO Tour Llif3,Lil Uzi Vert,656.707,9,141,611
150,Closer,The Chainsmokers; Halsey,654.450,2,140,335
151,I'm a Mess,Bebe Rexha,654.096,47,139,157
152,Don't Come Out The House (with 21 Savage),Metro Boomin; 21 Savage,650.350,39,136,24
153,PPP,Kevin Roldan,647.865,117,134,46
154,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,627.188,14,142,185
155,Space Cadet (feat. Gunna),Metro Boomin; Gunna,626.458,47,156,24
156,Lean Wit Me,Juice WRLD,626.203,79,164,113
157,Suncity (feat. Empress Of),Khalid; Empress Of,624.428,19,150,38
158,Congratulations,Post Malone; Quavo,623.379,20,155,671
159,Driving Home for Christmas,Chris Rea,616.012,8,—,1
160,The Christmas Song (Merry Christmas To You),Nat King Cole,614.845,17,—,1
161,There's No Way (feat. Julia Michaels),Lauv; Julia Michaels,613.327,70,170,56
162,Underneath the Tree,Kelly Clarkson,609.204,50,—,1
163,you should see me in a crown,Billie Eilish,608.783,53,190,8
164,We Are The Champions - Remastered 2011,Queen,603.903,148,160,16
165,Look At Me!,XXXTENTACION,602.370,21,158,161
166,Saturday Nights,Khalid,600.751,52,—,1
167,Look Alive (feat. Drake),BlocBoy JB; Drake,596.468,6,167,290
168,Only Want You,Rita Ora,596.410,101,163,3
169,Thinking out Loud,Ed Sheeran,595.277,43,174,51
170,Photograph,Ed Sheeran,592.014,40,180,15
171,Happy Now,Zedd; Elley Duhé,590.937,27,165,129
172,Nice For What,Drake,590.473,1,168,233
173,STARGAZING,Travis Scott,589.425,2,172,115
174,1400 / 999 Freestyle,Trippie Redd; Juice WRLD,588.115,62,176,17
175,Happier,Ed Sheeran,585.410,7,200,16
