Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,God's Plan,Drake,6.213.030,1,1,16
2,Havana (feat. Young Thug),Camila Cabello; Young Thug,3.172.622,1,2,185
3,rockstar (feat. 21 Savage),Post Malone; 21 Savage,3.132.522,1,3,143
4,Finesse - Remix; feat. Cardi B,Bruno Mars; Cardi B,2.662.090,4,4,32
5,IDGAF,Dua Lipa,2.592.460,5,5,41
6,Pray For Me,The Weeknd; Kendrick Lamar,2.445.349,6,8,3
7,River (feat. Ed Sheeran),Eminem; Ed Sheeran,2.431.583,2,6,52
8,Échame La Culpa,Luis Fonsi; Demi Lovato,2.323.651,5,7,80
9,Never Be the Same,Camila Cabello,2.206.537,4,9,60
10,Let You Down,NF,2.132.706,6,11,123
11,New Rules,Dua Lipa,2.085.931,2,10,210
12,Wolves,Selena Gomez; Marshmello,2.046.103,3,12,103
13,Perfect,Ed Sheeran,2.043.372,3,14,339
14,Him & I (with Halsey),G-Eazy; Halsey,2.022.207,6,13,66
15,All The Stars (with SZA),Kendrick Lamar; SZA,1.965.100,12,16,31
16,Stir Fry,Migos,1.937.689,15,15,35
17,I Fall Apart,Post Malone,1.811.305,10,20,133
18,Sick Boy,The Chainsmokers,1.798.489,13,18,18
19,The Middle,Zedd; Maren Morris; Grey,1.793.980,19,21,10
20,Shape of You,Ed Sheeran,1.754.075,1,17,395
21,Dura,Daddy Yankee,1.722.026,21,22,17
22,Mine,Bazzi,1.706.208,22,31,15
23,Corazón (feat. Nego do Borel),Maluma; Nego do Borel,1.684.527,14,19,94
24,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,1.665.643,21,23,144
25,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,1.658.548,14,24,150
26,Bella,Wolfine,1.647.456,25,25,41
27,Rewrite The Stars,Zac Efron; Zendaya,1.580.145,18,34,35
28,Downtown,Anitta; J Balvin,1.546.001,19,26,78
29,Say Something (feat. Chris Stapleton),Justin Timberlake; Chris Stapleton,1.534.786,23,30,10
30,Criminal,NATTI NATASHA; Ozuna,1.533.082,16,28,147
31,What Lovers Do (feat. SZA),Maroon 5; SZA,1.513.800,4,27,159
32,Silence,Marshmello; Khalid,1.502.483,7,32,178
33,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21; Manuel Turizo,1.499.489,29,29,91
34,Too Good At Goodbyes,Sam Smith,1.495.790,1,33,150
35,I Miss You (feat. Julia Michaels),Clean Bandit; Julia Michaels,1.465.529,20,35,101
36,This Is Me,Keala Settle; The Greatest Showman Ensemble,1.440.555,26,38,35
