Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,5.661.519,1,1,26
2,MIA,Bad Bunny; Drake,4.621.039,1,2,13
3,Happier,Marshmello; Bastille,3.729.555,2,3,68
4,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,3.684.015,3,4,12
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,3.519.396,5,6,6
6,Shallow,Lady Gaga; Bradley Cooper,3.397.084,5,5,26
7,Better,Khalid,3.156.595,7,7,40
8,Without Me,Halsey,3.087.255,8,8,19
9,SICKO MODE,Travis Scott,2.723.341,2,9,82
10,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,2.442.725,3,11,103
11,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,2.431.442,4,10,68
12,In My Mind,Dynoro; Gigi D'Agostino,2.349.759,4,12,112
13,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,2.345.492,2,14,145
14,Falling Down - Bonus Track,Lil Peep; XXXTENTACION,2.306.957,2,15,35
15,I Love It (& Lil Pump),Kanye West; Lil Pump,2.303.861,1,13,47
16,Kiss and Make Up,Dua Lipa; BLACKPINK,2.276.582,16,18,5
17,Lucid Dreams,Juice WRLD,2.229.565,2,16,164
18,when the party's over,Billie Eilish,2.203.276,17,17,7
19,Be Alright,Dean Lewis,2.147.684,12,19,94
20,Mo Bamba,Sheck Wes,2.132.760,19,21,72
21,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,2.025.511,12,23,41
22,SAD!,XXXTENTACION,2.016.438,1,22,236
23,Moonlight,XXXTENTACION,1.954.666,2,24,222
24,Suncity (feat. Empress Of),Khalid; Empress Of,1.945.610,19,25,5
25,Better Now,Post Malone,1.920.554,1,26,180
26,Fine China,Future; Juice WRLD,1.907.657,15,20,8
27,In My Feelings,Drake,1.886.638,1,27,117
28,Vaina Loca,Ozuna; Manuel Turizo,1.804.480,12,28,117
29,Let You Love Me,Rita Ora,1.783.725,26,29,33
30,Sweet but Psycho,Ava Max,1.748.311,30,30,27
31,No Stylist (feat. Drake),French Montana; Drake,1.745.453,23,33,33
32,BEBE,6ix9ine; Anuel AA,1.703.942,13,31,54
33,I Like It,Cardi B; Bad Bunny; J Balvin,1.668.823,2,34,201
34,Electricity (with Dua Lipa),Silk City; Dua Lipa; Diplo; Mark Ronson,1.665.151,13,32,48
35,Woman Like Me (feat. Nicki Minaj),Little Mix; Nicki Minaj,1.629.934,30,37,12
36,Natural,Imagine Dragons,1.626.149,18,35,96
37,Taste (feat. Offset),Tyga; Offset,1.607.538,5,36,159
38,Youngblood,5 Seconds of Summer,1.560.272,6,38,194
39,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,1.536.509,28,39,82
40,This Feeling,The Chainsmokers; Kelsea Ballerini,1.522.986,19,40,33
41,FEFE,6ix9ine; Nicki Minaj; Murda Beatz,1.516.455,2,41,94
42,Lucky You (feat. Joyner Lucas),Eminem; Joyner Lucas,1.443.407,1,42,54
43,Nonstop,Drake,1.427.824,1,47,117
44,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,1.427.722,7,45,193
45,High Hopes,Panic! At The Disco,1.411.555,44,44,124
46,Venom - Music From The Motion Picture,Eminem,1.376.222,32,43,54
47,Jocelyn Flores,XXXTENTACION,1.371.587,2,49,425
48,rockstar (feat. 21 Savage),Post Malone; 21 Savage,1.370.834,1,48,404
49,Always Remember Us This Way,Lady Gaga,1.368.001,46,46,16
50,Quiere Beber,Anuel AA,1.332.392,40,51,67
51,Rise,Jonas Blue; Jack & Jack,1.311.633,11,50,142
52,Never Recover (Lil Baby & Gunna Drake),Lil Baby; Gunna; Drake,1.294.046,15,52,19
53,Cuando Te Besé,Becky G; Paulo Londra,1.279.030,39,54,82
54,Ruin My Life,Zara Larsson,1.255.462,48,64,5
55,Wake Up in the Sky,Gucci Mane; Bruno Mars; Kodak Black,1.234.502,24,56,40
56,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,1.224.001,7,55,159
57,Love Someone,Lukas Graham,1.205.343,52,57,44
58,Noticed,Lil Mosey,1.199.305,38,53,53
59,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1.187.775,1,59,201
60,changes,XXXTENTACION,1.181.911,4,61,129
61,Body,Loud Luxury; Brando,1.179.946,18,60,149
62,God's Plan,Drake,1.173.159,1,62,277
63,Shotgun,George Ezra,1.161.637,35,58,123
64,No Es Justo,J Balvin; Zion & Lennox,1.156.517,27,65,124
65,God is a woman,Ariana Grande,1.116.913,2,66,103
66,STOOPID,6ix9ine; Bobby Shmurda,1.112.654,14,63,19
67,2002,Anne-Marie,1.107.265,25,67,187
68,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo; David Guetta; Nicki Minaj; Willy William,1.104.599,44,71,58
69,lovely (with Khalid),Billie Eilish; Khalid,1.098.203,19,69,184
70,Ya No Tiene Novio,Sebastian Yatra; Mau y Ricky,1.089.912,61,76,57
71,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,1.081.024,1,74,243
72,no tears left to cry,Ariana Grande,1.079.771,2,73,187
73,breathin,Ariana Grande,1.076.753,2,72,68
74,Amigos Con Derechos,Reik; Maluma,1.072.628,66,79,53
75,There's No Way (feat. Julia Michaels),Lauv; Julia Michaels,1.069.265,70,75,23
76,Thunderclouds (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,1.067.554,30,70,75
77,Shape of You,Ed Sheeran,1.049.916,1,78,656
78,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,1.042.693,11,77,159
79,Saturday Nights,Khalid,1.042.186,52,68,5
80,Mala Mía,Maluma,1.029.823,47,83,75
81,Sin Pijama,Becky G; NATTI NATASHA,1.011.716,20,84,183
82,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,1.009.507,5,82,128
83,Believer,Imagine Dragons,997.899,15,85,629
84,No Brainer,DJ Khaled; Justin Bieber; Quavo; Chance the Rapper,987.262,2,81,89
85,IDGAF,Dua Lipa,974.802,3,86,302
86,Perfect,Ed Sheeran,972.972,3,88,600
87,Mona Lisa (feat. Kendrick Lamar),Lil Wayne; Kendrick Lamar,957.641,1,87,26
88,Leave Me Alone,Flipp Dinero,929.218,88,93,47
89,Happy Now,Zedd; Elley Duhé,922.473,27,89,96
90,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,918.178,4,92,167
91,Topanga,Trippie Redd,913.712,91,—,1
92,Vertigo,Khalid,913.423,36,80,5
93,Yes Indeed,Lil Baby; Drake,907.844,12,94,162
94,Killshot,Eminem,903.164,20,90,35
95,Havana (feat. Young Thug),Camila Cabello; Young Thug,900.164,1,95,446
96,Culpables,KAROL G; Anuel AA,899.657,83,97,39
97,Trip,Ella Mai,889.409,82,98,46
98,The Middle,Zedd; Maren Morris; Grey,887.064,6,96,271
99,Thunder,Imagine Dragons,878.276,7,100,544
100,REMEDY,Alesso,871.624,50,99,51
101,I Fall Apart,Post Malone,868.409,10,103,394
102,FRIENDS,Marshmello; Anne-Marie,861.433,3,102,257
103,Love Lies (with Normani),Khalid; Normani,859.361,9,104,250
104,Hard Work Pays Off,Future; Juice WRLD,857.758,88,91,5
105,I Like Me Better,Lauv,836.987,24,105,73
106,New Patek,Lil Uzi Vert,828.360,13,106,36
107,Ibiza,Ozuna; Romeo Santos,819.939,102,109,16
108,Imposible,Luis Fonsi; Ozuna,811.881,102,112,5
109,Ocean (feat. Khalid),Martin Garrix; Khalid,810.815,13,107,131
110,I'm a Mess,Bebe Rexha,807.968,47,110,124
111,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,804.889,14,108,152
112,Celoso,Lele Pons,804.035,108,113,67
113,Everybody Dies In Their Nightmares,XXXTENTACION,803.959,6,111,128
114,Toda - Remix,Alex Rose; Cazzu; Rauw Alejandro; Lenny Tavárez,796.308,97,117,70
115,Clandestino,Shakira; Maluma,794.772,34,118,138
116,Too Good At Goodbyes,Sam Smith,794.023,1,116,411
117,All Girls Are The Same,Juice WRLD,793.061,47,114,165
118,STARGAZING,Travis Scott,791.352,2,115,82
119,Asesina,Brytiago; Darell,790.988,66,120,117
120,Lean Wit Me,Juice WRLD,784.762,79,124,80
121,PPP,Kevin Roldan,769.592,117,132,13
122,Born To Be Yours,Kygo; Imagine Dragons,769.133,22,125,131
123,Nice For What,Drake,767.817,1,122,200
124,REEL IT IN,Aminé,762.526,119,126,37
125,Say You Won't Let Go,James Arthur,762.181,7,127,661
126,No Me Acuerdo,Thalia; NATTI NATASHA,760.497,62,128,99
127,Bohemian Rhapsody - Remastered 2011,Queen,757.389,105,121,14
