Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Better Now,Post Malone,3.984.003,1,1,53
2,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,3.587.278,2,4,18
3,Lucid Dreams,Juice WRLD,3.555.704,3,5,37
4,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,3.528.492,1,2,74
5,I Like It,Cardi B; Bad Bunny; J Balvin,3.516.544,3,3,74
6,Youngblood,5 Seconds of Summer,3.177.818,6,6,67
7,Back To You,Selena Gomez,3.122.115,4,7,40
8,no tears left to cry,Ariana Grande,2.906.822,2,8,60
9,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,2.816.020,9,9,32
10,SAD!,XXXTENTACION,2.802.357,3,40,109
11,Nice For What,Drake,2.533.235,1,11,73
12,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,2.476.406,7,10,66
13,Taste (feat. Offset),Tyga; Offset,2.363.651,13,14,32
14,X,Nicky Jam; J Balvin,2.343.581,3,12,109
15,God's Plan,Drake,2.308.823,1,13,150
16,All Mine,Kanye West,2.240.423,1,15,17
17,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,2.199.636,17,17,32
18,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,2.172.823,1,16,116
19,lovely (with Khalid),Billie Eilish; Khalid,2.009.152,19,19,57
20,Ocean (feat. Khalid),Martin Garrix; Khalid,1.952.761,20,25,4
21,Jocelyn Flores,XXXTENTACION,1.942.220,15,114,298
22,FRIENDS,Marshmello; Anne-Marie,1.907.662,3,18,130
23,Yes Indeed,Lil Baby; Drake,1.864.073,12,21,35
24,I'm Upset,Drake,1.860.402,13,20,23
25,Flames,David Guetta; Sia,1.858.171,17,22,88
26,Nevermind,Dennis Lloyd,1.788.437,17,24,99
27,rockstar (feat. 21 Savage),Post Malone; 21 Savage,1.787.024,1,23,277
28,Bed (feat. Ariana Grande),Nicki Minaj; Ariana Grande,1.784.654,24,27,5
29,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,1.688.644,14,29,25
30,2002,Anne-Marie,1.679.721,25,28,60
31,Sin Pijama,Becky G; NATTI NATASHA,1.631.996,24,26,56
32,Born To Be Yours,Kygo; Imagine Dragons,1.613.085,32,42,4
33,Moonlight,XXXTENTACION,1.602.381,14,131,95
34,The Middle,Zedd; Maren Morris; Grey,1.571.163,6,30,144
35,This Is America,Childish Gambino,1.561.300,1,31,44
36,Look Alive (feat. Drake),BlocBoy JB; Drake,1.539.061,6,33,130
37,Love Lies (with Normani),Khalid; Normani,1.530.506,9,32,123
38,IDGAF,Dua Lipa,1.438.803,3,35,175
39,changes,XXXTENTACION,1.438.609,23,198,2
40,Me Niego (feat. Ozuna & Wisin),Reik; Ozuna; Wisin,1.422.142,20,34,122
41,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental; Jess Glynne; Macklemore; Dan Caplen,1.389.377,9,36,148
42,In My Blood,Shawn Mendes,1.351.600,4,38,89
43,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,1.335.689,37,—,1
44,Playinwitme (feat. Kehlani),KYLE; Kehlani,1.328.283,26,39,75
45,OTW,Khalid; 6LACK; Ty Dolla $ign,1.317.713,23,43,60
46,DDU-DU DDU-DU,BLACKPINK,1.309.556,37,37,4
47,Reborn,KIDS SEE GHOSTS,1.279.898,16,46,11
48,Havana (feat. Young Thug),Camila Cabello; Young Thug,1.249.159,1,41,319
49,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,1.206.167,16,48,278
50,1 2 3 (feat. Jason Derulo & De La Ghetto),Sofía Reyes; Jason Derulo; De La Ghetto,1.198.369,31,47,119
51,Freaky Friday (feat. Chris Brown),Lil Dicky; Chris Brown,1.197.611,7,44,95
52,Shape of You,Ed Sheeran,1.196.710,1,49,529
53,Call Out My Name,The Weeknd,1.188.039,1,50,81
54,Dura - Remix,Daddy Yankee; NATTI NATASHA; Becky G; Bad Bunny,1.187.263,39,45,51
