ID,Track,Singer(s),Stream
108,Santa Baby,Ariana Grande; Liz Gillies,41632431
109,Baby It's Cold Outside (feat. Meghan Trainor),Brett Eldredge; Meghan Trainor,26990886
110,Culpables,KAROL G; Anuel AA,70666816
111,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,80260526
112,SOLO,JENNIE,50176352
113,Reggaeton,J Balvin,91089003
114,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,91725445
115,My Only Wish (This Year),Britney Spears,24163243
116,Rise,Jonas Blue; Jack & Jack,72798749
117,Desconocidos,Mau y Ricky; Manuel Turizo; Camilo,122070572
118,Ya No Tiene Novio,Sebastian Yatra; Mau y Ricky,73442174
119,Lonesome Train,Stan Kenton,7387237
120,Body,Loud Luxury; Brando,87277582
121,2002,Anne-Marie,90591508
122,Mala Mía,Maluma,35010013
123,Money,Cardi B,94715651
124,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,90157385
125,We Will Rock You - Remastered 2011,Queen,56316360
126,Shotgun,George Ezra,73099993
127,No Stylist (feat. Drake),French Montana; Drake,77652212
128,Saturday Nights,Khalid,135136627
129,Electricity (with Dua Lipa),Silk City; Dua Lipa; Diplo; Mark Ronson,68292110
130,changes,XXXTENTACION,75848723
131,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur; Anne-Marie,76519129
132,Sleigh Ride,The Ronettes,35380256
133,Santa Claus Is Coming to Town,Michael Bublé,28510941
134,10 Freaky Girls (with 21 Savage),Metro Boomin; 21 Savage,22493653
135,bellyache,Billie Eilish,66376883
136,Foot Fungus,Ski Mask The Slump God,4857398
137,Blue Christmas,Elvis Presley,25551720
138,Merry Christmas Everyone,Shakin' Stevens,27910340
139,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,89384524
140,Say My Name,David Guetta; Bebe Rexha; J Balvin,80226261
141,Asesina - Remix,Brytiago; Daddy Yankee; Ozuna; Darell; Anuel AA,64279031
142,idontwannabeyouanymore,Billie Eilish,87047357
143,IDGAF,Dua Lipa,81557221
144,Fuck Love (feat. Trippie Redd),XXXTENTACION; Trippie Redd,69281778
145,Perfect,Ed Sheeran,82287324
146,Baller los,MERO,4355971
147,No Es Justo,J Balvin; Zion & Lennox,31620098
148,Time (feat. Meek Mill),Lil Baby; Meek Mill,2199222
149,Havana (feat. Young Thug),Camila Cabello; Young Thug,76752462
150,Thunder,Imagine Dragons,73519127
151,Always Remember Us This Way,Lady Gaga,69752555
152,Topanga,Trippie Redd,22722328
153,Happy Birthday,Sfera Ebbasta,2905327
154,Ibiza,Ozuna; Romeo Santos,30581035
155,Thunderclouds (feat. Sia Diplo and Labrinth),Sia; Diplo; Labrinth; LSD,47764283
156,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,26482125
157,New Rules,Dua Lipa,72632879
158,Christmas Lights,Coldplay,25018845
159,Killer Queen - Remastered 2011,Queen,13707100
160,FRIENDS,Marshmello; Anne-Marie,74649660
161,Parado no Bailão,MC L da Vinte; MC Gury,11019108
162,Lucky You (feat. Joyner Lucas),Eminem; Joyner Lucas,45068356
163,I Found You (with Calvin Harris),benny blanco; Calvin Harris,3626937
164,I'll Be Home,Meghan Trainor,15614634
165,Fine China,Future; Juice WRLD,40602543
166,Santa Baby (with Henri René & His Orchestra),Eartha Kitt; Henri René and His Orchestra,11177335
167,Toda - Remix,Alex Rose; Cazzu; Rauw Alejandro; Lenny Tavárez,7272545
168,TATI,6ix9ine; DJ SpinKing,2010574
169,Hallelujah,Pentatonix,11201250
170,I Fall Apart,Post Malone,72930376
171,The Middle,Zedd; Maren Morris; Grey,72887792
172,Sin Pijama,Becky G; NATTI NATASHA,37540730
173,PPP,Kevin Roldan,39604249
174,Waste It On Me,Steve Aoki; BTS,4561034
175,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,61949846
176,Pure Cocaine,Lil Baby,11813430
177,ocean eyes,Billie Eilish,58616731
178,This Feeling,The Chainsmokers; Kelsea Ballerini,71068670
179,Intro,Meek Mill,729776
180,Yes Indeed,Lil Baby; Drake,31253078
181,FEEFA,6ix9ine; Gunna,727707
182,Jackie Chan,Tiësto; Dzeko; Preme; Post Malone,48976624
183,XO Tour Llif3,Lil Uzi Vert,62370109
184,Never Recover (Lil Baby & Gunna Drake),Lil Baby; Gunna; Drake,27880669
185,Respect the Game,Meek Mill,719484
186,I Like Me Better,Lauv,76215606
187,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky; Skepta,48876969
188,Closer,The Chainsmokers; Halsey,59217040
189,Quiere Beber,Anuel AA,7307234
190,Everybody Dies In Their Nightmares,XXXTENTACION,38643193
