ID,Track,Singer(s),Stream
1,Heat Waves,Glass Animals,368654056
2,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,298861781
3,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,263768485
4,abcdefu,GAYLE,227160160
5,MAMIII,Becky G; KAROL G,229777423
6,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,253367169
7,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,235592074
8,Desesperados,Rauw Alejandro; Chencho Corleone,206660647
9,Easy On Me,Adele,189897881
10,Shivers,Ed Sheeran,202664542
11,Ghost,Justin Bieber,211566724
12,Infinity,Jaymes Young,153627478
13,I’m Tired (with Zendaya) - Bonus Track,Labrinth; Zendaya,41091746
14,Boyfriend,Dove Cameron,162240966
15,THATS WHAT I WANT,Lil Nas X,178826776
16,Woman,Doja Cat,200668652
17,Pepas,Farruko,168389341
18,We Don't Talk About Bruno,Carolina Gaitán - La Gaita; Mauro Castillo; Adassa; Rhenzy Feliz; Diane Guerrero; Stephanie Beatriz; Encanto - Cast,94971373
19,Bad Habits,Ed Sheeran,171194103
20,Where Are You Now,Lost Frequencies; Calum Scott,177914165
21,I Love You So,The Walters,142207619
22,MIDDLE OF THE NIGHT,Elley Duhé,215827067
23,My Universe,Coldplay; BTS,156056535
24,good 4 u,Olivia Rodrigo,176131512
25,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy; Bad Bunny; Julieta Venegas,143051552
26,Do It To It,ACRAZE; Cherish,124471285
27,The Motto,Tiësto; Ava Max,167065244
28,Yonaguni,Bad Bunny,136170812
29,Blinding Lights,The Weeknd,154389613
30,Sweater Weather,The Neighbourhood,146734485
31,pushin P (feat. Young Thug),Gunna; Future; Young Thug,56765860
32,All For Us,Labrinth; Zendaya,41497378
33,Need to Know,Doja Cat,135829343
34,Light Switch,Charlie Puth,143229222
35,Softcore,The Neighbourhood,111472975
36,Mount Everest,Labrinth,74494310
37,Dandelions,Ruth B.,144901100
38,she's all i wanna be,Tate McRae,107382686
39,DANÇARINA,PEDRO SAMPAIO; Mc Pedrinho,80236656
40,traitor,Olivia Rodrigo,138744479
41,Kiss Me More (feat. SZA),Doja Cat; SZA,137163644
42,Mon Amour - Remix,zzoilo; Aitana,97914805
43,Without Me,Eminem,113547250
44,Levitating (feat. DaBaby),Dua Lipa; DaBaby,128760684
45,Lost,Frank Ocean,82671134
46,Toxic,BoyWithUke,96992316
47,Tacones Rojos,Sebastian Yatra,100656531
48,Nail Tech,Jack Harlow,73420432
49,MONTERO (Call Me By Your Name),Lil Nas X,113576479
50,DÁKITI,Bad Bunny; Jhayco,105222027
51,Medallo,Blessd; Justin Quiles; Lenny Tavárez,103451596
52,Malvadão 3,Xamã; Gustah; Neo Beats; Bagua Records,37781926
53,Formula,Labrinth,40665501
54,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,28209363
55,drivers license,Olivia Rodrigo,125183283
56,Still D.R.E.,Dr. Dre; Snoop Dogg,76917300
57,Happier Than Ever,Billie Eilish,115043403
58,Save Your Tears,The Weeknd,119757869
59,Super Gremlin,Kodak Black,54485488
60,love nwantiti (ah ah ah),CKay,95773052
61,Another Love,Tom Odell,149822201
62,TO THE MOON,Jnr Choi; Sam Tompkins,52340652
63,505,Arctic Monkeys,114589326
64,Freaky Deaky,Tyga; Doja Cat,23752358
65,Oh My God,Adele,72457819
66,Beggin',Måneskin,100876816
67,Malvada,Zé Felipe,30755862
68,The Real Slim Shady,Eminem,98080723
69,Lose Yourself - From "8 Mile" Soundtrack,Eminem,90185142
70,Notion,The Rare Occasions,66044374
71,Stay Alive (Prod. SUGA of BTS),Jung Kook,15496590
72,Todo De Ti,Rauw Alejandro,94200782
73,Cayó La Noche (feat. Cruz Cafuné Abhir Hathi Bejo EL IMA) [Remix],La Pantera; Quevedo; Juseph; Abhir Hathi; Bejo; Cruz Cafuné; EL IMA,74711706
74,Surface Pressure - From "Encanto"/Soundtrack Version,Jessica Darrow,30559665
75,One Right Now (with The Weeknd),Post Malone; The Weeknd,96298114
76,Moth To A Flame (with The Weeknd),Swedish House Mafia; The Weeknd,65842790
77,Ya No Somos Ni Seremos,Christian Nodal,42097788
78,A Tu Merced,Bad Bunny,84376818
79,Dark Red,Steve Lacy,91356415
80,Numb Little Bug,Em Beihold,68000392
81,Volví,Aventura; Bad Bunny,72085456
82,Watermelon Sugar,Harry Styles,136569090
83,Fingers Crossed,Lauren Spencer Smith,60389317
84,Sacrifice,The Weeknd,26931261
85,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,100923218
86,Ginseng Strip 2002,Yung Lean,16425179
87,deja vu,Olivia Rodrigo,110520839
88,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,92360936
89,MONEY,LISA,60270807
90,Someone You Loved,Lewis Capaldi,90488825
91,Believer,Imagine Dragons,97665984
92,Una Noche en Medellín,Cris Mj,203116614
93,Don't Start Now,Dua Lipa,96704871
94,Down Under (feat. Colin Hay),Luude; Colin Hay,38416658
95,Mujeriego,Ryan Castro,50951496
96,lovely (with Khalid),Billie Eilish; Khalid,95053038
97,Till I Collapse,Eminem; Nate Dogg,70678222
98,Yo Voy (feat. Daddy Yankee),Zion & Lennox,105775013
99,Butter,BTS,99499065
100,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran; Taylor Swift,7577544
101,Nostálgico,Rvssian; Rauw Alejandro; Chris Brown,35355302
102,Freaks,Surf Curse,73526875
103,Volando - Remix,Mora; Bad Bunny; Sech,54529775
104,Botadinha Saliente,MC Rogerinho,8490821
105,Dynamite,BTS,92750048
106,No Role Modelz,J. Cole,95876317
107,You Right,Doja Cat; The Weeknd,84846228
108,Tiago PZK: Bzrp Music Sessions Vol. 48,Bizarrap; Tiago PZK,63429563
109,Daddy Issues,The Neighbourhood,75836626
