ID,Track,Singer(s),Stream
1,Señorita,Shawn Mendes; Camila Cabello,398380824
2,Circles,Post Malone,394397653
3,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,245204537
4,Ransom,Lil Tecca,208787701
5,Goodbyes (feat. Young Thug),Post Malone; Young Thug,230926067
6,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,244120508
7,Dance Monkey,Tones And I,479893108
8,bad guy,Billie Eilish,228328583
9,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,201688531
10,Someone You Loved,Lewis Capaldi,292628559
11,Lover,Taylor Swift,114852488
12,Lalala,Y2K; bbno$,225308577
13,How Do You Sleep?,Sam Smith,221700229
14,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,155908120
15,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,162536047
16,Callaita,Bad Bunny; Tainy,168033154
17,boyfriend (with Social House),Ariana Grande; Social House,122542991
18,LA CANCIÓN,J Balvin; Bad Bunny,162786489
19,Truth Hurts,Lizzo,152081113
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,192719598
21,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,154975035
22,Yo x Ti Tu x Mi,ROSALÍA; Ozuna,143746691
23,Otro Trago - Remix,Sech; Ozuna; Anuel AA; Darell; Nicky Jam,115081209
24,No Guidance (feat. Drake),Chris Brown; Drake,132979490
25,You Need To Calm Down,Taylor Swift,91169938
26,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,117366090
27,Money In The Grave (Drake ft. Rick Ross),Drake; Rick Ross,127360311
28,The Man,Taylor Swift,29792512
29,Piece Of Your Heart,MEDUZA; Goodboys,121571778
30,Tutu,Camilo; Pedro Capó,137451729
31,fuck i'm lonely,Lauv; Anne-Marie,115850014
32,It's You,Ali Gatie,137000531
33,Panini,Lil Nas X,154456454
34,The London (feat. J. Cole & Travis Scott),Young Thug; J. Cole; Travis Scott,104024416
35,QUE PRETENDES,J Balvin; Bad Bunny,101071804
36,11 PM,Maluma,94428177
37,Takeaway,The Chainsmokers; ILLENIUM; Lennon Stella,122014702
38,Higher Love,Kygo; Whitney Houston,119647828
39,Slide Away,Miley Cyrus,57139520
40,Con Altura,ROSALÍA; J Balvin; El Guincho,94883816
41,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,155792048
