ID,Track,Singer(s),Stream
1,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,380866720
2,Hawái,Maluma,340048886
3,Mood (feat. iann dior),24kGoldn; iann dior,459521228
4,Dynamite,BTS,345549405
5,Blinding Lights,The Weeknd,295089620
6,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,220081671
7,Watermelon Sugar,Harry Styles,274016076
8,Ice Cream (with Selena Gomez),BLACKPINK; Selena Gomez,178228771
9,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,226720624
10,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,232386401
11,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,158406419
12,Roses - Imanbek Remix,SAINt JHN; Imanbek,182513514
13,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,257916514
14,Breaking Me,Topic; A7S,172806805
15,Ay DiOs Mío!,KAROL G,168308412
16,Heather,Conan Gray,203432540
17,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,175603786
18,Head & Heart (feat. MNEK),Joel Corry; MNEK,232965128
19,Come & Go (with Marshmello),Juice WRLD; Marshmello,150605342
20,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,126423588
21,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,172603938
22,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,342116567
23,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,139321886
24,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,144085912
25,Midnight Sky,Miley Cyrus,154679233
26,Caramelo,Ozuna,129113813
27,Smile (with The Weeknd),Juice WRLD; The Weeknd,95976970
28,Dance Monkey,Tones And I,158988860
29,Someone You Loved,Lewis Capaldi,171631455
30,death bed (coffee for your head),Powfu; beabadoobee,134359096
31,Wishing Well,Juice WRLD,129841702
32,Before You Go,Lewis Capaldi,155273302
33,you broke me first,Tate McRae,222038961
34,Relación,Sech,66102934
35,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,116819436
36,Over Now (with The Weeknd),Calvin Harris; The Weeknd,32348333
37,Agua (with J Balvin),Tainy; J Balvin,104639396
38,How You Like That,BLACKPINK,129700486
39,Go Crazy,Chris Brown; Young Thug,117990083
40,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke; 50 Cent; Roddy Ricch,99519485
41,Break My Heart,Dua Lipa,103777396
42,Don't Start Now,Dua Lipa,129578867
