ID,Track,Singer(s),Stream
1,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,443248301
2,Blinding Lights,The Weeknd,399414242
3,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,250908392
4,Roses - Imanbek Remix,SAINt JHN; Imanbek,325337294
5,Toosie Slide,Drake,225956030
6,death bed (coffee for your head),Powfu; beabadoobee,251789018
7,Sour Candy (with BLACKPINK),Lady Gaga; BLACKPINK,79711405
8,Don't Start Now,Dua Lipa,212477048
9,THE SCOTTS,THE SCOTTS; Travis Scott; Kid Cudi,157717615
10,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,216198095
11,Dance Monkey,Tones And I,230797605
12,Break My Heart,Dua Lipa,206725735
13,Blueberry Faygo,Lil Mosey,200334033
14,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,183482360
15,Supalonely,BENEE; Gus Dapperton,168000081
16,The Box,Roddy Ricch,171004398
17,GOOBA,6ix9ine,136629730
18,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,158658111
19,Watermelon Sugar,Harry Styles,325034957
20,Party Girl,StaySolidRocky,169059634
21,Intentions (feat. Quavo),Justin Bieber; Quavo,158932308
22,Breaking Me,Topic; A7S,241057419
23,Falling,Trevor Daniel,215617989
24,Savage Remix (feat. Beyoncé),Megan Thee Stallion; Beyoncé,126758902
25,Someone You Loved,Lewis Capaldi,180801311
26,Sunday Best,Surfaces,140983231
27,Circles,Post Malone,141377070
28,Say So,Doja Cat,133883782
29,Play Date,Melanie Martinez,119550559
30,Lose Somebody,Kygo; OneRepublic,115400519
31,ROXANNE,Arizona Zervas,115601274
32,WHATS POPPIN,Jack Harlow,113375448
33,goosebumps,Travis Scott,133527198
34,Life Is Good (feat. Drake),Future; Drake,115064206
35,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,182158232
36,Hasta Que Dios Diga,Anuel AA; Bad Bunny,126313553
37,Be Kind (with Halsey),Marshmello; Halsey,128858042
38,Say So (feat. Nicki Minaj),Doja Cat; Nicki Minaj,30400233
39,Boss Bitch,Doja Cat,94934081
40,Tusa,KAROL G; Nicki Minaj,136361757
41,Yo Perreo Sola,Bad Bunny,113697989
42,Safaera,Bad Bunny; Jowell & Randy; Ñengo Flow,112607740
43,Before You Go,Lewis Capaldi,157021659
44,SICKO MODE,Travis Scott,113844887
45,HIGHEST IN THE ROOM,Travis Scott,120125878
46,In Your Eyes,The Weeknd,131308187
47,Stupid Love,Lady Gaga,21682179
48,Adore You,Harry Styles,131236815
49,Tell Me U Luv Me (with Trippie Redd),Juice WRLD; Trippie Redd,42721214
50,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,124432777
51,After Party,Don Toliver,100758510
52,bad guy,Billie Eilish,116091786
53,Señorita,Shawn Mendes; Camila Cabello,126362648
54,If the World Was Ending (feat. Julia Michaels),JP Saxe; Julia Michaels,95723913
55,Rojo,J Balvin,100831591
56,Ride It,Regard,106338699
57,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,115098888
58,911,Lady Gaga,5273155
59,Favorito,Camilo,100692094
60,Walk Em Down (feat. Roddy Ricch),NLE Choppa; Roddy Ricch,70271113
61,Kings & Queens,Ava Max,135520299
62,Alice,Lady Gaga,4358438
63,Physical,Dua Lipa,85411076
64,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,90511388
65,everything i wanted,Billie Eilish,96722258
66,PORFA,Feid; Justin Quiles,80982239
67,Elegí (feat. Dímelo Flow),Rauw Alejandro; Dalex; Lenny Tavárez; Dímelo Flow,104413921
68,MORE & MORE,TWICE,26517177
69,lovely (with Khalid),Billie Eilish; Khalid,97267214
70,Savage,Megan Thee Stallion,56451171
71,Lucid Dreams,Juice WRLD,107952895
72,Skechers,DripReport,52040252
73,Free Woman,Lady Gaga,3377483
74,Chicago Freestyle (feat. Giveon),Drake; Giveon,96065097
75,hot girl bummer,blackbear,84309500
76,Righteous,Juice WRLD,102299416
77,Lose Control,MEDUZA; Becky Hill; Goodboys,82561820
78,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,88002524
79,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,184825263
80,Amarillo,J Balvin,58272819
81,Shallow,Lady Gaga; Bradley Cooper,90752501
82,Tattoo,Rauw Alejandro,58370569
83,Deep End Freestyle,Sleepy Hallow; Fousheé,36007417
84,Relación,Sech,164088296
85,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,76466361
86,Daisies,Katy Perry,25609038
87,CÓMO SE SIENTE - Remix,Jhayco; Bad Bunny,83765621
88,Enigma,Lady Gaga,2205604
89,La Difícil,Bad Bunny,43535239
90,Sine From Above (with Elton John),Lady Gaga; Elton John,2199654
91,Ballin' (with Roddy Ricch),Mustard; Roddy Ricch,63115001
92,Fun Tonight,Lady Gaga,2190164
93,Flex (feat. Juice WRLD),Polo G; Juice WRLD,55072867
94,Believer,Imagine Dragons,83531325
95,Replay,Lady Gaga,2172319
96,when the party's over,Billie Eilish,72895724
97,Know Your Worth,Khalid; Disclosure,22625890
98,This City,Sam Fischer,34903569
99,Diosa,Myke Towers,40136746
100,7 rings,Ariana Grande,76573828
101,Ignorantes,Bad Bunny; Sech,39341185
102,rockstar (feat. 21 Savage),Post Malone; 21 Savage,76522529
103,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,61110711
104,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,74865812
105,Plastic Doll,Lady Gaga,1498805
106,Morado,J Balvin,46802136
107,Yummy,Justin Bieber,38348046
108,Jocelyn Flores,XXXTENTACION,77318821
109,Level of Concern,Twenty One Pilots,3833186
