ID,Track,Singer(s),Stream
1,Dance Monkey,Tones And I,598149348
2,All I Want for Christmas Is You,Mariah Carey,119727755
3,ROXANNE,Arizona Zervas,388075494
4,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,307713338
5,Heartless,The Weeknd,151024674
6,everything i wanted,Billie Eilish,298137710
7,Circles,Post Malone,321583520
8,Last Christmas,Wham!,97344185
9,Don't Start Now,Dua Lipa,364403648
10,Blinding Lights,The Weeknd,408500746
11,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,253283037
12,Someone You Loved,Lewis Capaldi,261158935
13,Señorita,Shawn Mendes; Camila Cabello,255993898
14,Lose You To Love Me,Selena Gomez,201528398
15,Santa Tell Me,Ariana Grande,70969396
16,Tusa,KAROL G; Nicki Minaj,383702306
17,Falling,Trevor Daniel,415496880
18,HIGHEST IN THE ROOM,Travis Scott,166826193
19,It's Beginning to Look a Lot like Christmas,Michael Bublé,63458428
20,Vete,Bad Bunny,191425263
21,hot girl bummer,blackbear,179191367
22,Rockin' Around The Christmas Tree,Brenda Lee,60344847
23,bad guy,Billie Eilish,236110674
24,Jingle Bell Rock,Bobby Helms,59324107
25,Ride It,Regard,178206092
26,It's the Most Wonderful Time of the Year,Andy Williams,55965100
27,Mistletoe,Justin Bieber,53458598
28,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,151129515
29,Before You Go,Lewis Capaldi,176621311
30,Do They Know It's Christmas? - 1984 Version,Band Aid,47646052
31,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,143824480
32,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra; B. Swanson Quartet,45839369
33,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,130188084
34,Fantasias,Rauw Alejandro; Farruko,152017333
35,Holly Jolly Christmas,Michael Bublé,46383984
36,Happy Xmas (War Is Over) - Remastered 2010,John Lennon; Yoko Ono,47348893
37,Watermelon Sugar,Harry Styles,161837475
38,LA CANCIÓN,J Balvin; Bad Bunny,123812600
39,Lalala,Y2K; bbno$,118531551
40,How Do You Sleep?,Sam Smith,118990294
41,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,159370267
42,Feliz Navidad,José Feliciano,44675609
43,Lights Up,Harry Styles,104732658
44,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,154708743
45,Driving Home for Christmas - 2019 Remaster,Chris Rea,40666478
46,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,114277845
47,Underneath the Tree,Kelly Clarkson,42187995
48,Callaita,Bad Bunny; Tainy,117469839
49,Trampoline (with ZAYN),SHAED; ZAYN,99933564
50,Que Tire Pa Lante,Daddy Yankee,101709186
51,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,106880615
52,Goodbyes (feat. Young Thug),Post Malone; Young Thug,110975292
53,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,39916888
54,Lose Control,MEDUZA; Becky Hill; Goodboys,150187003
55,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,116122338
56,BOP,DaBaby,158632909
57,Bandit (with YoungBoy Never Broke Again),Juice WRLD; YoungBoy Never Broke Again,145642350
58,Liar,Camila Cabello,64563529
59,Into the Unknown,Idina Menzel; AURORA,46737184
60,Whine Up,Nicky Jam; Anuel AA,112803534
61,White Christmas,Bing Crosby; Ken Darby Singers; John Scott Trotter & His Orchestra,37116191
62,Ransom,Lil Tecca,102350820
63,Merry Christmas Everyone,Shakin' Stevens,32773909
64,Have Yourself A Merry Little Christmas,Sam Smith,33418858
65,Yellow Hearts,Ant Saunders,81601064
66,The Christmas Song (Merry Christmas To You),Nat King Cole,36836208
67,Look At Her Now,Selena Gomez,57234753
68,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,31276972
69,Sleigh Ride,The Ronettes,35031263
70,Aventura,Lunay; Ozuna; Anuel AA,92656105
71,Mean It,Lauv; LANY,67421670
72,It's You,Ali Gatie,100810896
73,A Holly Jolly Christmas,Burl Ives,33241781
74,Ayy Macarena,Tyga,126394787
75,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como; The Fontane Sisters; Mitchell Ayres & His Orchestra,27971278
76,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,109829511
77,lovely (with Khalid),Billie Eilish; Khalid,114927671
78,Si Te Vas,Sech; Ozuna,80624724
79,Good as Hell (feat. Ariana Grande) - Remix,Lizzo; Ariana Grande,74405696
80,Own It (feat. Ed Sheeran & Burna Boy),Stormzy; Burna Boy; Ed Sheeran,100600392
81,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,27779026
82,Santa Claus Is Coming to Town,Michael Bublé,27301138
83,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone; Ozzy Osbourne; Travis Scott,41122403
84,Quizas,Rich Music LTD; Sech; Dalex; Justin Quiles; Lenny Tavárez; Feid; Wisin; Zion,86258227
85,Up All Night,Khalid,41148084
86,Indeciso,Reik; J Balvin; Lalo Ebratt,84036902
87,Shallow,Lady Gaga; Bradley Cooper,109852920
88,Fairytale of New York (feat. Kirsty MacColl),The Pogues; Kirsty MacColl,28067999
89,when the party's over,Billie Eilish,121089394
90,Yo x Ti Tu x Mi,ROSALÍA; Ozuna,68833620
91,LOYAL (feat. Drake),PARTYNEXTDOOR; Drake,11020482
92,Hola - Remix,Dalex; Lenny Tavárez; Chencho Corleone; Juhn; Dímelo Flow,141118981
93,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,67001727
94,Lover (Remix) [feat. Shawn Mendes],Taylor Swift; Shawn Mendes,16018510
95,Tutu,Camilo; Pedro Capó,77003171
96,7 rings,Ariana Grande,120335667
97,223's (feat. 9lokknine),YNW Melly; 9lokknine,49701281
98,Der Bratan bleibt der gleiche,Capital Bra,4440348
99,Graveyard,Halsey,58941987
100,Happier,Marshmello; Bastille,96521659
101,Christmas (Baby Please Come Home),Mariah Carey,49282313
102,Truth Hurts,Lizzo,81462200
