ID,Track,Singer(s),Stream
1,Blinding Lights,The Weeknd,536252124
2,The Box,Roddy Ricch,362782052
3,Dance Monkey,Tones And I,356318863
4,Don't Start Now,Dua Lipa,377409137
5,Ignorantes,Bad Bunny; Sech,163037108
6,La Difícil,Bad Bunny,182574932
7,Intentions (feat. Quavo),Justin Bieber; Quavo,268594025
8,Tusa,KAROL G; Nicki Minaj,220736087
9,Si Veo a Tu Mamá,Bad Bunny,162611226
10,Falling,Trevor Daniel,333965701
11,ROXANNE,Arizona Zervas,222120261
12,Say So,Doja Cat,283993625
13,La Santa,Bad Bunny; Daddy Yankee,120874685
14,Vete,Bad Bunny,119882840
15,Stupid Love,Lady Gaga,97865075
16,Yummy,Justin Bieber,137785013
17,No Time To Die,Billie Eilish,87274301
18,Pero Ya No,Bad Bunny,51661853
19,Circles,Post Malone,207465323
20,Life Is Good (feat. Drake),Future; Drake,175997358
21,Someone You Loved,Lewis Capaldi,211919382
22,everything i wanted,Billie Eilish,152188021
23,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,172993340
24,Yo Perreo Sola,Bad Bunny,189267689
25,Sunday Best,Surfaces,228161190
26,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,163444002
27,Adore You,Harry Styles,181253295
28,After Hours,The Weeknd,124119259
29,Blueberry Faygo,Lil Mosey,275391797
30,bad guy,Billie Eilish,162530064
31,Roses - Imanbek Remix,SAINt JHN; Imanbek,381014630
32,Bichiyal,Bad Bunny; Yaviah,36991751
33,Soliá,Bad Bunny,28920581
34,Safaera,Bad Bunny; Jowell & Randy; Ñengo Flow,224051335
35,Señorita,Shawn Mendes; Camila Cabello,150328032
36,death bed (coffee for your head),Powfu; beabadoobee,331422521
37,Before You Go,Lewis Capaldi,157517259
38,You should be sad,Halsey,109617813
39,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,115817993
40,Sigues Con El,Arcángel; Sech; Dímelo Flow,111763548
