ID,Track,Singer(s),Stream
1,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap; Quevedo,399244270
2,As It Was,Harry Styles,411869211
3,Me Porto Bonito,Bad Bunny; Chencho Corleone,327107714
4,Pink Venom,BLACKPINK,222886584
5,Tití Me Preguntó,Bad Bunny,314178818
6,DESPECHÁ,ROSALÍA,278057736
7,La Bachata,Manuel Turizo,380045199
8,Efecto,Bad Bunny,261153597
9,I Ain't Worried,OneRepublic,302398141
10,Ojitos Lindos,Bad Bunny; Bomba Estéreo,230657268
11,Running Up That Hill (A Deal With God),Kate Bush,168672178
12,Glimpse of Us,Joji,225929291
13,Under The Influence,Chris Brown,312837330
14,Bad Habit,Steve Lacy,271797873
15,Moscow Mule,Bad Bunny,194663193
16,Super Freaky Girl,Nicki Minaj,203543684
17,Heat Waves,Glass Animals,203068843
18,PROVENZA,KAROL G,175186307
19,SNAP,Rosa Linn,224846882
20,Left and Right (Feat. Jung Kook of BTS),Charlie Puth; Jung Kook; BTS,174822720
21,I'm Good (Blue),David Guetta; Bebe Rexha,397185925
22,Another Love,Tom Odell,239370330
23,Doja,Central Cee,157378781
24,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,185415091
25,Late Night Talking,Harry Styles,162086169
26,About Damn Time,Lizzo,139385885
27,Neverita,Bad Bunny,190458716
28,I Like You (A Happier Song) (with Doja Cat),Post Malone; Doja Cat,150747181
29,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,150810356
30,Tarot,Bad Bunny; Jhayco,133355965
31,Until I Found You,Stephen Sanchez,207924660
32,GATÚBELA,KAROL G; Maldy,134537316
33,Sunroof,Nicky Youre; dazy,147416384
34,Ferrari,James Hype; Miggy Dela Rosa,118994561
35,Die For You,The Weeknd,259973197
36,Te Felicito,Shakira; Rauw Alejandro,124850139
37,Caile,Luar La L,129337669
38,Jimmy Cooks (feat. 21 Savage),Drake; 21 Savage,145586779
39,Sweater Weather,The Neighbourhood,201688530
40,Party,Bad Bunny; Rauw Alejandro,123692790
41,Bam Bam (feat. Ed Sheeran),Camila Cabello; Ed Sheeran,112068027
42,Hold Me Closer,Elton John; Britney Spears,125405482
43,Mary On A Cross,Ghost,122444802
44,cómo dormiste?,Rels B,102928485
45,Bones,Imagine Dragons,181122555
46,Ghost,Justin Bieber,125977836
47,Blinding Lights,The Weeknd,147164162
48,La Corriente,Bad Bunny; Tony Dize,116604447
49,Bad Decisions (with BTS & Snoop Dogg),benny blanco; BTS; Snoop Dogg,34709341
50,505,Arctic Monkeys,139653972
51,LOKERA,Rauw Alejandro; Lyanno; Brray,155043636
52,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,114759218
53,BREAK MY SOUL,Beyoncé,58806185
54,After LIKE,IVE,66620294
55,MIDDLE OF THE NIGHT,Elley Duhé,117210421
56,Dandelions,Ruth B.,135515184
57,Talk that Talk,TWICE,48420756
58,Una Noche en Medellín,Cris Mj,79812800
59,Shivers,Ed Sheeran,112829183
60,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,111776684
