ID,Track,Singer(s),Stream
1,As It Was,Harry Styles,587596460
2,Running Up That Hill (A Deal With God),Kate Bush,512005191
3,Me Porto Bonito,Bad Bunny; Chencho Corleone,491445090
4,Ojitos Lindos,Bad Bunny; Bomba Estéreo,370318376
5,Tití Me Preguntó,Bad Bunny,426113155
6,Late Night Talking,Harry Styles,225499406
7,Moscow Mule,Bad Bunny,302773438
8,Party,Bad Bunny; Rauw Alejandro,225038087
9,About Damn Time,Lizzo,244305136
10,PROVENZA,KAROL G,273993102
11,Efecto,Bad Bunny,344724816
12,Heat Waves,Glass Animals,282354215
13,First Class,Jack Harlow,194107966
14,Bam Bam (feat. Ed Sheeran),Camila Cabello; Ed Sheeran,205442290
15,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,222505635
16,Matilda,Harry Styles,103084810
17,Tarot,Bad Bunny; Jhayco,217980916
18,Después de la Playa,Bad Bunny,166173262
19,Music For a Sushi Restaurant,Harry Styles,102989859
20,MIDDLE OF THE NIGHT,Elley Duhé,172735153
21,Daylight,Harry Styles,66165436
22,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,204191898
23,Un Ratito,Bad Bunny,146154725
24,Little Freak,Harry Styles,45003141
25,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,153667664
26,True Love,Kanye West; XXXTENTACION,39736773
27,Ghost,Justin Bieber,169868708
28,Potion (with Dua Lipa & Young Thug),Calvin Harris; Dua Lipa; Young Thug,79194275
29,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,147801989
30,Una Noche en Medellín,Cris Mj,160126748
31,MAMIII,Becky G; KAROL G,154815250
32,Woman,Doja Cat,148165664
33,Until I Found You,Stephen Sanchez,169343033
34,Shivers,Ed Sheeran,150573942
35,Grapejuice,Harry Styles,34020518
36,N95,Kendrick Lamar,44757593
37,Satellite,Harry Styles,45742625
38,Yo No Soy Celoso,Bad Bunny,114489818
39,WAIT FOR U (feat. Drake & Tems),Future; Drake; Tems,142262623
40,Where Are You Now,Lost Frequencies; Calum Scott,146648158
41,Neverita,Bad Bunny,139450811
42,Desesperados,Rauw Alejandro; Chencho Corleone,142111978
43,Love Of My Life,Harry Styles,37640571
44,good 4 u,Olivia Rodrigo,124143472
45,La Corriente,Bad Bunny; Tony Dize,157723613
