ID,Track,Singer(s),Stream
112,you should see me in a crown,Billie Eilish,58281263
113,Aute Cuture,ROSALÍA,6078174
114,Not Ok,Kygo; Chelsea Cutler,20024706
115,Arcade,Duncan Laurence,10122632
116,Perfect,Ed Sheeran,77977731
117,Robbery,Juice WRLD,25612019
118,What I Like About You (feat. Theresa Rex),Jonas Blue; Theresa Rex,35182088
119,Look Back at It,A Boogie Wit da Hoodie,32310533
120,Love Thru the Computer (feat. Justin Bieber),Gucci Mane; Justin Bieber,2253613
121,Moonlight,XXXTENTACION,68994431
122,Envy Me,Calboy,20022518
123,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding; Diplo; Swae Lee,47483400
124,Amanece,Anuel AA; Haze,22361929
125,Get You The Moon (feat. Snøw),Kina; Snøw,36750750
126,2002,Anne-Marie,70667111
127,God's Plan,Drake,65470482
128,I Like Me Better,Lauv,70585632
129,Desconocidos,Mau y Ricky; Manuel Turizo; Camilo,60690504
130,Ella Quiere Beber - Remix,Anuel AA; Romeo Santos,27929730
131,Under Enemy Arms,Trippie Redd,2151548
132,Just Us (feat. SZA),DJ Khaled; SZA,12369806
133,Another One Bites The Dust - Remastered 2011,Queen,68492442
134,Thunder,Imagine Dragons,70276056
135,Taste (feat. Offset),Tyga; Offset,65566010
136,Clout (feat. Cardi B),Offset; Cardi B,24309900
137,Wieder Lila,Samra; Capital Bra,6454765
138,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,61418776
139,Cuaderno,Dalex; Nicky Jam; Justin Quiles; Sech; Lenny Tavárez; Feid; Rafa Pabön,92992259
140,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,15040297
141,Earth,Lil Dicky,4808873
142,Body,Loud Luxury; Brando,60709881
143,D.R.E.A.M. (feat. Ghostface Killah),Miley Cyrus; Ghostface Killah,1384766
144,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,46634553
145,La Haine,Luciano,5311908
146,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,48923598
147,Always Remember Us This Way,Lady Gaga,31056907
148,Unholy,Miley Cyrus,2614394
149,Broke Leg (with Quavo & Tyga),Tory Lanez; Quavo; Tyga,3926673
150,Un Año,Sebastian Yatra; Reik,13816770
151,Bruises,Lewis Capaldi,18337230
152,Jocelyn Flores,XXXTENTACION,59199875
153,my strange addiction,Billie Eilish,20019636
154,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,54279036
155,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,27456457
156,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,5848850
157,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra; De La Ghetto; Justin Quiles,14233223
158,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,10116940
159,Say You Won't Let Go,James Arthur,68678782
160,Walk Me Home,P!nk,11026791
161,Dancin (feat. Luvli) - Krono Remix,Aaron Smith; Krono; Luvli,29825163
162,The Middle,Zedd; Maren Morris; Grey,57289020
163,Havana (feat. Young Thug),Camila Cabello; Young Thug,62404895
164,Mixed Personalities (feat. Kanye West),YNW Melly; Kanye West,10783165
165,Rebota,Guaynaa,1920749
166,Falling Like The Stars,James Arthur,7662143
167,In My Feelings,Drake,19983103
168,Under Pressure - Remastered 2011,Queen; David Bowie,49201880
169,New Rules,Dua Lipa,18023424
170,Swing,Danny Ocean,11329698
171,IDGAF,Dua Lipa,21701943
172,The Search,NF,4097367
173,xanny,Billie Eilish,12774062
174,ocean eyes,Billie Eilish,50417287
175,a lot,21 Savage,13877159
176,Hold Me While You Wait,Lewis Capaldi,5281059
177,all the good girls go to hell,Billie Eilish,14201300
178,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,12525689
179,Mo Bamba,Sheck Wes,2537881
180,Africa,TOTO,49216290
181,Closer,The Chainsmokers; Halsey,58839788
182,Love Me Less (feat. Quinn XCII),MAX; Quinn XCII,8691224
183,Saturday Nights,Khalid,15546818
184,Wonderwall - Remastered,Oasis,57657851
185,Lost In Japan,Shawn Mendes,50242318
186,Photograph,Ed Sheeran,57874077
187,i love you,Billie Eilish,67321573
188,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson; Miley Cyrus,2500560
189,I Can’t Get Enough (benny blanco Selena Gomez J Balvin Tainy),benny blanco; Selena Gomez; J Balvin; Tainy,2475163
190,Congratulations,Post Malone; Quavo,30716543
191,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled; Cardi B; 21 Savage,650394
192,Malediven,MERO,650069
193,Date La Vuelta,Luis Fonsi; Sebastian Yatra; Nicky Jam,4453781
194,I THINK,Tyler; The Creator,3228613
195,Too Good At Goodbyes,Sam Smith,55815010
196,Something Just Like This,The Chainsmokers; Coldplay,55668110
197,no tears left to cry,Ariana Grande,15271304
198,I'm Yours,Jason Mraz,41953064
199,Please Me,Cardi B; Bruno Mars,1881947
200,Natural,Imagine Dragons,9024649
201,idontwannabeyouanymore,Billie Eilish,47502353
202,bellyache,Billie Eilish,11343930
203,Shotta Flow,NLE Choppa,6259193
204,FRIENDS,Marshmello; Anne-Marie,3682504
205,All of Me,John Legend,43023266
206,changes,XXXTENTACION,10859159
207,La Boca,Mau y Ricky; Camilo,41955427
208,Ransom,Lil Tecca,215427289
209,Thinking out Loud,Ed Sheeran,19700563
210,Faucet Failure,Ski Mask The Slump God,2529611
211,Vermissen (feat. Henning May),Juju; Henning May,1902029
212,Love Someone,Lukas Graham,614206
213,Amor Genuino,Ozuna,22783592
214,MOWGLI II,PNL,1967738
215,Starving,Hailee Steinfeld; Grey; Zedd,1249034
216,XO Tour Llif3,Lil Uzi Vert,1857997
217,Tough Love,Avicii; Agnes; Vargas & Lagola,935531
218,Heaven,Avicii,94962901
219,CIVIL WAR - Bonus,Russ,1901185
220,Peace Of Mind (feat. Vargas & Lagola),Avicii; Vargas & Lagola,2510356
221,SOS (feat. Aloe Blacc),Avicii; Aloe Blacc,138492223
222,Only Human,Jonas Brothers,96544979
223,Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS; Charli XCX,18648089
224,Veleno 7,Gemitaiz; MadMan,5357554
225,Haute (feat. J Balvin & Chris Brown),Tyga; J Balvin; Chris Brown,11936580
226,Tough Love (feat. Agnes Vargas & Lagola),Avicii; Agnes; Vargas & Lagola,7088509
227,Tricheur,Nekfeu; Damso,5543306
228,Hold The Line (feat. A R I Z O N A),Avicii; A R I Z O N A,3226360
229,Heart Upon My Sleeve (feat. Imagine Dragons),Avicii; Imagine Dragons,3925187
230,I Believe,Jonas Brothers,2566864
231,Bad Reputation (feat. Joe Janiak),Avicii; Joe Janiak,3194944
232,Government Official,Future,2471438
233,Cool,Jonas Brothers,4620136
234,Freak (feat. Bonn),Avicii; Bonn,1660808
235,Ain't A Thing (feat. Bonn),Avicii; Bonn,977771
236,Used To Be,Jonas Brothers,967592
