Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,As It Was,Harry Styles,7.431.739,1,1,67
2,Running Up That Hill (A Deal With God),Kate Bush,7.415.597,2,2,9
3,Me Porto Bonito,Bad Bunny; Chencho Corleone,5.324.837,2,3,31
4,Ojitos Lindos,Bad Bunny; Bomba Estéreo,4.923.727,2,4,31
5,Tití Me Preguntó,Bad Bunny,4.423.179,4,5,31
6,Moscow Mule,Bad Bunny,3.659.382,1,6,31
7,Efecto,Bad Bunny,3.320.614,7,9,31
8,PROVENZA,KAROL G,3.312.037,4,7,45
9,Party,Bad Bunny; Rauw Alejandro,3.276.016,6,8,31
10,Late Night Talking,Harry Styles,3.269.922,2,11,17
11,Heat Waves,Glass Animals,3.173.145,1,13,527
12,About Damn Time,Lizzo,3.113.512,7,12,39
13,I Like You (A Happier Song) (with Doja Cat),Post Malone; Doja Cat,3.086.151,6,10,3
14,First Class,Jack Harlow,2.905.055,1,14,59
15,Te Felicito,Shakira; Rauw Alejandro,2.762.149,15,15,35
16,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,2.584.906,1,18,332
17,Bam Bam (feat. Ed Sheeran),Camila Cabello; Ed Sheeran,2.475.730,5,17,94
18,Cooped Up (with Roddy Ricch),Post Malone; Roddy Ricch,2.433.180,13,16,24
19,Después de la Playa,Bad Bunny,2.308.569,3,19,31
20,Tarot,Bad Bunny; Jhayco,2.294.047,5,21,31
21,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,2.237.692,2,20,297
22,MIDDLE OF THE NIGHT,Elley Duhé,2.175.991,9,22,155
23,Una Noche en Medellín,Cris Mj,1.991.088,6,23,105
24,Ghost,Justin Bieber,1.988.714,10,27,241
25,Un Ratito,Bad Bunny,1.965.984,7,24,31
26,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,1.965.472,3,26,220
27,Until I Found You,Stephen Sanchez,1.926.424,27,37,28
28,Matilda,Harry Styles,1.924.959,5,29,17
29,MAMIII,Becky G; KAROL G,1.923.899,5,25,115
30,Music For a Sushi Restaurant,Harry Styles,1.877.678,3,28,17
31,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,1.836.134,2,30,318
32,Woman,Doja Cat,1.826.000,5,31,322
33,Daylight,Harry Styles,1.737.326,7,36,17
34,Desesperados,Rauw Alejandro; Chencho Corleone,1.719.978,8,33,162
35,Envolver,Anitta,1.710.911,1,32,93
36,Shivers,Ed Sheeran,1.701.763,4,34,269
37,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1.695.343,1,38,10
38,WAIT FOR U (feat. Drake & Tems),Future; Drake; Tems,1.689.389,5,41,38
39,Yo No Soy Celoso,Bad Bunny,1.652.032,10,39,31
40,Where Are You Now,Lost Frequencies; Calum Scott,1.647.452,17,35,280
41,ULTRA SOLO,Polimá Westcoast; Pailita,1.618.465,41,47,42
42,Neverita,Bad Bunny,1.605.779,11,43,31
43,Potion (with Dua Lipa & Young Thug),Calvin Harris; Dua Lipa; Young Thug,1.599.524,19,40,10
44,True Love,Kanye West; XXXTENTACION,1.592.119,14,42,10
