Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap; Quevedo,6.504.176,1,1,32
2,As It Was,Harry Styles,5.182.400,1,2,130
3,Me Porto Bonito,Bad Bunny; Chencho Corleone,4.885.894,2,3,94
4,Tití Me Preguntó,Bad Bunny,4.473.564,4,4,94
5,Running Up That Hill (A Deal With God),Kate Bush,3.993.915,1,5,72
6,Efecto,Bad Bunny,3.534.979,6,7,94
7,DESPECHÁ,ROSALÍA,3.459.631,6,6,11
8,Glimpse of Us,Joji,3.411.435,1,9,59
9,Ojitos Lindos,Bad Bunny; Bomba Estéreo,3.122.980,2,8,94
10,Bad Habit,Steve Lacy,2.856.498,9,12,32
11,Moscow Mule,Bad Bunny,2.800.454,1,10,94
12,Heat Waves,Glass Animals,2.733.543,1,14,590
13,PROVENZA,KAROL G,2.607.729,4,11,108
14,Bad Decisions (with BTS & Snoop Dogg),benny blanco; BTS; Snoop Dogg,2.508.979,7,13,3
15,I Ain't Worried,OneRepublic,2.486.490,12,16,64
16,Left and Right (Feat. Jung Kook of BTS),Charlie Puth; Jung Kook; BTS,2.465.667,3,17,45
17,La Bachata,Manuel Turizo,2.444.714,14,15,35
18,STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled; Drake; Lil Baby,2.239.100,18,19,3
19,Doja,Central Cee,2.166.696,14,20,17
20,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,2.092.334,1,25,395
21,Tarot,Bad Bunny; Jhayco,2.081.753,5,21,94
22,About Damn Time,Lizzo,2.069.672,7,22,102
23,BREAK MY SOUL,Beyoncé,2.038.010,5,18,48
24,Te Felicito,Shakira; Rauw Alejandro,2.022.923,12,23,98
25,SNAP,Rosa Linn,1.992.616,25,27,28
26,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,1.992.121,2,24,360
27,Party,Bad Bunny; Rauw Alejandro,1.950.987,6,26,94
28,Late Night Talking,Harry Styles,1.850.657,2,29,80
29,I Like You (A Happier Song) (with Doja Cat),Post Malone; Doja Cat,1.830.124,6,30,66
30,Bam Bam (feat. Ed Sheeran),Camila Cabello; Ed Sheeran,1.785.410,5,28,157
31,Sunroof,Nicky Youre; dazy,1.721.190,27,31,92
32,Under The Influence,Chris Brown,1.711.854,31,37,16
33,Sweater Weather,The Neighbourhood,1.692.040,29,39,694
34,Jimmy Cooks (feat. 21 Savage),Drake; 21 Savage,1.667.573,4,32,52
35,Blinding Lights,The Weeknd,1.653.095,1,34,983
36,Kesariya (From "Brahmastra"),Pritam; Arijit Singh; Amitabh Bhattacharya,1.626.803,24,47,22
37,Die For You,The Weeknd,1.613.151,34,46,85
38,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1.601.995,1,36,73
39,Until I Found You,Stephen Sanchez,1.597.410,26,45,91
40,La Corriente,Bad Bunny; Tony Dize,1.594.313,12,33,94
41,Ghost,Justin Bieber,1.584.209,10,42,304
42,MIDDLE OF THE NIGHT,Elley Duhé,1.582.302,9,44,218
43,Another Love,Tom Odell,1.523.861,27,49,225
44,Una Noche en Medellín,Cris Mj,1.518.515,6,38,168
45,Ferrari,James Hype; Miggy Dela Rosa,1.517.858,34,35,62
46,First Class,Jack Harlow,1.507.053,1,40,122
47,Después de la Playa,Bad Bunny,1.505.143,3,41,94
48,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1.494.604,26,43,66
49,Dandelions,Ruth B.,1.432.874,32,58,225
50,Shivers,Ed Sheeran,1.358.616,4,48,332
51,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,1.356.072,3,56,283
