Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Running Up That Hill (A Deal With God),Kate Bush,6.725.549,1,1,37
2,As It Was,Harry Styles,6.150.066,1,2,95
3,Glimpse of Us,Joji,5.257.672,1,4,24
4,Me Porto Bonito,Bad Bunny; Chencho Corleone,5.255.072,2,3,59
5,Tití Me Preguntó,Bad Bunny,4.542.890,4,5,59
6,Ojitos Lindos,Bad Bunny; Bomba Estéreo,3.930.338,2,6,59
7,Left and Right (Feat. Jung Kook of BTS),Charlie Puth; Jung Kook; BTS,3.708.636,3,7,10
8,Efecto,Bad Bunny,3.521.978,7,8,59
9,Moscow Mule,Bad Bunny,3.258.036,1,9,59
10,Heat Waves,Glass Animals,3.056.404,1,10,555
11,PROVENZA,KAROL G,2.737.332,4,11,73
12,About Damn Time,Lizzo,2.566.849,7,12,67
13,Jimmy Cooks (feat. 21 Savage),Drake; 21 Savage,2.486.900,4,14,17
14,Te Felicito,Shakira; Rauw Alejandro,2.428.642,12,13,63
15,Party,Bad Bunny; Rauw Alejandro,2.424.125,6,15,59
16,Tarot,Bad Bunny; Jhayco,2.292.998,5,17,59
17,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,2.245.298,1,18,360
18,MORE,j-hope,2.070.283,9,16,3
19,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,2.068.447,2,19,325
20,Bam Bam (feat. Ed Sheeran),Camila Cabello; Ed Sheeran,2.050.956,5,20,122
21,First Class,Jack Harlow,2.026.560,1,22,87
22,Late Night Talking,Harry Styles,2.009.902,2,23,45
23,I Ain't Worried,OneRepublic,1.996.109,23,25,29
24,BREAK MY SOUL,Beyoncé,1.987.590,5,21,13
25,I Like You (A Happier Song) (with Doja Cat),Post Malone; Doja Cat,1.975.703,6,24,31
26,Master Of Puppets,Metallica,1.866.678,26,47,3
27,Después de la Playa,Bad Bunny,1.797.477,3,27,59
28,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1.795.999,1,26,38
29,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1.762.502,26,31,31
30,Ghost,Justin Bieber,1.740.743,10,33,269
31,MIDDLE OF THE NIGHT,Elley Duhé,1.738.298,9,34,183
32,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,1.720.825,3,32,248
33,Yet To Come,BTS,1.713.507,3,29,24
34,Until I Found You,Stephen Sanchez,1.692.491,26,38,56
35,Una Noche en Medellín,Cris Mj,1.664.270,6,28,133
36,MAMIII,Becky G; KAROL G,1.650.108,5,30,143
37,La Corriente,Bad Bunny; Tony Dize,1.626.612,12,35,59
38,Sunroof,Nicky Youre; dazy,1.575.628,38,42,57
39,Un Ratito,Bad Bunny,1.568.391,7,37,59
40,Woman,Doja Cat,1.549.710,5,39,350
41,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,1.527.009,2,43,346
42,Desesperados,Rauw Alejandro; Chencho Corleone,1.505.774,8,36,190
43,Shivers,Ed Sheeran,1.498.065,4,40,297
44,Blinding Lights,The Weeknd,1.470.980,1,45,948
45,Where Are You Now,Lost Frequencies; Calum Scott,1.438.422,17,41,308
46,Massive,Drake,1.434.934,15,44,17
47,WAIT FOR U (feat. Drake & Tems),Future; Drake; Tems,1.422.231,5,48,66
48,Dandelions,Ruth B.,1.414.780,32,54,190
49,Sweater Weather,The Neighbourhood,1.412.983,29,53,659
50,Pepas,Farruko,1.392.332,3,46,357
51,Neverita,Bad Bunny,1.387.580,11,52,59
52,Watermelon Sugar,Harry Styles,1.383.248,4,50,190
53,Another Love,Tom Odell,1.380.628,27,57,190
54,ULTRA SOLO REMIX,Polimá Westcoast; Feid; Pailita; Paloma Mami; De La Ghetto,1.332.767,32,49,17
55,Andrea,Bad Bunny; Buscabulla,1.306.467,21,58,59
56,good 4 u,Olivia Rodrigo,1.285.316,1,60,416
57,Hot Shit (feat. Ye & Lil Durk),Cardi B; Kanye West; Lil Durk,1.274.796,27,51,3
58,Bad Habits,Ed Sheeran,1.251.783,3,55,374
59,Yo No Soy Celoso,Bad Bunny,1.229.466,10,61,59
60,traitor,Olivia Rodrigo,1.225.483,7,68,409
61,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi; Anuel AA; Chencho Corleone; Ñengo Flow,1.211.991,56,56,45
62,Easy On Me,Adele,1.208.606,1,65,263
63,Run BTS,BTS,1.204.409,6,62,24
64,Die For You,The Weeknd,1.189.094,64,76,50
65,Envolver,Anitta,1.183.069,1,59,121
66,POP!,NAYEON,1.179.824,62,79,10
67,Me Fui de Vacaciones,Bad Bunny,1.175.962,12,63,59
68,Aguacero,Bad Bunny,1.166.079,18,67,59
69,Levitating (feat. DaBaby),Dua Lipa; DaBaby,1.157.632,4,64,640
70,Music For a Sushi Restaurant,Harry Styles,1.145.446,3,69,45
71,Happier Than Ever,Billie Eilish,1.135.392,6,85,339
72,Dos Mil 16,Bad Bunny,1.132.971,17,71,59
73,Save Your Tears,The Weeknd,1.121.615,2,74,190
74,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy; Bad Bunny; Julieta Venegas,1.121.250,7,70,272
75,drivers license,Olivia Rodrigo,1.117.288,1,81,542
76,Un Coco,Bad Bunny,1.114.977,22,83,59
77,505,Arctic Monkeys,1.108.925,49,93,176
78,deja vu,Olivia Rodrigo,1.106.318,3,86,190
79,THATS WHAT I WANT,Lil Nas X,1.088.297,3,75,290
80,Don’t Blame Me,Taylor Swift,1.067.043,69,98,47
81,Yonaguni,Bad Bunny,1.063.976,3,78,395
82,Kiss Me More (feat. SZA),Doja Cat; SZA,1.055.837,2,87,451
83,Matilda,Harry Styles,1.050.445,5,95,45
84,Wait a Minute!,WILLOW,1.049.224,25,92,107
85,Cooped Up (with Roddy Ricch),Post Malone; Roddy Ricch,1.042.849,13,82,52
86,Ferrari,James Hype; Miggy Dela Rosa,1.041.546,66,66,27
87,abcdefu,GAYLE,1.040.977,1,84,232
88,ULTRA SOLO,Polimá Westcoast; Pailita,1.034.526,41,77,70
89,Light Switch,Charlie Puth,1.028.200,11,96,165
90,I Love You So,The Walters,1.018.779,18,111,266
91,Pass The Dutchie,Musical Youth,1.017.270,81,107,32
92,Bones,Imagine Dragons,1.015.073,39,73,115
93,House of Memories,Panic! At The Disco,1.014.440,58,100,73
94,Sticky,Drake,1.004.285,9,88,17
95,My Universe,Coldplay; BTS,998.202,3,90,283
96,Callaita,Bad Bunny; Tainy,996.043,5,101,59
97,Otro Atardecer,Bad Bunny; The Marías,991.814,20,102,59
98,In The Stars,Benson Boone,985.173,49,106,66
99,Call Out My Name,The Weeknd,983.108,1,116,11
100,The Motto,Tiësto; Ava Max,980.528,20,80,190
101,Belly Dancer,Imanbek; BYOR,972.967,72,72,35
102,Every Breath You Take,The Police,970.351,102,105,37
103,Believer,Imagine Dragons,966.191,15,104,190
104,Only Love Can Hurt Like This,Paloma Faith,961.575,97,112,29
105,Night Changes,One Direction,961.195,102,122,36
106,lovely (with Khalid),Billie Eilish; Khalid,955.683,19,126,190
107,Potion (with Dua Lipa & Young Thug),Calvin Harris; Dua Lipa; Young Thug,951.990,19,89,38
108,Without Me,Eminem,950.359,29,103,190
109,Pasoori,Shae Gill; Ali Sethi,943.861,89,157,23
110,Everybody Wants To Rule The World,Tears For Fears,939.127,110,124,34
111,Bohemian Rhapsody - Remastered 2011,Queen,931.302,10,109,136
112,Boyfriend,Dove Cameron,929.658,11,121,143
113,Fuera del mercado,Danny Ocean,927.874,21,94,111
114,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd; Ariana Grande,927.805,3,108,437
115,Dynamite,BTS,926.821,1,119,190
116,Where Did You Go? (feat. MNEK),Jax Jones; MNEK,923.242,91,91,70
117,Villano Antillano: Bzrp Music Sessions Vol. 51,Bizarrap; Villano Antillano,922.468,83,99,25
118,Someone You Loved,Lewis Capaldi,918.242,4,129,190
119,Yellow,Coldplay,913.246,55,135,190
120,Angel Baby,Troye Sivan,912.225,56,146,94
121,After Dark,Mr.Kitty,909.218,108,142,57
122,Starboy,The Weeknd; Daft Punk,905.064,1,132,36
123,Need to Know,Doja Cat,901.699,6,128,388
124,SLOW DANCING IN THE DARK,Joji,900.968,82,149,21
125,Daylight,Harry Styles,899.025,7,125,45
126,Bandido,Zé Felipe; MC Mari,898.261,72,97,11
127,Sweetest Pie,Megan Thee Stallion; Dua Lipa,897.052,13,127,115
128,Hold My Hand,Lady Gaga,895.427,103,117,35
129,Enséñame a Bailar,Bad Bunny,892.882,19,130,59
130,Ojos Marrones,Lasso,889.255,117,123,5
131,Payphone,Maroon 5; Wiz Khalifa,888.628,63,140,170
132,Un Verano Sin Ti,Bad Bunny,887.889,16,141,59
133,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,884.348,1,131,472
134,Yo Voy (feat. Daddy Yankee),Zion & Lennox,882.071,52,114,134
135,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,877.160,1,147,555
136,Infinity,Jaymes Young,875.159,10,136,221
137,MONTERO (Call Me By Your Name),Lil Nas X,872.812,1,134,465
138,No Role Modelz,J. Cole,863.168,69,153,161
139,Mr. Brightside,The Killers,862.091,73,143,189
140,Riptide,Vance Joy,859.965,114,156,173
141,Jordan,Ryan Castro,854.970,27,115,129
142,Don't Start Now,Dua Lipa,851.371,2,118,190
143,DÁKITI,Bad Bunny; Jhayco,851.171,1,137,612
144,Blank Space,Taylor Swift,847.355,104,158,176
145,I Was Never There,The Weeknd; Gesaffelstein,846.493,8,173,8
146,X ÚLTIMA VEZ,Daddy Yankee; Bad Bunny,842.818,8,120,101
147,Beggin',Måneskin,841.652,1,138,398
148,Circles,Post Malone,839.466,1,155,42
149,The Real Slim Shady,Eminem,834.063,36,151,190
150,Counting Stars,OneRepublic,828.988,101,162,190
151,Shape of You,Ed Sheeran,824.970,1,161,190
152,Baile no Morro,MC Tairon; Mc Vitin Da Igrejinha; Dj Win,821.831,110,110,4
153,Smells Like Teen Spirit - Remastered,Nirvana,820.958,92,154,190
154,LA CANCIÓN,J Balvin; Bad Bunny,806.663,16,150,3
155,Heather,Conan Gray,803.679,11,200,8
156,Unstoppable,Sia,801.644,102,165,140
157,Softcore,The Neighbourhood,800.319,31,196,179
158,The Hills,The Weeknd,798.630,24,182,8
159,Todo De Ti,Rauw Alejandro,798.355,2,145,409
160,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,Journey; Steve Perry,795.478,160,—,1
161,SUPERMODEL,Måneskin,794.750,84,152,52
162,happier,Olivia Rodrigo,793.608,12,197,2
163,Numb,Marshmello; Khalid,789.344,93,160,24
164,Locked out of Heaven,Bruno Mars,788.418,102,169,189
165,Perfect,Ed Sheeran,784.833,3,179,23
166,One Dance,Drake; Wizkid; Kyla,783.804,5,181,163
167,Crazy What Love Can Do,David Guetta; Becky Hill; Ella Henderson,780.608,94,133,27
168,Dark Red,Steve Lacy,776.728,58,—,1
169,Gangsta's Paradise,Coolio; L.V.,773.897,110,166,172
170,Ai Preto,L7NNON; DJ Biel do Furduncinho; Bianca,771.760,139,139,3
171,N95,Kendrick Lamar,767.389,1,170,52
172,Butter,BTS,762.472,2,—,1
173,Sweet Child O' Mine,Guns N' Roses,762.020,116,172,4
174,Die Young (feat. 347aidan),Sleepy Hallow; 347aidan,760.661,87,191,39
175,Satellite,Harry Styles,758.005,11,188,45
176,Sharks,Imagine Dragons,757.023,86,159,10
177,El Apagón,Bad Bunny,756.329,23,190,59
178,she's all i wanna be,Tate McRae,756.312,28,175,150
179,JGL,La Adictiva; Luis R Conriquez,753.680,179,199,2
180,Do It To It,ACRAZE; Cherish,753.257,6,144,247
181,Revenge,XXXTENTACION,752.992,24,—,1
182,Little Freak,Harry Styles,752.882,6,—,1
183,En El Radio Un Cochinero,Victor Cibrian,752.252,118,194,2
184,Iris,The Goo Goo Dolls,749.545,111,—,1
185,Wake Me Up,Avicii,745.747,4,176,6
186,Hot In It,Tiësto; Charli XCX,744.612,71,148,3
187,The Nights,Avicii,742.849,24,198,190
188,Don't Stop Believin',Journey,740.579,141,186,2
189,There's Nothing Holdin' Me Back,Shawn Mendes,739.480,5,195,2
190,Rich Minion,Yeat,739.067,159,180,3
191,Agosto,Bad Bunny,736.586,24,—,1
192,Daddy Issues,The Neighbourhood,736.435,91,—,1
193,Balanço da Rede,Matheus Fernandes; Xand Avião,735.671,98,163,2
194,Thousand Miles,The Kid LAROI,732.854,13,—,1
195,Dance Monkey,Tones And I,731.537,1,177,3
196,Nos Comemos (feat. Ozuna),Tiago PZK; Ozuna,729.894,128,164,6
197,Apocalypse,Cigarettes After Sex,729.617,197,—,1
198,Tacones Rojos,Sebastian Yatra,728.508,38,167,3
199,LOVE DIVE,IVE,724.334,47,—,1
200,Lose Yourself - From "8 Mile" Soundtrack,Eminem,724.203,27,184,14
