Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,As It Was,Harry Styles,11.010.283,1,1,3
2,Heat Waves,Glass Animals,4.403.067,1,2,463
3,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,3.598.666,1,3,268
4,Envolver,Anitta,3.519.371,1,4,29
5,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,3.250.246,3,5,156
6,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,3.084.041,2,6,233
7,abcdefu,GAYLE,2.870.133,1,8,140
8,Plan A,Paulo Londra,2.829.651,2,7,11
9,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,2.776.976,2,9,254
10,MAMIII,Becky G; KAROL G,2.744.523,5,11,51
11,Una Noche en Medellín,Cris Mj,2.649.547,11,15,41
12,Desesperados,Rauw Alejandro; Chencho Corleone,2.631.461,8,13,98
13,Ghost,Justin Bieber,2.476.337,10,12,177
14,Bam Bam (feat. Ed Sheeran),Camila Cabello; Ed Sheeran,2.407.057,11,16,30
15,MIDDLE OF THE NIGHT,Elley Duhé,2.404.446,11,14,91
16,Shivers,Ed Sheeran,2.350.097,4,17,205
17,Woman,Doja Cat,2.349.480,5,18,258
18,Easy On Me,Adele,2.220.039,1,19,171
19,THATS WHAT I WANT,Lil Nas X,2.207.732,3,21,198
20,Where Are You Now,Lost Frequencies; Calum Scott,2.094.164,17,22,216
21,When You're Gone,Shawn Mendes,2.092.034,10,10,3
22,Pepas,Farruko,2.090.676,3,27,265
23,good 4 u,Olivia Rodrigo,2.051.494,1,23,324
24,Bad Habits,Ed Sheeran,2.045.955,3,24,282
25,The Motto,Tiësto; Ava Max,1.969.272,20,25,98
26,Boyfriend,Dove Cameron,1.921.240,11,26,51
27,My Universe,Coldplay; BTS,1.867.874,3,28,191
28,In My Head,Lil Tjay,1.865.357,20,20,2
29,Fuera del mercado,Danny Ocean,1.824.801,29,32,19
30,Infinity,Jaymes Young,1.808.483,10,29,129
31,Blinding Lights,The Weeknd,1.798.281,1,31,856
32,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy; Bad Bunny; Julieta Venegas,1.767.789,7,33,180
33,Another Love,Tom Odell,1.742.660,27,30,98
34,X ÚLTIMA VEZ,Daddy Yankee; Bad Bunny,1.706.914,8,36,9
35,I Love You So,The Walters,1.674.967,18,34,174
36,Yonaguni,Bad Bunny,1.670.472,3,40,303
37,Sweater Weather,The Neighbourhood,1.642.338,29,35,567
38,Do It To It,ACRAZE; Cherish,1.614.669,6,42,155
39,Need to Know,Doja Cat,1.608.680,6,37,296
40,Light Switch,Charlie Puth,1.598.838,11,38,73
41,Kiss Me More (feat. SZA),Doja Cat; SZA,1.564.293,2,43,359
42,We Don't Talk About Bruno,Carolina Gaitán - La Gaita; Mauro Castillo; Adassa; Rhenzy Feliz; Diane Guerrero; Stephanie Beatriz; Encanto - Cast,1.560.904,7,47,98
43,Dandelions,Ruth B.,1.540.166,32,41,98
44,Watermelon Sugar,Harry Styles,1.509.739,4,39,98
45,Levitating (feat. DaBaby),Dua Lipa; DaBaby,1.485.184,4,45,548
46,traitor,Olivia Rodrigo,1.466.407,7,44,317
47,Jordan,Ryan Castro,1.464.337,47,53,37
48,DANÇARINA,PEDRO SAMPAIO; Mc Pedrinho,1.399.073,24,71,44
49,Cool for the Summer,Demi Lovato,1.391.793,38,48,15
50,Save Your Tears,The Weeknd,1.388.696,2,49,98
51,Medallo,Blessd; Justin Quiles; Lenny Tavárez,1.385.236,43,56,132
52,Starlight,Dave,1.359.787,42,46,30
53,Pantysito,Alejo; Feid; ROBI,1.340.133,53,55,16
54,drivers license,Olivia Rodrigo,1.334.910,1,52,450
55,Yo Voy (feat. Daddy Yankee),Zion & Lennox,1.327.919,55,59,42
56,Something In The Way - Remastered,Nirvana,1.304.888,10,51,28
57,DÁKITI,Bad Bunny; Jhayco,1.292.316,1,64,520
58,MONTERO (Call Me By Your Name),Lil Nas X,1.289.157,1,58,373
59,Without Me,Eminem,1.279.812,29,54,98
