ID,Track,Singer(s),Stream
1,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,207459566
2,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,177760892
3,Heat Waves,Glass Animals,133888741
4,Pepas,Farruko,117592106
5,Bad Habits,Ed Sheeran,119126793
6,My Universe,Coldplay; BTS,113592476
7,Woman,Doja Cat,107091442
8,Shivers,Ed Sheeran,117918540
9,THATS WHAT I WANT,Lil Nas X,91696190
10,Beggin',Måneskin,90929054
11,good 4 u,Olivia Rodrigo,92127560
12,love nwantiti (ah ah ah),CKay,98254725
13,MONTERO (Call Me By Your Name),Lil Nas X,85247349
14,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,109676535
15,Life Goes On,Oliver Tree,84648728
16,Need to Know,Doja Cat,84879040
17,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay; Dj Yo!; AX'EL,89971074
18,Happier Than Ever,Billie Eilish,77584290
19,Way 2 Sexy (with Future & Young Thug),Drake; Future; Young Thug,65504007
20,Kiss Me More (feat. SZA),Doja Cat; SZA,76985797
21,MONEY,LISA,109315197
22,Yonaguni,Bad Bunny,64722243
23,Todo De Ti,Rauw Alejandro,59489666
24,Knife Talk (with 21 Savage ft. Project Pat),Drake; 21 Savage; Project Pat,55882534
25,Fair Trade (with Travis Scott),Drake; Travis Scott,52573130
26,Levitating (feat. DaBaby),Dua Lipa; DaBaby,61532265
27,Volví,Aventura; Bad Bunny,58393164
28,traitor,Olivia Rodrigo,61665311
29,In Da Getto,J Balvin; Skrillex,50255379
30,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,56276551
31,Blinding Lights,The Weeknd,58380388
32,Take My Breath - Single Version,The Weeknd,52154737
33,Meet Me At Our Spot,THE ANXIETY; WILLOW; Tyler Cole,60217148
34,Qué Más Pues?,J Balvin; Maria Becerra,46763416
35,LALISA,LISA,43875721
36,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,48825856
37,I WANNA BE YOUR SLAVE,Måneskin,46889226
38,Where Are You Now,Lost Frequencies; Calum Scott,54453552
39,Last One Standing (feat. Polo G Mozzy & Eminem) - From Venom: Let There Be Carnage,Skylar Grey; Polo G; Mozzy; Eminem,31753000
40,Girls Want Girls (with Lil Baby),Drake; Lil Baby,38814028
41,Don't Be Shy,Tiësto; KAROL G,49498693
42,Cúrame,Rauw Alejandro,43932894
43,Hurricane,Kanye West,37137792
44,2055,Sleepy Hallow,44113784
45,drivers license,Olivia Rodrigo,47553361
46,Ley Seca,Jhayco; Anuel AA,42334494
47,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry; Jax Jones; Charli XCX; Saweetie,46820560
48,Sobrio,Maluma,42798839
49,Get Into It (Yuh),Doja Cat,43193901
50,Butter,BTS,43565772
51,AM Remix,Nio Garcia; J Balvin; Bad Bunny,39565203
52,Volando - Remix,Mora; Bad Bunny; Sech,41272791
53,deja vu,Olivia Rodrigo,39539303
54,París,Ingratax,36406202
55,family ties (with Kendrick Lamar),Baby Keem; Kendrick Lamar,35224831
56,Watermelon Sugar,Harry Styles,41368823
57,Don't Go Yet,Camila Cabello,40221340
58,Wildest Dreams (Taylor's Version),Taylor Swift,27058180
59,Nostálgico,Rvssian; Rauw Alejandro; Chris Brown,43711785
