ID,Track,Singer(s),Stream
1,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,209857650
2,MONTERO (Call Me By Your Name),Lil Nas X,223333614
3,Astronaut In The Ocean,Masked Wolf,125703550
4,drivers license,Olivia Rodrigo,99508349
5,Save Your Tears,The Weeknd,96625236
6,telepatía,Kali Uchis,93486108
7,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,107103648
8,Heartbreak Anniversary,Giveon,95770581
9,Hold On,Justin Bieber,78662342
10,Blinding Lights,The Weeknd,84149442
11,DÁKITI,Bad Bunny; Jhayco,79243501
12,The Business,Tiësto,77531375
13,Levitating (feat. DaBaby),Dua Lipa; DaBaby,101523782
14,Fiel,Los Legendarios; Wisin; Jhayco,98087508
15,Up,Cardi B,73716933
16,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,77509349
17,Bandido,Myke Towers; Juhn,60306089
18,WITHOUT YOU,The Kid LAROI,61711040
19,Calling My Phone,Lil Tjay; 6LACK,61239258
20,Mood (feat. iann dior),24kGoldn; iann dior,61418846
21,Streets,Doja Cat,59334583
22,Ella No Es Tuya - Remix,Rochy RD; Myke Towers; Nicki Nicole,46290724
23,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,52242626
24,Dynamite,BTS,53319361
25,As I Am (feat. Khalid),Justin Bieber; Khalid,34659098
26,Anyone,Justin Bieber,46250300
27,911,Sech,54085555
28,Your Love (9PM),ATB; Topic; A7S,54935467
29,Arcade,Duncan Laurence,58208296
30,Watermelon Sugar,Harry Styles,54109773
31,Heat Waves,Glass Animals,54990038
32,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans; 220 KID; Billen Ted,43081213
33,We're Good,Dua Lipa,47020088
34,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,47574720
35,Goosebumps - Remix,Travis Scott; HVME,51414394
36,positions,Ariana Grande,45510125
37,Good Days,SZA,46099030
38,Someone You Loved,Lewis Capaldi,49665114
39,Whoopty,CJ,38070097
40,Don't Start Now,Dua Lipa,47718520
41,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,38565140
42,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,42665006
43,Hecha Pa' Mi,Boza,41745428
44,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,43229829
45,BICHOTA,KAROL G,32782652
46,Head & Heart (feat. MNEK),Joel Corry; MNEK,43792911
47,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5; Megan Thee Stallion,49708692
48,Film out,BTS,32916481
49,What’s Next,Drake,38816848
50,On The Ground,ROSÉ,33873034
51,you broke me first,Tate McRae,38305494
52,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,39269090
53,Best Friend (feat. Doja Cat),Saweetie; Doja Cat,44347982
54,GIRL LIKE ME,Black Eyed Peas; Shakira,37967507
55,34+35,Ariana Grande,38186105
56,Lonely (with benny blanco),Justin Bieber; benny blanco,32449698
57,My Head & My Heart,Ava Max,37934730
58,Dance Monkey,Tones And I,38001109
59,What You Know Bout Love,Pop Smoke,34598936
60,Sweater Weather,The Neighbourhood,39326610
61,deja vu,Olivia Rodrigo,94658924
62,Batom de Cereja - Ao Vivo,Israel & Rodolffo,37685660
63,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,32733254
64,Roses - Imanbek Remix,SAINt JHN; Imanbek,35945784
65,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,35525223
66,HOLIDAY,Lil Nas X,30452301
67,Wants and Needs (feat. Lil Baby),Drake; Lil Baby,35053014
68,Reloj,Rauw Alejandro; Anuel AA,32688340
69,Therefore I Am,Billie Eilish,33044480
70,Before You Go,Lewis Capaldi,34259224
71,Hawái,Maluma,31432285
72,SugarCrash!,ElyOtto,30532179
73,At My Worst,Pink Sweat$,28243500
74,Circles,Post Malone,31958154
75,BED,Joel Corry; RAYE; David Guetta,38787626
76,lovely (with Khalid),Billie Eilish; Khalid,32873361
77,Heather,Conan Gray,31966776
78,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,30362983
79,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,28694171
80,Adore You,Harry Styles,28985725
81,Machu Picchu,Camilo; Evaluna Montaner,26964265
82,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,30322113
83,Goosebumps,HVME,26000512
84,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,27535274
85,Travesuras - Remix,Nio Garcia; Casper Magico; Ozuna; Wisin & Yandel; Myke Towers; Flow La Movie,28502788
86,Golden,Harry Styles,26590365
87,No Te Enamores - Remix,Milly; Farruko; Nio Garcia; Jay Wheeler; Amenazzy,26969144
88,Life Goes On,BTS,20579811
89,goosebumps,Travis Scott,28783268
90,Shallow,Lady Gaga; Bradley Cooper,30533717
91,Señorita,Shawn Mendes; Camila Cabello,29737724
92,death bed (coffee for your head),Powfu; beabadoobee,28876280
93,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift; Maren Morris,14634920
94,Talking to the Moon,Bruno Mars,37372078
95,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay; Polo G; Fivio Foreign,32205601
96,EL MAKINON,KAROL G; Mariah Angeliq,40174901
97,Lucid Dreams,Juice WRLD,28295886
98,Believer,Imagine Dragons,29255721
99,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,28760181
100,LOCATION,KAROL G; Anuel AA; J Balvin,20801509
101,Breaking Me,Topic; A7S,27009790
102,Follow You,Imagine Dragons,28790359
103,Cloud 9,Beach Bunny,28624667
104,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,26680729
105,Disco Arranhado - Funk Remix,Malu; DJ Lucas Beat,29913333
106,The Box,Roddy Ricch,26742408
107,bad guy,Billie Eilish,28445106
108,Tapão Na Raba,Raí Saia Rodada,21328823
109,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,26396104
110,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,26209692
111,TE MUDASTE,Bad Bunny,27073822
112,Blueberry Faygo,Lil Mosey,25758329
113,PROBLEMA,Daddy Yankee,23097055
114,Unstable (feat. The Kid LAROI),Justin Bieber; The Kid LAROI,4728097
115,L-Gante: Bzrp Music Sessions Vol.38,Bizarrap; L-Gante,21889314
116,Take Me To Church,Hozier,27607826
117,Say You Won't Let Go,James Arthur,27179966
118,Shape of You,Ed Sheeran,27177563
119,Wasted Love (feat. Lagique),Ofenbach; Lagique,26907249
120,Ghost,Justin Bieber,3923966
121,The Hills,The Weeknd,26223213
122,Runaway,AURORA,57741851
123,Perfect,Ed Sheeran,26456643
124,Break My Heart,Dua Lipa,25189579
125,HIGHEST IN THE ROOM,Travis Scott,24843922
126,Martin & Gina,Polo G,29451470
127,Bohemian Rhapsody - Remastered 2011,Queen,25687721
128,Life Is Good (feat. Drake),Future; Drake,23883652
129,Cover Me In Sunshine,P!nk; Willow Sage Hart,31577196
130,Dreams - 2004 Remaster,Fleetwood Mac,26194483
131,Off My Face,Justin Bieber,3147269
132,Somebody That I Used To Know,Gotye; Kimbra,25200205
133,Facas - Ao Vivo,Diego & Victor Hugo; Bruno & Marrone,13508934
134,Dior,Pop Smoke,23972801
135,Chica Ideal,Sebastian Yatra; Guaynaa,12298789
136,Mi Niña,Wisin; Myke Towers; Los Legendarios,21798340
137,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,10087657
138,Daddy Issues,The Neighbourhood,25187983
139,Back in Blood (feat. Lil Durk),Pooh Shiesty; Lil Durk,24346533
140,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,24025175
141,Ride It,Regard,24337959
142,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke; A Boogie Wit da Hoodie,6179981
143,Ele É Ele Eu Sou Eu,Wesley Safadão; Os Barões Da Pisadinha,12444207
144,Stereo Hearts (feat. Adam Levine),Gym Class Heroes; Adam Levine,23666123
145,Tu Veneno,J Balvin,841921
146,HASTA ABAJO,Kevin Roldan; Bryant Myers; Lyanno,7592750
147,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes; Justin Bieber,20809328
