Rank,Track,Singer(s),Stream,Peak,Prev,Streak
90,Bola Rebola,Tropkillaz; J Balvin; Anitta; ZAAC,1.088.664,43,91,8
91,Taste (feat. Offset),Tyga; Offset,1.083.348,5,85,288
92,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD; Halsey; Travis Barker,1.082.821,54,77,15
93,Reggaeton,J Balvin,1.073.879,64,90,99
94,Legacy (feat. Travis Scott & 21 Savage),Offset; Travis Scott; 21 Savage,1.072.166,44,68,8
95,NI BIEN NI MAL,Bad Bunny,1.067.071,54,96,66
96,Body,Loud Luxury; Brando,1.055.207,18,94,66
97,no tears left to cry,Ariana Grande,1.052.289,2,87,316
98,Money,Cardi B,1.022.291,28,92,129
99,God's Plan,Drake,1.011.388,1,100,406
100,Bad Girls (feat. Gucci Mane),Lil Skies; Gucci Mane,1.007.391,100,—,1
101,HP,Maluma,999.461,101,—,1
102,Under Pressure - Remastered 2011,Queen; David Bowie,996.928,50,104,66
103,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,993.128,1,106,330
104,fake smile,Ariana Grande,992.166,8,84,22
105,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION; Lil Pump; Swae Lee; Maluma,991.991,3,99,128
106,Armed And Dangerous,Juice WRLD,988.707,35,97,66
107,Believer,Imagine Dragons,983.598,15,108,758
108,Love Someone,Lukas Graham,982.489,50,93,173
109,Imposible,Luis Fonsi; Ozuna,981.744,54,103,134
110,Bad Liar,Imagine Dragons,980.968,12,98,113
111,Walk Me Home,P!nk,978.445,74,82,8
112,Think About You,Kygo; Valerie Broussard,975.680,53,86,15
113,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,972.828,1,107,372
114,Mixed Personalities (feat. Kanye West),YNW Melly; Kanye West,967.522,112,114,11
115,Jocelyn Flores,XXXTENTACION,957.722,2,110,554
116,Perfect,Ed Sheeran,957.052,3,105,66
117,Bubalu,Becky G; Prince Royce; DJ Luian; Mambo Kingz; Anuel AA,955.637,63,112,115
118,Leave Me Alone,Flipp Dinero,952.984,31,113,176
119,I Like Me Better,Lauv,938.131,24,101,66
120,No Sleep (feat. Bonn),Martin Garrix; Bonn,937.204,72,95,8
121,Créeme,KAROL G; Maluma,931.900,106,116,65
122,Lost In Japan,Shawn Mendes,925.215,20,109,23
123,Speechless (feat. Erika Sirola),Robin Schulz; Erika Sirola,923.905,110,118,37
124,Let You Love Me,Rita Ora,916.019,24,122,66
125,idontwannabeyouanymore,Billie Eilish,900.910,60,111,66
126,IDGAF,Dua Lipa,897.484,3,123,66
127,Natural,Imagine Dragons,894.724,13,119,225
128,Solo de Mi,Bad Bunny,894.380,32,120,78
129,In My Feelings,Drake,881.072,1,128,246
130,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,875.738,28,102,211
131,Somebody To Love - Remastered 2011,Queen,875.157,45,125,66
132,Almost (Sweet Music),Hozier,873.120,132,—,1
133,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown; Zion & Lennox; Farruko; Manuel Turizo,864.513,133,135,15
134,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz; Kendrick Lamar,862.205,134,—,1
135,Nonstop,Drake,859.473,1,126,246
136,Splashin,Rich The Kid,851.555,85,115,60
137,Ruin My Life,Zara Larsson,845.075,26,129,134
138,The Middle,Zedd; Maren Morris; Grey,840.983,6,137,66
139,Too Good At Goodbyes,Sam Smith,838.787,1,121,66
140,We Will Rock You - Remastered 2011,Queen,836.770,63,139,15
141,Best Part (feat. H.E.R.),Daniel Caesar; H.E.R.,832.511,84,117,66
142,Vaina Loca,Ozuna; Manuel Turizo,831.452,12,143,246
143,Havana (feat. Young Thug),Camila Cabello; Young Thug,830.689,1,134,66
144,Thunder,Imagine Dragons,829.973,7,136,66
145,ghostin,Ariana Grande,821.639,9,124,22
146,I Fall Apart,Post Malone,821.259,10,132,66
147,FRIENDS,Marshmello; Anne-Marie,819.725,3,144,66
148,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,819.698,7,140,66
149,Esclavo de Tus Besos,Manuel Turizo; Ozuna,813.991,149,162,5
150,Stay Flo,Solange,811.241,150,—,1
151,Forever Alone,Paulo Londra,809.782,138,138,15
152,Sola,Manuel Turizo,808.098,147,147,47
153,bellyache,Billie Eilish,804.791,55,131,60
154,This Feeling,The Chainsmokers; Kelsea Ballerini,802.782,19,127,66
155,Say You Won't Let Go,James Arthur,802.198,7,130,66
156,Shotgun,George Ezra,801.636,35,151,66
157,Flux,Ellie Goulding,785.963,157,—,1
158,New Rules,Dua Lipa,782.416,2,145,66
159,changes,XXXTENTACION,780.889,4,148,66
160,Electricity (with Dua Lipa),Silk City; Dua Lipa; Diplo; Mark Ronson,776.338,13,155,66
161,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie; Tyga; Offset,774.920,52,141,71
162,Happy Now,Kygo; Sandro Cavazza,774.759,34,146,66
163,No Stylist (feat. Drake),French Montana; Drake,772.400,23,149,66
164,Te Boté - Remix,Nio Garcia; Casper Magico; Bad Bunny; Darell; Ozuna; Nicky Jam,771.814,7,161,322
165,Congratulations,Post Malone; Quavo,768.666,20,154,66
166,Better When You're Gone,David Guetta; Brooks; Loote,766.811,96,152,15
167,Baby,Amenazzy; Nicky Jam; Farruko,765.378,160,160,4
168,Kiss and Make Up,Dua Lipa; BLACKPINK,763.019,13,142,134
169,Nowadays Pt. 2 (feat. Landon Cube),Lil Skies; Landon Cube,751.710,169,—,1
170,Space Cadet (feat. Gunna),Metro Boomin; Gunna,751.396,47,133,60
171,BEBE,6ix9ine; Anuel AA,745.283,13,164,183
172,Look Alive (feat. Drake),BlocBoy JB; Drake,743.171,6,156,66
173,Asesina - Remix,Brytiago; Daddy Yankee; Ozuna; Darell; Anuel AA,741.711,111,168,66
174,Nobody,Martin Jensen; James Arthur,734.115,174,—,1
175,Rise,Jonas Blue; Jack & Jack,727.128,11,159,66
176,ocean eyes,Billie Eilish,726.920,92,153,34
177,in my head,Ariana Grande,726.144,14,150,22
178,MALA,6ix9ine; Anuel AA,724.784,44,178,94
179,Bones (feat. OneRepublic),Galantis; OneRepublic,720.171,95,182,5
180,Ric Flair Drip (with Metro Boomin),Offset; Metro Boomin,717.187,29,169,5
181,Closer,The Chainsmokers; Halsey,716.254,2,171,66
182,Big Plans,Why Don't We,709.130,163,165,5
183,Vamos pra Gaiola,MC Kevin o Chris; FP do Trem Bala,708.257,177,—,1
184,Be Like Me (feat. Lil Wayne),Lil Pump; Lil Wayne,705.087,71,158,8
185,Ta To Gucci (Remix),Cauty; Brytiago; Darell; Cosculluela; Rafa Pabön; Chencho Corleone,701.584,181,194,2
