Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,bad guy,Billie Eilish,7.102.216,1,1,7
2,Con Calma,Daddy Yankee; Snow,3.903.739,1,2,70
3,7 rings,Ariana Grande,3.773.781,1,3,77
4,wish you were gay,Billie Eilish,3.661.293,2,4,32
5,bury a friend,Billie Eilish,3.536.395,2,5,65
6,Sucker,Jonas Brothers,3.416.343,2,6,35
7,Old Town Road,Lil Nas X,3.363.526,7,7,30
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,3.248.770,1,8,169
9,Wow.,Post Malone,2.988.882,1,10,102
10,when the party's over,Billie Eilish,2.948.905,7,9,170
11,Shallow,Lady Gaga; Bradley Cooper,2.897.630,2,11,189
12,break up with your girlfriend i'm bored,Ariana Grande,2.557.811,2,13,56
13,all the good girls go to hell,Billie Eilish,2.491.614,6,12,7
14,Dancing With A Stranger (with Normani),Sam Smith; Normani,2.376.320,6,15,84
15,Don't Call Me Up,Mabel,2.341.326,9,17,63
16,xanny,Billie Eilish,2.331.099,7,14,7
17,you should see me in a crown,Billie Eilish,2.222.115,11,16,8
18,Calma - Remix,Pedro Capó; Farruko,2.219.479,5,19,146
19,Here With Me,Marshmello; CHVRCHES,2.195.412,11,21,28
20,Pa Mí - Remix,Dalex; Rafa Pabön; KHEA; Sech; Feid; Cazzu; Lenny Tavárez,2.194.946,20,23,34
21,Sweet but Psycho,Ava Max,2.187.234,5,20,190
22,MONOPOLY (with Victoria Monét),Ariana Grande; Victoria Monét,2.183.184,19,22,3
23,my strange addiction,Billie Eilish,2.162.132,14,18,7
24,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie; 6ix9ine,2.152.336,24,25,93
25,Happier,Marshmello; Bastille,2.121.913,2,24,231
26,Baila Baila Baila,Ozuna,2.093.430,9,27,84
27,MIDDLE CHILD,J. Cole,2.089.092,2,26,71
28,HP,Maluma,2.086.711,19,28,35
29,Without Me,Halsey,2.037.428,3,29,182
30,Secreto,Anuel AA; KAROL G,2.019.944,9,32,80
31,i'm so tired...,Lauv; Troye Sivan,2.005.279,17,31,70
32,Let Me Down Slowly,Alec Benjamin,2.004.989,30,30,83
33,Talk,Khalid; Disclosure,1.984.889,16,34,56
34,thank u next,Ariana Grande,1.947.662,1,33,152
35,Going Bad (feat. Drake),Meek Mill; Drake,1.874.283,8,37,126
36,ilomilo,Billie Eilish,1.772.088,17,36,7
37,Murder On My Mind,YNW Melly,1.766.968,18,38,50
38,i love you,Billie Eilish,1.752.194,19,35,7
39,Con Altura,ROSALÍA; J Balvin; El Guincho,1.746.993,39,39,7
40,High Hopes,Panic! At The Disco,1.683.280,8,42,287
41,lovely (with Khalid),Billie Eilish; Khalid,1.651.155,19,43,347
42,Giant (with Rag'n'Bone Man),Calvin Harris; Rag'n'Bone Man,1.649.538,19,41,84
43,My Bad,Khalid,1.615.254,26,45,28
44,listen before i go,Billie Eilish,1.591.713,21,40,7
45,Pure Water (with Migos),Mustard; Migos,1.564.490,35,46,67
46,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,1.556.935,1,47,189
47,MIA,Bad Bunny; Drake,1.515.651,1,49,176
