Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Dance Monkey,Tones And I,5.180.626,1,1,88
2,HIGHEST IN THE ROOM,Travis Scott,4.423.871,1,2,10
3,Señorita,Shawn Mendes; Camila Cabello,3.916.024,1,3,115
4,Circles,Post Malone,3.772.264,1,4,45
5,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,3.158.114,5,6,24
6,Someone You Loved,Lewis Capaldi,2.993.395,4,7,274
7,Lights Up,Harry Styles,2.967.970,3,5,3
8,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,2.715.724,5,8,10
9,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,2.600.388,3,9,108
10,Lalala,Y2K; bbno$,2.465.286,4,11,115
11,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,2.458.317,2,10,87
12,How Do You Sleep?,Sam Smith,2.319.083,7,12,87
13,hot girl bummer,blackbear,2.264.024,12,15,52
14,bad guy,Billie Eilish,2.254.694,1,13,199
15,Ransom,Lil Tecca,2.184.994,3,14,133
16,Goodbyes (feat. Young Thug),Post Malone; Young Thug,2.111.140,2,16,101
17,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,2.029.677,1,17,157
18,Bandit (with YoungBoy Never Broke Again),Juice WRLD; YoungBoy Never Broke Again,2.002.446,17,18,10
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.866.989,1,19,361
20,Panini,Lil Nas X,1.798.840,6,20,116
21,Callaita,Bad Bunny; Tainy,1.710.729,5,23,136
22,Ride It,Regard,1.699.705,22,22,38
23,Truth Hurts,Lizzo,1.666.966,15,24,174
24,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,1.642.186,8,21,122
25,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,1.635.837,24,25,52
26,Liar,Camila Cabello,1.633.902,20,27,39
27,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,1.622.804,2,26,192
28,LA CANCIÓN,J Balvin; Bad Bunny,1.601.742,16,29,108
29,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,1.594.751,17,28,146
30,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande; Miley Cyrus; Lana Del Rey,1.583.710,2,30,31
31,Saint-Tropez,Post Malone,1.562.603,3,31,38
32,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone; Ozzy Osbourne; Travis Scott,1.489.525,5,33,38
33,Tutu,Camilo; Pedro Capó,1.487.944,24,32,66
34,It's You,Ali Gatie,1.445.828,27,41,122
35,Yo x Ti Tu x Mi,ROSALÍA; Ozuna,1.443.686,19,34,59
36,Graveyard,Halsey,1.434.995,26,35,31
37,223's (feat. 9lokknine),YNW Melly; 9lokknine,1.396.244,29,37,35
38,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,1.388.548,9,38,94
39,No Guidance (feat. Drake),Chris Brown; Drake,1.340.339,8,39,128
40,Higher Love,Kygo; Whitney Houston,1.302.163,25,36,108
41,Takeaway,The Chainsmokers; ILLENIUM; Lennon Stella,1.294.748,26,43,80
42,fuck i'm lonely,Lauv; Anne-Marie,1.293.998,26,45,73
43,Good as Hell,Lizzo,1.272.006,42,44,102
44,Money In The Grave (Drake ft. Rick Ross),Drake; Rick Ross,1.268.308,4,42,121
45,Piece Of Your Heart,MEDUZA; Goodboys,1.250.447,13,40,182
46,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,1.212.771,7,46,157
47,boyfriend (with Social House),Ariana Grande; Social House,1.208.533,3,48,73
48,Shallow,Lady Gaga; Bradley Cooper,1.208.118,2,49,381
49,Hot (feat. Gunna),Young Thug; Gunna,1.207.141,45,47,59
50,Otro Trago - Remix,Sech; Ozuna; Anuel AA; Darell; Nicky Jam,1.134.073,9,50,80
51,Camelot,NLE Choppa,1.114.782,46,51,30
52,Si Te Vas,Sech; Ozuna,1.073.875,52,52,17
53,7 rings,Ariana Grande,1.073.446,1,55,269
54,Quizas,Rich Music LTD; Sech; Dalex; Justin Quiles; Lenny Tavárez; Feid; Wisin; Zion,1.070.578,53,53,24
55,Fantasias,Rauw Alejandro; Farruko,1.053.012,54,54,20
56,Happier,Marshmello; Bastille,1.036.279,2,57,423
57,Enemies (feat. DaBaby),Post Malone; DaBaby,1.013.453,6,56,38
58,Motivation,Normani,1.012.401,39,59,59
59,lovely (with Khalid),Billie Eilish; Khalid,1.004.381,19,74,539
60,Hollywood's Bleeding,Post Malone,996.969,4,63,38
61,Good Thing (with Kehlani),Zedd; Kehlani,993.867,61,68,10
62,Writing on the Wall (feat. Post Malone & Cardi B),French Montana; Rvssian; Post Malone; Cardi B,988.163,47,61,17
63,I.F.L.Y.,Bazzi,984.531,44,78,87
64,The London (feat. J. Cole & Travis Scott),Young Thug; J. Cole; Travis Scott,983.017,4,62,143
65,Teeth,5 Seconds of Summer,976.223,46,72,53
66,Post Malone (feat. RANI),Sam Feldt; RANI,971.501,57,58,112
67,Con Altura,ROSALÍA; J Balvin; El Guincho,963.968,28,67,199
68,Wow.,Post Malone,963.274,1,69,294
