Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Dance Monkey,Tones And I,5.539.675,1,1,116
2,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,3.854.709,2,2,52
3,Lose You To Love Me,Selena Gomez,3.585.616,1,3,19
4,Circles,Post Malone,3.494.479,1,4,73
5,Señorita,Shawn Mendes; Camila Cabello,3.082.963,1,6,143
6,Don't Start Now,Dua Lipa,3.082.757,5,5,10
7,ROXANNE,Arizona Zervas,3.051.445,7,10,14
8,Someone You Loved,Lewis Capaldi,3.039.713,4,9,302
9,HIGHEST IN THE ROOM,Travis Scott,2.963.322,1,7,38
10,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,2.935.024,8,8,27
11,hot girl bummer,blackbear,2.489.927,9,11,80
12,Ride It,Regard,2.093.705,12,12,66
13,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,2.043.133,2,13,115
14,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,2.031.342,5,16,38
15,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,2.008.744,3,14,136
16,bad guy,Billie Eilish,1.965.763,1,15,227
17,How Do You Sleep?,Sam Smith,1.873.786,7,17,115
18,Bandit (with YoungBoy Never Broke Again),Juice WRLD; YoungBoy Never Broke Again,1.840.188,13,18,38
19,Trampoline (with ZAYN),SHAED; ZAYN,1.757.319,19,20,38
20,Lalala,Y2K; bbno$,1.750.146,4,19,143
21,Follow God,Kanye West,1.719.337,3,21,17
22,Lights Up,Harry Styles,1.681.985,3,23,31
23,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,1.671.483,9,22,122
24,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,1.622.986,1,24,185
25,Goodbyes (feat. Young Thug),Post Malone; Young Thug,1.588.638,2,28,129
26,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.583.496,1,29,389
27,Look At Her Now,Selena Gomez,1.565.103,8,25,18
28,Liar,Camila Cabello,1.548.937,20,27,67
29,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,1.544.386,21,26,80
