Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,bad guy,Billie Eilish,6.348.322,1,1,18
2,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,4.950.366,2,2,11
3,Boy With Luv (feat. Halsey),BTS; Halsey,4.270.870,3,3,4
4,Old Town Road,Lil Nas X,3.942.370,2,4,41
5,SOS (feat. Aloe Blacc),Avicii; Aloe Blacc,3.726.784,3,5,6
6,Con Calma,Daddy Yankee; Snow,3.464.746,1,6,81
7,7 rings,Ariana Grande,3.270.160,1,7,88
8,Sucker,Jonas Brothers,3.173.041,2,9,46
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,2.978.261,1,8,180
10,bury a friend,Billie Eilish,2.858.482,2,10,76
11,Kill This Love,BLACKPINK,2.673.899,4,11,12
12,Wow.,Post Malone,2.621.989,1,12,113
13,Talk (feat. Disclosure),Khalid; Disclosure,2.590.992,12,16,67
14,Don't Call Me Up,Mabel,2.520.596,9,14,74
15,Shallow,Lady Gaga; Bradley Cooper,2.476.259,2,13,200
16,wish you were gay,Billie Eilish,2.435.693,2,15,43
17,when the party's over,Billie Eilish,2.213.316,7,20,181
18,Dancing With A Stranger (with Normani),Sam Smith; Normani,2.165.044,6,21,95
19,Pa Mí - Remix,Dalex; Rafa Pabön; KHEA; Sech; Feid; Cazzu; Lenny Tavárez,2.113.050,15,17,45
20,Here With Me,Marshmello; CHVRCHES,2.075.881,11,24,39
21,HP,Maluma,2.074.957,16,18,46
22,Sweet but Psycho,Ava Max,2.019.050,5,23,201
23,Calma - Remix,Pedro Capó; Farruko,1.996.795,5,19,157
24,Happier,Marshmello; Bastille,1.942.859,2,22,242
25,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie; 6ix9ine,1.938.219,24,26,104
26,break up with your girlfriend i'm bored,Ariana Grande,1.883.648,2,27,67
27,i'm so tired...,Lauv; Troye Sivan,1.863.337,17,34,81
28,Let Me Down Slowly,Alec Benjamin,1.859.613,21,33,94
29,Baila Baila Baila,Ozuna,1.828.410,9,25,95
30,MIDDLE CHILD,J. Cole,1.811.188,2,31,82
31,Without Me,Halsey,1.789.021,3,32,193
32,thank u next,Ariana Grande,1.737.474,1,36,163
