Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Dance Monkey,Tones And I,6.023.950,1,2,86
2,HIGHEST IN THE ROOM,Travis Scott,5.948.681,1,1,8
3,Lights Up,Harry Styles,4.666.429,3,—,1
4,Señorita,Shawn Mendes; Camila Cabello,4.625.315,1,3,113
5,Circles,Post Malone,4.537.298,1,4,43
6,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,3.486.984,5,5,8
7,Someone You Loved,Lewis Capaldi,3.444.177,4,6,272
8,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,3.374.369,7,7,22
9,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,3.084.262,3,8,106
10,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,2.937.920,2,11,85
11,Lalala,Y2K; bbno$,2.911.862,4,10,113
12,How Do You Sleep?,Sam Smith,2.799.975,7,9,85
13,hot girl bummer,blackbear,2.695.518,12,12,50
14,bad guy,Billie Eilish,2.672.905,1,13,197
15,Goodbyes (feat. Young Thug),Post Malone; Young Thug,2.586.382,2,14,99
16,Ransom,Lil Tecca,2.538.253,3,15,131
17,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,2.470.601,1,16,155
18,Bandit (with YoungBoy Never Broke Again),Juice WRLD; YoungBoy Never Broke Again,2.435.081,17,17,8
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,2.183.492,1,18,359
20,Truth Hurts,Lizzo,2.109.421,15,22,172
21,Panini,Lil Nas X,2.077.716,6,19,114
22,Ride It,Regard,2.032.361,22,25,36
23,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,2.024.430,8,26,120
24,Saint-Tropez,Post Malone,2.014.273,3,20,36
25,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande; Miley Cyrus; Lana Del Rey,1.997.996,2,21,29
26,Liar,Camila Cabello,1.996.638,20,23,37
27,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,1.982.843,24,27,50
28,Callaita,Bad Bunny; Tainy,1.979.198,5,28,134
29,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone; Ozzy Osbourne; Travis Scott,1.929.793,5,24,36
30,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,1.891.732,17,31,144
31,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,1.863.188,2,33,190
32,LA CANCIÓN,J Balvin; Bad Bunny,1.858.254,16,30,106
33,Graveyard,Halsey,1.786.734,26,29,29
34,Tutu,Camilo; Pedro Capó,1.776.158,24,34,64
35,Yo x Ti Tu x Mi,ROSALÍA; Ozuna,1.771.305,19,35,57
36,No Guidance (feat. Drake),Chris Brown; Drake,1.658.723,8,32,126
37,223's (feat. 9lokknine),YNW Melly; 9lokknine,1.651.267,29,36,33
38,Higher Love,Kygo; Whitney Houston,1.642.011,25,40,106
39,It's You,Ali Gatie,1.580.742,27,37,120
40,Money In The Grave (Drake ft. Rick Ross),Drake; Rick Ross,1.579.800,4,38,119
41,Piece Of Your Heart,MEDUZA; Goodboys,1.564.493,13,44,180
42,Takeaway,The Chainsmokers; ILLENIUM; Lennon Stella,1.557.359,26,41,78
43,Good as Hell,Lizzo,1.550.148,42,43,100
44,fuck i'm lonely,Lauv; Anne-Marie,1.524.583,26,42,71
45,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,1.524.352,9,68,92
46,boyfriend (with Social House),Ariana Grande; Social House,1.514.916,3,39,71
47,Hot (feat. Gunna),Young Thug; Gunna,1.481.073,45,45,57
48,Shallow,Lady Gaga; Bradley Cooper,1.453.431,2,46,379
49,Easy,Camila Cabello,1.450.418,49,—,1
50,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,1.414.566,7,50,155
51,Camelot,NLE Choppa,1.407.191,46,49,28
52,Otro Trago - Remix,Sech; Ozuna; Anuel AA; Darell; Nicky Jam,1.343.276,9,52,78
53,Enemies (feat. DaBaby),Post Malone; DaBaby,1.340.059,6,48,36
54,Quizas,Rich Music LTD; Sech; Dalex; Justin Quiles; Lenny Tavárez; Feid; Wisin; Zion,1.317.536,54,65,22
