Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Dance Monkey,Tones And I,6.417.441,1,1,142
2,ROXANNE,Arizona Zervas,4.146.649,2,2,40
3,Señorita,Shawn Mendes; Camila Cabello,3.976.279,1,6,169
4,Circles,Post Malone,3.839.725,1,4,99
5,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,3.688.055,2,3,78
6,All I Want for Christmas Is You,Mariah Carey,3.456.562,1,11,36
7,Someone You Loved,Lewis Capaldi,3.443.782,4,5,328
8,Don't Start Now,Dua Lipa,3.268.862,5,8,36
9,everything i wanted,Billie Eilish,3.214.317,1,7,23
10,bad guy,Billie Eilish,3.186.687,1,12,253
11,Adore You,Harry Styles,3.100.232,11,—,1
12,Blinding Lights,The Weeknd,2.992.263,7,10,8
13,Heartless,The Weeknd,2.986.939,2,9,10
14,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,2.961.453,6,13,53
15,Tusa,KAROL G; Nicki Minaj,2.920.247,12,14,29
16,Falling,Trevor Daniel,2.815.328,13,15,20
17,Last Christmas,Wham!,2.784.139,2,20,27
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,2.556.724,1,19,415
19,HIGHEST IN THE ROOM,Travis Scott,2.509.762,1,17,64
20,Lose You To Love Me,Selena Gomez,2.394.974,1,16,45
21,Vete,Bad Bunny,2.381.376,6,18,16
22,hot girl bummer,blackbear,2.363.629,9,21,106
23,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,2.200.959,1,24,211
24,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,2.194.465,3,22,162
25,Santa Tell Me,Ariana Grande,2.174.036,3,27,21
26,Watermelon Sugar,Harry Styles,2.153.376,14,37,20
27,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,2.109.505,2,25,141
28,7 rings,Ariana Grande,2.097.525,1,26,323
29,Ride It,Regard,2.093.881,12,23,92
30,It's Beginning to Look a Lot like Christmas,Michael Bublé,1.881.881,3,36,16
31,My Oh My (feat. DaBaby),Camila Cabello; DaBaby,1.834.624,31,—,1
32,LA CANCIÓN,J Balvin; Bad Bunny,1.802.045,16,30,162
33,Goodbyes (feat. Young Thug),Post Malone; Young Thug,1.783.254,2,29,155
34,How Do You Sleep?,Sam Smith,1.763.599,7,28,141
35,Lalala,Y2K; bbno$,1.755.150,4,34,169
36,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,1.754.640,2,39,246
37,Rockin' Around The Christmas Tree,Brenda Lee,1.750.900,3,42,14
38,Lights Up,Harry Styles,1.715.133,3,52,57
39,Callaita,Bad Bunny; Tainy,1.707.398,5,35,190
40,Shallow,Lady Gaga; Bradley Cooper,1.706.693,2,40,435
41,Fantasias,Rauw Alejandro; Farruko,1.692.179,25,33,74
42,Jingle Bell Rock,Bobby Helms,1.690.439,5,44,14
43,Liar,Camila Cabello,1.676.967,20,55,93
44,SUGA's Interlude,Halsey; SUGA; BTS,1.629.008,44,—,1
45,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,1.627.070,17,41,200
46,Mistletoe,Justin Bieber,1.622.203,12,49,14
47,It's the Most Wonderful Time of the Year,Andy Williams,1.609.169,6,51,14
48,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,1.589.779,5,32,64
49,Before You Go,Lewis Capaldi,1.586.900,17,31,17
50,Ransom,Lil Tecca,1.552.596,3,48,187
51,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,1.540.372,9,38,148
52,BOP,DaBaby,1.529.805,21,43,71
53,when the party's over,Billie Eilish,1.516.198,7,46,416
54,Wow.,Post Malone,1.509.367,1,54,348
55,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,1.482.471,21,45,106
56,Lose Control,MEDUZA; Becky Hill; Goodboys,1.419.829,31,50,50
