Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Señorita,Shawn Mendes; Camila Cabello,5.325.913,1,1,97
2,Circles,Post Malone,4.347.811,1,2,27
3,Dance Monkey,Tones And I,4.315.125,2,3,70
4,Someone You Loved,Lewis Capaldi,3.213.001,4,5,256
5,Lalala,Y2K; bbno$,3.200.533,4,4,97
6,Goodbyes (feat. Young Thug),Post Malone; Young Thug,3.136.148,2,6,83
7,Ransom,Lil Tecca,3.056.454,3,7,115
8,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,3.031.458,3,9,90
9,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,3.015.073,2,8,69
10,How Do You Sleep?,Sam Smith,2.744.776,7,11,69
11,bad guy,Billie Eilish,2.673.702,1,13,181
12,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande; Miley Cyrus; Lana Del Rey,2.647.772,2,10,13
13,Saint-Tropez,Post Malone,2.609.401,3,12,20
14,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,2.550.942,1,14,139
15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,2.391.734,1,15,343
16,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,2.322.987,8,16,104
17,Panini,Lil Nas X,2.231.589,6,18,98
18,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone; Ozzy Osbourne; Travis Scott,2.167.699,5,17,20
19,Callaita,Bad Bunny; Tainy,2.072.150,5,19,118
20,Truth Hurts,Lizzo,2.045.041,15,21,156
21,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,2.025.453,2,20,174
22,Liar,Camila Cabello,1.959.533,20,22,21
23,LA CANCIÓN,J Balvin; Bad Bunny,1.952.678,16,24,90
24,Yo x Ti Tu x Mi,ROSALÍA; Ozuna,1.950.817,19,23,41
25,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,1.930.439,25,28,6
26,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,1.884.264,17,29,128
27,Tutu,Camilo; Pedro Capó,1.876.015,24,26,48
28,boyfriend (with Social House),Ariana Grande; Social House,1.865.500,3,31,55
29,No Guidance (feat. Drake),Chris Brown; Drake,1.851.059,8,32,110
30,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,1.849.372,29,30,34
31,Enemies (feat. DaBaby),Post Malone; DaBaby,1.841.361,6,25,20
32,Hollywood's Bleeding,Post Malone,1.824.965,4,27,20
33,hot girl bummer,blackbear,1.723.949,33,33,34
34,Money In The Grave (Drake ft. Rick Ross),Drake; Rick Ross,1.707.810,4,34,103
35,It's You,Ali Gatie,1.608.620,27,35,104
36,Piece Of Your Heart,MEDUZA; Goodboys,1.603.057,13,38,164
37,Lover,Taylor Swift,1.596.596,2,36,41
38,fuck i'm lonely,Lauv; Anne-Marie,1.550.380,26,40,55
39,Higher Love,Kygo; Whitney Houston,1.527.581,25,43,90
40,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,1.524.966,7,44,139
