ID,Track,Singer(s),Stream
1,Unholy (feat. Kim Petras),Sam Smith; Kim Petras,228716808
2,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap; Quevedo,131796708
3,I'm Good (Blue),David Guetta; Bebe Rexha,144939400
4,As It Was,Harry Styles,137818670
5,La Bachata,Manuel Turizo,132642821
6,Tití Me Preguntó,Bad Bunny,108130766
7,Me Porto Bonito,Bad Bunny; Chencho Corleone,108203233
8,I Ain't Worried,OneRepublic,107400276
9,Under The Influence,Chris Brown,113897409
10,DESPECHÁ,ROSALÍA,93250419
11,Shut Down,BLACKPINK,79213139
12,Efecto,Bad Bunny,87595108
13,Bad Habit,Steve Lacy,98222145
14,Ojitos Lindos,Bad Bunny; Bomba Estéreo,76320397
15,Super Freaky Girl,Nicki Minaj,71808461
16,Pink Venom,BLACKPINK,64976546
17,Moscow Mule,Bad Bunny,65063688
18,Neverita,Bad Bunny,66062791
19,SNAP,Rosa Linn,78811788
20,Another Love,Tom Odell,82720018
21,Glimpse of Us,Joji,71204023
22,Heat Waves,Glass Animals,67398215
23,PROVENZA,KAROL G,59632086
24,CUFF IT,Beyoncé,83676355
25,Sweater Weather,The Neighbourhood,72867300
26,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,58418518
27,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,62650455
28,Romantic Homicide,d4vd,75042619
29,Gangsta's Paradise,Coolio; L.V.,42856436
30,Until I Found You,Stephen Sanchez,70790474
31,Doja,Central Cee,53796728
32,Die For You,The Weeknd,66038302
33,Running Up That Hill (A Deal With God),Kate Bush,52379361
34,Calm Down (with Selena Gomez),Rema; Selena Gomez,68085043
35,Left and Right (Feat. Jung Kook of BTS),Charlie Puth; Jung Kook; BTS,57565180
36,Bones,Imagine Dragons,65585524
37,Late Night Talking,Harry Styles,55047533
38,Sunroof,Nicky Youre; dazy,50743278
39,LOKERA,Rauw Alejandro; Lyanno; Brray,54909897
40,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,50112662
41,I Like You (A Happier Song) (with Doja Cat),Post Malone; Doja Cat,51204193
42,I Wanna Be Yours,Arctic Monkeys,63922972
43,About Damn Time,Lizzo,46928172
44,Caile,Luar La L,44141127
45,Tarot,Bad Bunny; Jhayco,43966239
46,VISTA AL MAR,Quevedo,48938417
47,Feliz Cumpleaños Ferxxo,Feid,55842092
48,No Se Va - En Vivo,Grupo Frontera,53004182
49,BABY OTAKU,Pablito Pesadilla; Polimá Westcoast; Nickoog Clk; Fran C,45834620
50,Blinding Lights,The Weeknd,51665124
51,GATÚBELA,KAROL G; Maldy,44664131
52,Hold Me Closer,Elton John; Britney Spears,42956788
