Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,MONTERO (Call Me By Your Name),Lil Nas X,8.182.723,1,1,16
2,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,7.843.885,1,2,23
3,RAPSTAR,Polo G,4.771.006,3,3,2
4,Astronaut In The Ocean,Masked Wolf,4.471.290,2,4,84
5,Save Your Tears,The Weeknd,3.679.447,2,5,95
6,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,3.615.273,4,7,37
7,Fiel,Los Legendarios; Wisin; Jhayco,3.609.907,7,9,55
8,drivers license,Olivia Rodrigo,3.498.637,1,8,93
9,Kiss Me More (feat. SZA),Doja Cat; SZA,3.437.473,9,10,2
10,Heartbreak Anniversary,Giveon,3.378.130,8,11,60
11,telepatía,Kali Uchis,3.365.507,2,12,54
12,Levitating (feat. DaBaby),Dua Lipa; DaBaby,3.092.395,11,14,191
13,Blinding Lights,The Weeknd,3.017.121,1,17,499
14,The Business,Tiësto,2.827.178,8,21,160
15,DÁKITI,Bad Bunny; Jhayco,2.808.779,1,23,163
16,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,2.803.219,14,15,53
17,Hold On,Justin Bieber,2.744.945,2,20,37
18,deja vu,Olivia Rodrigo,2.727.525,8,19,10
19,Up,Cardi B,2.722.981,13,22,65
20,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,2.593.792,6,6,4
21,Calling My Phone,Lil Tjay; 6LACK,2.411.017,3,25,58
22,X Gon' Give It To Ya,DMX,2.284.731,22,41,2
23,Bandido,Myke Towers; Juhn,2.243.396,5,32,106
24,WITHOUT YOU,The Kid LAROI,2.190.544,6,27,131
25,Mood (feat. iann dior),24kGoldn; iann dior,2.189.204,1,30,244
26,Love Story (Taylor’s Version),Taylor Swift,2.109.295,2,18,3
27,Streets,Doja Cat,2.102.459,7,31,90
28,Batom de Cereja - Ao Vivo,Israel & Rodolffo,1.957.012,28,73,31
29,Arcade,Duncan Laurence,1.945.043,14,34,68
30,Watermelon Sugar,Harry Styles,1.932.742,4,39,511
31,Your Love (9PM),ATB; Topic; A7S,1.929.007,24,35,69
32,911,Sech,1.894.253,24,43,55
33,Heat Waves,Glass Animals,1.867.217,25,40,106
34,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,1.862.383,2,48,135
35,You Belong With Me (Taylor’s Version),Taylor Swift,1.846.765,16,16,2
36,Goosebumps - Remix,Travis Scott; HVME,1.820.162,31,45,86
37,Dynamite,BTS,1.816.923,1,46,233
38,Ella No Es Tuya - Remix,Rochy RD; Myke Towers; Nicki Nicole,1.787.071,21,49,58
39,Fearless (Taylor’s Version),Taylor Swift,1.778.562,13,13,2
40,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,1.754.320,16,50,72
41,Ruff Ryders' Anthem,DMX,1.663.677,41,86,2
42,Someone You Loved,Lewis Capaldi,1.661.915,4,52,819
43,We're Good,Dua Lipa,1.654.474,10,51,58
44,Don't Start Now,Dua Lipa,1.639.697,2,58,527
