Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,drivers license,Olivia Rodrigo,10.370.461,1,1,14
2,DÁKITI,Bad Bunny; Jhayco,4.219.446,1,2,84
3,Blinding Lights,The Weeknd,3.263.091,1,3,420
4,Mood (feat. iann dior),24kGoldn; iann dior,3.218.848,1,4,165
5,Good Days,SZA,2.994.976,5,6,27
6,positions,Ariana Grande,2.965.254,1,5,91
7,BICHOTA,KAROL G,2.958.557,2,7,91
8,WITHOUT YOU,The Kid LAROI,2.814.737,8,8,52
9,Whoopty,CJ,2.680.798,9,10,89
10,Anyone,Justin Bieber,2.659.060,4,9,21
11,Bandido,Myke Towers; Juhn,2.611.353,11,11,27
12,Save Your Tears,The Weeknd,2.550.401,12,15,16
13,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,2.507.905,2,14,56
14,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.494.002,11,16,112
15,Dynamite,BTS,2.490.438,1,12,154
16,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,2.476.421,2,13,161
17,Hecha Pa' Mi,Boza,2.358.017,17,17,57
18,Therefore I Am,Billie Eilish,2.221.829,2,18,71
19,The Business,Tiësto,2.196.916,19,19,81
20,you broke me first,Tate McRae,2.149.556,12,20,195
21,What You Know Bout Love,Pop Smoke,2.064.097,5,22,130
22,34+35,Ariana Grande,2.046.005,2,21,84
23,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes; Justin Bieber,1.973.672,6,23,63
24,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,1.836.492,24,28,27
25,Someone You Loved,Lewis Capaldi,1.833.723,4,25,740
26,Hawái,Maluma,1.821.760,2,27,175
27,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,1.809.886,10,26,63
28,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.795.198,10,30,193
29,Watermelon Sugar,Harry Styles,1.793.825,4,29,432
30,34+35 Remix (feat. Doja Cat Megan Thee Stallion) - Remix,Ariana Grande; Doja Cat; Megan Thee Stallion,1.776.557,5,24,7
31,Reloj,Rauw Alejandro; Anuel AA,1.770.476,25,32,87
32,Lonely (with benny blanco),Justin Bieber; benny blanco,1.753.573,5,31,98
33,willow,Taylor Swift,1.718.371,1,35,42
34,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,1.717.280,1,34,168
35,HOLIDAY,Lil Nas X,1.694.502,16,33,70
36,Afterglow,Ed Sheeran,1.671.645,12,36,32
37,Streets,Doja Cat,1.669.775,37,37,11
38,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,1.632.967,21,41,105
39,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,1.614.688,6,39,203
40,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,1.611.887,1,38,280
41,Snowman,Sia,1.583.269,9,40,43
42,Heather,Conan Gray,1.579.290,11,42,184
43,Roses - Imanbek Remix,SAINt JHN; Imanbek,1.555.809,2,43,393
44,Sweater Weather,The Neighbourhood,1.550.073,41,44,131
45,Dance Monkey,Tones And I,1.545.921,1,45,554
46,Don't Start Now,Dua Lipa,1.470.635,2,48,448
47,BEBÉ,Camilo; El Alfa,1.454.879,39,47,48
48,Chica Ideal,Sebastian Yatra; Guaynaa,1.439.381,32,50,91
49,Before You Go,Lewis Capaldi,1.437.070,17,49,27
50,Bad Boy (with Young Thug),Juice WRLD; Young Thug,1.405.328,20,46,7
51,GIRL LIKE ME,Black Eyed Peas; Shakira,1.371.764,51,51,27
52,Goosebumps,HVME,1.355.658,26,52,27
53,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,1.289.064,11,53,140
54,TE MUDASTE,Bad Bunny,1.278.382,3,54,56
55,La Tóxica,Farruko,1.260.435,19,57,139
56,Vida de Rico,Camilo,1.257.488,23,55,122
57,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,1.240.690,2,56,27
58,Best Friend (feat. Doja Cat),Saweetie; Doja Cat,1.227.394,53,59,14
59,Take You Dancing,Jason Derulo,1.227.343,26,58,27
