Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,drivers license,Olivia Rodrigo,7.593.724,1,1,26
2,DÁKITI,Bad Bunny; Jhayco,3.803.026,1,2,96
3,Save Your Tears,The Weeknd,3.126.846,3,4,28
4,Blinding Lights,The Weeknd,3.074.975,1,3,432
5,Mood (feat. iann dior),24kGoldn; iann dior,2.888.554,1,5,177
6,Good Days,SZA,2.733.535,5,6,39
7,WITHOUT YOU,The Kid LAROI,2.731.967,7,7,64
8,Bandido,Myke Towers; Juhn,2.696.572,7,8,39
9,Streets,Doja Cat,2.643.808,9,9,23
10,BICHOTA,KAROL G,2.593.322,2,10,103
11,positions,Ariana Grande,2.556.138,1,11,103
12,Whoopty,CJ,2.554.598,9,12,101
13,Dynamite,BTS,2.374.618,1,13,166
14,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.305.004,11,17,124
15,34+35,Ariana Grande,2.265.747,2,14,96
16,Anyone,Justin Bieber,2.233.671,4,16,33
17,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,2.226.096,2,15,173
18,The Business,Tiësto,2.225.299,18,19,93
19,Hecha Pa' Mi,Boza,2.209.926,14,18,69
20,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,2.148.254,20,21,5
21,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,2.146.628,2,20,68
22,you broke me first,Tate McRae,1.996.032,12,22,207
23,Therefore I Am,Billie Eilish,1.959.661,2,23,83
24,What You Know Bout Love,Pop Smoke,1.846.359,5,24,142
25,Someone You Loved,Lewis Capaldi,1.828.487,4,25,752
26,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,1.820.400,24,26,39
27,Watermelon Sugar,Harry Styles,1.716.947,4,27,444
28,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes; Justin Bieber,1.689.455,6,28,75
29,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.680.151,10,29,205
30,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,1.634.331,10,30,75
31,Hawái,Maluma,1.619.541,2,31,187
32,Reloj,Rauw Alejandro; Anuel AA,1.573.029,25,32,99
33,Lonely (with benny blanco),Justin Bieber; benny blanco,1.535.685,5,34,110
34,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,1.531.914,1,35,180
35,Sweater Weather,The Neighbourhood,1.528.371,33,33,143
36,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,1.480.964,6,37,215
37,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,1.475.675,21,38,117
38,Afterglow,Ed Sheeran,1.472.965,12,39,44
39,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,1.471.289,1,40,292
40,willow,Taylor Swift,1.470.638,1,36,54
41,Dance Monkey,Tones And I,1.469.833,1,41,566
42,Ropa Cara,Camilo,1.460.609,36,43,13
43,Heat Waves,Glass Animals,1.459.542,43,44,39
44,GIRL LIKE ME,Black Eyed Peas; Shakira,1.458.670,39,45,39
45,Heather,Conan Gray,1.443.945,11,42,196
46,Roses - Imanbek Remix,SAINt JHN; Imanbek,1.418.908,2,47,405
47,Don't Start Now,Dua Lipa,1.398.959,2,49,460
48,Snowman,Sia,1.398.154,9,46,55
49,HOLIDAY,Lil Nas X,1.392.442,16,48,82
