Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,9.147.889,1,1,63
2,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,6.016.018,2,2,49
3,Bad Habits,Ed Sheeran,4.557.940,3,5,77
4,Fair Trade (with Travis Scott),Drake; Travis Scott,4.530.231,3,3,7
5,Girls Want Girls (with Lil Baby),Drake; Lil Baby,4.374.058,1,4,7
6,Way 2 Sexy (with Future & Young Thug),Drake; Future; Young Thug,4.141.905,4,6,7
7,Woman,Doja Cat,4.111.572,7,7,53
8,Pepas,Farruko,4.077.750,5,9,60
9,Beggin',Måneskin,4.052.843,1,8,101
10,good 4 u,Olivia Rodrigo,3.790.023,1,10,119
11,Heat Waves,Glass Animals,3.772.825,11,11,258
12,Need to Know,Doja Cat,3.536.394,6,13,91
13,Hurricane,Kanye West,3.514.703,3,12,12
14,Knife Talk (with 21 Savage ft. Project Pat),Drake; 21 Savage; Project Pat,3.133.462,11,14,7
15,Happier Than Ever,Billie Eilish,3.090.840,6,15,42
16,MONTERO (Call Me By Your Name),Lil Nas X,2.977.337,1,17,168
17,Kiss Me More (feat. SZA),Doja Cat; SZA,2.945.652,2,18,154
18,Todo De Ti,Rauw Alejandro,2.659.939,2,19,112
19,Champagne Poetry,Drake,2.653.573,2,16,7
20,Yonaguni,Bad Bunny,2.430.650,3,21,98
21,Volví,Aventura; Bad Bunny,2.398.176,7,20,38
22,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.250.944,4,25,343
23,I WANNA BE YOUR SLAVE,Måneskin,2.234.936,8,24,110
24,Take My Breath - Single Version,The Weeknd,2.220.101,7,26,35
25,traitor,Olivia Rodrigo,2.205.015,7,27,112
26,Qué Más Pues?,J Balvin; Maria Becerra,2.156.468,9,29,105
27,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,2.097.231,1,31,175
28,No Friends In The Industry,Drake,2.027.200,12,23,7
29,family ties (with Kendrick Lamar),Baby Keem; Kendrick Lamar,2.007.773,25,30,14
30,TSU,Drake,1.999.048,9,22,7
31,Off The Grid,Kanye West,1.944.045,4,32,12
32,Blinding Lights,The Weeknd,1.894.388,1,37,651
33,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,1.886.994,3,35,140
34,Papi’s Home,Drake,1.862.570,5,28,7
35,In Da Getto,J Balvin; Skrillex,1.855.016,29,38,70
36,París,Ingratax,1.843.814,24,40,50
37,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,1.765.018,37,43,28
38,Moon,Kanye West,1.758.904,8,39,12
39,In The Bible (with Lil Durk & Giveon),Drake; Lil Durk; Giveon,1.758.576,7,33,7
40,Love All (with JAY-Z),Drake; JAY-Z,1.730.223,8,34,7
41,deja vu,Olivia Rodrigo,1.724.556,3,41,162
42,drivers license,Olivia Rodrigo,1.703.459,1,42,245
43,Volando - Remix,Mora; Bad Bunny; Sech,1.680.584,19,44,64
44,2055,Sleepy Hallow,1.644.589,30,46,55
45,N 2 Deep,Drake; Future,1.637.838,10,36,7
46,Get Into It (Yuh),Doja Cat,1.634.980,38,45,37
47,AM Remix,Nio Garcia; J Balvin; Bad Bunny,1.633.895,11,49,77
48,Butter,BTS,1.632.095,2,48,112
49,Don't Be Shy,Tiësto; KAROL G,1.557.453,49,51,28
50,Cúrame,Rauw Alejandro,1.545.956,34,52,46
51,Sobrio,Maluma,1.501.954,36,55,63
52,Entre Nosotros,Tiago PZK; LIT killah,1.489.632,31,53,62
53,Jail,Kanye West,1.483.372,2,47,12
54,Watermelon Sugar,Harry Styles,1.451.109,4,57,663
55,Life Goes On,Oliver Tree,1.442.862,55,73,8
56,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,1.423.870,4,60,189
57,Permission to Dance,BTS,1.405.727,2,61,63
58,Pipe Down,Drake,1.386.658,14,50,7
59,happier,Olivia Rodrigo,1.384.795,12,62,112
60,Don't Go Yet,Camila Cabello,1.367.248,28,64,49
61,Like I Can,Sam Smith,1.337.024,61,67,21
62,Love Tonight (Edit),Shouse,1.336.964,34,63,67
63,Miénteme,TINI; Maria Becerra,1.326.857,37,68,133
64,DÁKITI,Bad Bunny; Jhayco,1.320.535,1,70,315
65,Ain't Shit,Doja Cat,1.319.447,21,65,77
66,Mood (feat. iann dior),24kGoldn; iann dior,1.296.428,1,69,396
