Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,drivers license,Olivia Rodrigo,7.647.230,1,1,25
2,DÁKITI,Bad Bunny; Jhayco,3.735.645,1,2,95
3,Blinding Lights,The Weeknd,3.013.315,1,3,431
4,Save Your Tears,The Weeknd,3.000.536,4,5,27
5,Mood (feat. iann dior),24kGoldn; iann dior,2.858.425,1,4,176
6,Good Days,SZA,2.713.237,5,8,38
7,WITHOUT YOU,The Kid LAROI,2.681.382,7,9,63
8,Bandido,Myke Towers; Juhn,2.640.285,7,7,38
9,Streets,Doja Cat,2.593.900,9,10,22
10,BICHOTA,KAROL G,2.572.523,2,6,102
11,positions,Ariana Grande,2.524.740,1,11,102
12,Whoopty,CJ,2.468.696,9,12,100
13,Dynamite,BTS,2.310.466,1,13,165
14,34+35,Ariana Grande,2.207.147,2,15,95
15,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,2.196.051,2,14,172
16,Anyone,Justin Bieber,2.185.752,4,19,32
17,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.183.401,11,18,123
18,Hecha Pa' Mi,Boza,2.157.053,14,16,68
19,The Business,Tiësto,2.141.197,18,20,92
20,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,2.097.936,2,17,67
21,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,2.022.188,20,21,4
22,you broke me first,Tate McRae,1.995.481,12,22,206
23,Therefore I Am,Billie Eilish,1.923.573,2,23,82
24,What You Know Bout Love,Pop Smoke,1.835.805,5,24,141
25,Someone You Loved,Lewis Capaldi,1.801.700,4,25,751
26,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,1.784.721,24,27,38
27,Watermelon Sugar,Harry Styles,1.732.593,4,28,443
28,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes; Justin Bieber,1.645.659,6,31,74
29,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.636.630,10,32,204
30,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,1.598.642,10,33,74
31,Hawái,Maluma,1.585.119,2,26,186
32,Reloj,Rauw Alejandro; Anuel AA,1.539.811,25,29,98
33,Sweater Weather,The Neighbourhood,1.524.022,33,35,142
34,Lonely (with benny blanco),Justin Bieber; benny blanco,1.523.866,5,40,109
35,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,1.507.993,1,30,179
36,willow,Taylor Swift,1.455.029,1,48,53
