Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Easy On Me,Adele,4.879.068,1,1,55
2,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,4.720.500,1,2,152
3,abcdefu,GAYLE,4.684.695,3,3,24
4,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,4.132.509,2,4,138
5,All I Want for Christmas Is You,Mariah Carey,3.842.135,1,5,37
6,Heat Waves,Glass Animals,3.814.318,3,6,347
7,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,3.648.121,6,7,40
8,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,3.512.128,4,8,117
9,Last Christmas,Wham!,3.119.289,2,9,25
10,Shivers,Ed Sheeran,2.991.923,4,10,89
11,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2.743.824,1,11,26
12,Pepas,Farruko,2.727.878,3,13,149
13,Bad Habits,Ed Sheeran,2.671.592,3,14,166
14,I Hate U,SZA,2.579.986,12,12,5
15,good 4 u,Olivia Rodrigo,2.556.842,1,16,208
16,Woman,Doja Cat,2.535.148,5,18,142
17,Jingle Bell Rock,Bobby Helms,2.519.702,4,17,18
18,Rockin' Around The Christmas Tree,Brenda Lee,2.508.204,3,19,18
19,It's Beginning to Look a Lot like Christmas,Michael Bublé,2.497.746,3,15,19
20,Do It To It,ACRAZE; Cherish,2.455.271,14,21,39
21,My Universe,Coldplay; BTS,2.437.929,3,20,75
22,Santa Tell Me,Ariana Grande,2.273.021,3,22,18
23,Kiss Me More (feat. SZA),Doja Cat; SZA,2.183.386,2,23,243
24,MONTERO (Call Me By Your Name),Lil Nas X,2.138.971,1,25,257
25,It's the Most Wonderful Time of the Year,Andy Williams,2.125.832,6,24,18
26,Need to Know,Doja Cat,2.051.763,6,26,180
27,Oh My God,Adele,2.039.160,2,27,19
28,MONEY,LISA,2.003.037,5,28,89
29,Beggin',Måneskin,1.978.193,1,29,190
30,Happier Than Ever,Billie Eilish,1.970.424,6,30,131
31,Toxic,BoyWithUke,1.942.279,19,31,52
32,love nwantiti (ah ah ah),CKay,1.916.671,9,32,86
33,drivers license,Olivia Rodrigo,1.902.096,1,33,334
34,Yonaguni,Bad Bunny,1.881.531,3,36,187
35,Smokin Out The Window,Bruno Mars; Anderson .Paak; Silk Sonic,1.855.497,6,34,33
36,Blinding Lights,The Weeknd,1.854.526,1,37,740
37,traitor,Olivia Rodrigo,1.838.104,7,38,201
38,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay; Dj Yo!; AX'EL,1.795.737,13,39,84
39,THATS WHAT I WANT,Lil Nas X,1.763.338,3,41,82
40,Ghost,Justin Bieber,1.754.378,28,42,61
41,Snowman,Sia,1.744.090,9,40,18
42,One Right Now (with The Weeknd),Post Malone; The Weeknd,1.739.902,7,43,33
43,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy; Bad Bunny; Julieta Venegas,1.733.232,7,47,64
44,Infinity,Jaymes Young,1.731.400,44,46,13
45,Feliz Navidad,José Feliciano,1.702.847,9,44,13
46,Wandered To LA (with Justin Bieber),Juice WRLD; Justin Bieber,1.670.693,21,35,5
47,Underneath the Tree,Kelly Clarkson,1.663.452,8,45,14
48,Levitating (feat. DaBaby),Dua Lipa; DaBaby,1.657.707,4,49,432
49,I Love You So,The Walters,1.635.042,39,48,58
