Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,MONTERO (Call Me By Your Name),Lil Nas X,7.264.205,1,1,17
2,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,6.814.173,1,2,24
3,RAPSTAR,Polo G,4.329.621,3,3,3
4,Astronaut In The Ocean,Masked Wolf,3.870.459,2,4,85
5,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,3.236.348,4,6,38
6,Save Your Tears,The Weeknd,3.201.067,2,5,96
7,drivers license,Olivia Rodrigo,3.194.849,1,8,94
8,Kiss Me More (feat. SZA),Doja Cat; SZA,3.170.512,8,9,3
9,Fiel,Los Legendarios; Wisin; Jhayco,3.146.966,7,7,56
10,Heartbreak Anniversary,Giveon,3.131.034,8,10,61
11,telepatía,Kali Uchis,3.006.219,2,11,55
12,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.698.955,11,12,192
13,Blinding Lights,The Weeknd,2.581.670,1,13,500
14,deja vu,Olivia Rodrigo,2.556.121,8,18,11
15,DÁKITI,Bad Bunny; Jhayco,2.450.295,1,15,164
16,Up,Cardi B,2.367.499,13,19,66
17,Hold On,Justin Bieber,2.360.421,2,17,38
18,The Business,Tiësto,2.298.128,8,14,161
19,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,2.175.280,14,16,54
20,Calling My Phone,Lil Tjay; 6LACK,2.152.679,3,21,59
21,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,2.083.118,6,20,5
22,Mood (feat. iann dior),24kGoldn; iann dior,1.949.189,1,25,245
23,Bandido,Myke Towers; Juhn,1.933.287,5,23,107
24,WITHOUT YOU,The Kid LAROI,1.922.164,6,24,132
25,Streets,Doja Cat,1.909.770,7,27,91
26,Arcade,Duncan Laurence,1.844.689,14,29,69
27,Dynamite,BTS,1.687.207,1,37,234
28,Watermelon Sugar,Harry Styles,1.685.385,4,30,512
29,Heat Waves,Glass Animals,1.657.263,25,33,107
30,911,Sech,1.646.818,24,32,56
31,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,1.634.071,2,34,136
32,Love Story (Taylor’s Version),Taylor Swift,1.618.796,2,26,4
33,Batom de Cereja - Ao Vivo,Israel & Rodolffo,1.604.900,28,28,32
34,Goosebumps - Remix,Travis Scott; HVME,1.547.841,31,36,87
35,Ella No Es Tuya - Remix,Rochy RD; Myke Towers; Nicki Nicole,1.544.349,21,38,59
36,Your Love (9PM),ATB; Topic; A7S,1.541.709,24,31,70
37,Runaway,AURORA,1.524.374,37,61,21
38,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,1.517.613,16,40,73
39,Someone You Loved,Lewis Capaldi,1.513.236,4,42,820
40,Good Days,SZA,1.458.666,5,46,107
41,Don't Start Now,Dua Lipa,1.401.428,2,44,528
42,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5; Megan Thee Stallion,1.401.018,39,48,35
43,We're Good,Dua Lipa,1.392.155,10,43,59
44,Met Him Last Night (feat. Ariana Grande),Demi Lovato; Ariana Grande,1.381.620,24,45,10
45,positions,Ariana Grande,1.376.646,1,53,171
46,Anyone,Justin Bieber,1.372.801,4,47,101
47,Best Friend (feat. Doja Cat),Saweetie; Doja Cat,1.371.912,45,50,94
48,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,1.337.010,2,51,241
49,Hecha Pa' Mi,Boza,1.315.221,14,52,137
50,You Belong With Me (Taylor’s Version),Taylor Swift,1.298.219,16,35,3
51,What’s Next,Drake,1.271.076,1,57,38
52,Fearless (Taylor’s Version),Taylor Swift,1.268.031,13,39,3
53,Shy Away,Twenty One Pilots,1.266.706,37,56,5
54,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans; 220 KID; Billen Ted,1.245.789,29,49,62
55,Sweater Weather,The Neighbourhood,1.244.601,33,78,211
56,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,1.237.139,1,63,360
57,you broke me first,Tate McRae,1.226.828,12,79,275
58,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.222.184,10,55,273
59,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,1.213.444,24,54,107
60,Dance Monkey,Tones And I,1.195.487,1,64,634
61,Whoopty,CJ,1.193.358,8,66,169
62,SugarCrash!,ElyOtto,1.192.956,50,81,51
63,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,1.187.430,4,65,206
64,34+35,Ariana Grande,1.186.523,2,74,164
65,X Gon' Give It To Ya,DMX,1.180.377,22,22,3
66,GIRL LIKE ME,Black Eyed Peas; Shakira,1.177.378,34,62,107
67,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,1.149.782,1,73,248
68,As I Am (feat. Khalid),Justin Bieber; Khalid,1.123.991,4,76,24
69,Disco Arranhado - Funk Remix,Malu; DJ Lucas Beat,1.119.481,68,68,13
70,My Head & My Heart,Ava Max,1.114.768,56,71,59
71,On The Ground,ROSÉ,1.113.899,8,92,31
72,What You Know Bout Love,Pop Smoke,1.106.135,5,85,210
73,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay; Polo G; Fivio Foreign,1.101.776,57,87,24
74,Otra Noche Sin Ti,J Balvin; Khalid,1.100.188,54,69,3
75,Roses - Imanbek Remix,SAINt JHN; Imanbek,1.095.715,2,77,473
76,Film out,BTS,1.085.736,19,93,11
77,BICHOTA,KAROL G,1.083.363,2,86,171
78,Before You Go,Lewis Capaldi,1.082.123,17,97,107
79,Talking to the Moon,Bruno Mars,1.081.969,73,103,22
80,Reloj,Rauw Alejandro; Anuel AA,1.062.245,25,90,167
81,Tapão Na Raba,Raí Saia Rodada,1.061.528,54,80,5
82,lovely (with Khalid),Billie Eilish; Khalid,1.059.608,19,107,107
83,EL MAKINON,KAROL G; Mariah Angeliq,1.058.717,83,88,17
84,The Way I Loved You (Taylor’s Version),Taylor Swift,1.035.140,29,59,3
85,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift; Maren Morris,1.034.358,11,70,17
86,Heather,Conan Gray,1.031.861,11,112,264
87,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,1.029.783,10,89,143
88,Therefore I Am,Billie Eilish,1.029.439,2,101,151
89,Lonely (with benny blanco),Justin Bieber; benny blanco,1.025.650,5,100,178
90,Ele É Ele Eu Sou Eu,Wesley Safadão; Os Barões Da Pisadinha,1.011.627,58,91,3
91,Fifteen (Taylor’s Version),Taylor Swift,1.011.316,24,58,3
92,Hawái,Maluma,1.007.912,2,95,255
93,BED,Joel Corry; RAYE; David Guetta,1.006.920,69,84,28
94,Circles,Post Malone,1.004.061,1,106,107
95,HOLIDAY,Lil Nas X,989.196,16,96,150
96,Facas - Ao Vivo,Diego & Victor Hugo; Bruno & Marrone,981.784,71,94,3
97,AM,Nio Garcia; Flow La Movie,977.093,97,115,3
98,death bed (coffee for your head),Powfu; beabadoobee,963.777,4,121,107
99,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,963.685,1,109,107
100,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,963.426,6,104,283
101,Travesuras - Remix,Nio Garcia; Casper Magico; Ozuna; Wisin & Yandel; Myke Towers; Flow La Movie,961.963,84,98,28
102,Hey Stephen (Taylor’s Version),Taylor Swift,961.679,26,67,3
103,Shallow,Lady Gaga; Bradley Cooper,953.988,2,110,107
104,Wants and Needs (feat. Lil Baby),Drake; Lil Baby,951.129,2,99,38
105,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,945.498,74,118,34
106,Señorita,Shawn Mendes; Camila Cabello,941.071,1,108,107
107,Cloud 9,Beach Bunny,928.032,86,133,15
108,Believer,Imagine Dragons,920.284,15,117,107
109,Lucid Dreams,Juice WRLD,912.929,2,128,107
110,White Horse (Taylor’s Version),Taylor Swift,912.011,28,75,3
111,Martin & Gina,Polo G,909.789,110,122,71
112,Slumber Party (feat. Princess Nokia),Ashnikko; Princess Nokia,909.513,104,134,14
113,goosebumps,Travis Scott,907.149,10,119,107
114,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,897.664,21,113,185
115,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,893.989,2,125,107
116,At My Worst,Pink Sweat$,892.789,66,144,107
117,bad guy,Billie Eilish,886.425,1,123,107
118,Take Me To Church,Hozier,877.830,91,147,85
119,No Te Enamores - Remix,Milly; Farruko; Nio Garcia; Jay Wheeler; Amenazzy,877.387,55,120,91
120,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha; Jorge,867.361,116,116,2
121,The Box,Roddy Ricch,867.070,1,136,107
122,Adore You,Harry Styles,863.743,3,138,107
123,Forever & Always (Taylor’s Version),Taylor Swift,863.709,36,82,3
124,Coração Na Cama - Ao Vivo,Hugo & Guilherme,859.531,89,114,2
125,Machu Picchu,Camilo; Evaluna Montaner,850.075,63,126,38
126,Cover Me In Sunshine,P!nk; Willow Sage Hart,849.404,114,131,15
127,Shape of You,Ed Sheeran,845.983,1,132,107
128,Say You Won't Let Go,James Arthur,845.332,7,159,107
129,Blueberry Faygo,Lil Mosey,843.830,8,148,107
130,Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift; Colbie Caillat,841.149,33,83,3
131,Another Love,Tom Odell,840.627,131,191,2
132,Dreams - 2004 Remaster,Fleetwood Mac,837.562,17,139,107
133,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,836.973,1,127,304
134,Bohemian Rhapsody - Remastered 2011,Queen,835.510,10,135,107
135,Perfect,Ed Sheeran,835.235,3,152,107
136,The Hills,The Weeknd,833.262,24,150,71
137,TE MUDASTE,Bad Bunny,832.683,3,145,136
138,Follow You,Imagine Dragons,829.378,46,129,31
139,Golden,Harry Styles,820.838,21,153,107
140,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,820.406,2,142,107
141,Ruff Ryders' Anthem,DMX,814.854,41,41,3
142,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,797.486,9,149,107
143,Daddy Issues,The Neighbourhood,795.455,91,185,107
144,Break My Heart,Dua Lipa,794.406,6,162,107
145,Somebody That I Used To Know,Gotye; Kimbra,791.893,122,165,49
146,Breaking Me,Topic; A7S,791.295,6,140,107
147,L-Gante: Bzrp Music Sessions Vol.38,Bizarrap; L-Gante,790.668,101,158,31
148,Goosebumps,HVME,785.796,26,124,107
149,Back in Blood (feat. Lil Durk),Pooh Shiesty; Lil Durk,781.488,94,164,49
150,All of Me,John Legend,777.638,76,175,100
151,Just the Way You Are,Bruno Mars,775.756,115,166,63
152,LOCATION,KAROL G; Anuel AA; J Balvin,775.038,59,154,59
153,Jocelyn Flores,XXXTENTACION,773.796,2,194,107
154,Life Goes On,BTS,772.051,3,190,143
155,HIGHEST IN THE ROOM,Travis Scott,771.626,1,163,107
156,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift; Keith Urban,770.819,60,111,3
157,Another One Bites The Dust - Remastered 2011,Queen,768.995,32,157,33
158,Tell Me Why (Taylor’s Version),Taylor Swift,760.899,42,102,3
159,You’re Not Sorry (Taylor’s Version),Taylor Swift,760.666,44,105,3
