Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,MONTERO (Call Me By Your Name),Lil Nas X,6.814.849,1,1,24
2,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,6.449.363,1,2,31
3,RAPSTAR,Polo G,3.981.339,3,3,10
4,Astronaut In The Ocean,Masked Wolf,3.840.628,2,4,92
5,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,3.365.173,4,5,45
6,Kiss Me More (feat. SZA),Doja Cat; SZA,3.316.483,5,8,10
7,Levitating (feat. DaBaby),Dua Lipa; DaBaby,3.290.538,6,6,199
8,deja vu,Olivia Rodrigo,3.211.755,5,10,18
9,Fiel,Los Legendarios; Wisin; Jhayco,3.194.639,7,7,63
10,Save Your Tears,The Weeknd,3.067.342,2,9,103
11,Heartbreak Anniversary,Giveon,3.028.689,8,11,68
12,drivers license,Olivia Rodrigo,3.005.923,1,12,101
13,telepatía,Kali Uchis,2.778.945,2,13,62
14,DÁKITI,Bad Bunny; Jhayco,2.581.802,1,14,171
15,Blinding Lights,The Weeknd,2.556.135,1,15,507
16,Hold On,Justin Bieber,2.310.346,2,18,45
17,The Business,Tiësto,2.272.956,8,17,168
18,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,2.258.724,13,16,61
19,Runaway,AURORA,2.234.614,19,20,28
20,Up,Cardi B,2.201.697,13,19,73
21,Bandido,Myke Towers; Juhn,1.918.093,5,21,114
22,Mood (feat. iann dior),24kGoldn; iann dior,1.905.661,1,23,252
23,Arcade,Duncan Laurence,1.855.000,14,28,76
24,WITHOUT YOU,The Kid LAROI,1.819.966,6,25,139
25,911,Sech,1.795.535,22,22,63
26,Streets,Doja Cat,1.785.796,7,30,98
27,Calling My Phone,Lil Tjay; 6LACK,1.777.111,3,26,66
28,Heat Waves,Glass Animals,1.713.893,25,31,114
29,Solid (feat. Drake),Young Stoner Life; Young Thug; Gunna; Drake,1.704.913,17,24,3
30,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,1.701.217,2,29,143
31,Watermelon Sugar,Harry Styles,1.658.370,4,32,519
32,Dynamite,BTS,1.639.603,1,38,241
33,Your Love (9PM),ATB; Topic; A7S,1.582.051,24,27,77
34,AM,Nio Garcia; Flow La Movie,1.561.865,34,39,10
35,Goosebumps - Remix,Travis Scott; HVME,1.551.408,31,34,94
36,Someone You Loved,Lewis Capaldi,1.534.883,4,41,827
37,Batom de Cereja - Ao Vivo,Israel & Rodolffo,1.529.097,28,33,39
38,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5; Megan Thee Stallion,1.518.205,36,37,42
39,Don't Start Now,Dua Lipa,1.477.523,2,36,535
40,Baila Conmigo (with Rauw Alejandro),Selena Gomez; Rauw Alejandro,1.477.124,16,35,80
41,Ella No Es Tuya - Remix,Rochy RD; Myke Towers; Nicki Nicole,1.431.824,21,40,66
42,EL MAKINON,KAROL G; Mariah Angeliq,1.393.213,42,43,24
43,Best Friend (feat. Doja Cat),Saweetie; Doja Cat,1.384.331,43,46,101
44,Anyone,Justin Bieber,1.379.834,4,48,108
45,Good Days,SZA,1.369.790,5,51,114
46,We're Good,Dua Lipa,1.362.794,10,45,66
47,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,1.314.990,2,49,248
48,Hecha Pa' Mi,Boza,1.312.859,14,44,144
49,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.296.131,10,42,280
50,positions,Ariana Grande,1.292.124,1,52,178
51,Sweater Weather,The Neighbourhood,1.253.016,33,62,218
52,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans; 220 KID; Billen Ted,1.226.814,29,47,69
53,Talking to the Moon,Bruno Mars,1.222.074,53,71,29
54,Paradise (feat. Dermot Kennedy),MEDUZA; Dermot Kennedy,1.211.283,24,50,114
55,you broke me first,Tate McRae,1.210.596,12,66,282
56,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,1.204.463,1,55,367
57,Dance Monkey,Tones And I,1.200.928,1,54,641
58,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,1.198.121,6,56,12
59,34+35,Ariana Grande,1.153.144,2,65,171
60,Wants and Needs (feat. Lil Baby),Drake; Lil Baby,1.148.850,2,60,45
61,My Head & My Heart,Ava Max,1.137.285,56,57,66
62,BED,Joel Corry; RAYE; David Guetta,1.135.915,53,53,35
63,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,1.118.864,4,69,213
64,Disco Arranhado - Funk Remix,Malu; DJ Lucas Beat,1.116.501,58,58,20
65,GIRL LIKE ME,Black Eyed Peas; Shakira,1.116.109,34,59,114
66,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,1.106.726,1,64,255
67,Met Him Last Night (feat. Ariana Grande),Demi Lovato; Ariana Grande,1.088.443,24,61,17
