Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,good 4 u,Olivia Rodrigo,7.305.852,1,1,47
2,Beggin',Måneskin,6.562.642,2,2,29
3,Todo De Ti,Rauw Alejandro,4.890.740,2,3,40
4,Bad Habits,Ed Sheeran,4.878.084,4,5,5
5,MONTERO (Call Me By Your Name),Lil Nas X,4.871.909,1,4,96
6,Kiss Me More (feat. SZA),Doja Cat; SZA,4.670.083,2,6,82
7,Yonaguni,Bad Bunny,4.669.870,3,7,26
8,I WANNA BE YOUR SLAVE,Måneskin,3.836.658,8,8,38
9,Levitating (feat. DaBaby),Dua Lipa; DaBaby,3.736.872,4,9,271
10,Butter,BTS,3.559.316,2,10,40
11,deja vu,Olivia Rodrigo,3.494.322,3,11,90
12,Qué Más Pues?,J Balvin; Maria Becerra,3.474.928,9,13,33
13,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,3.396.401,1,12,103
14,AM Remix,Nio Garcia; J Balvin; Bad Bunny,3.308.014,13,15,5
15,You Right,Doja Cat; The Weeknd,3.172.774,14,14,5
16,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,2.922.003,3,16,68
17,traitor,Olivia Rodrigo,2.837.962,7,17,40
18,happier,Olivia Rodrigo,2.753.835,12,18,40
19,drivers license,Olivia Rodrigo,2.579.273,1,19,173
20,Astronaut In The Ocean,Masked Wolf,2.520.863,2,20,164
21,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,2.468.816,4,21,117
22,Pareja Del Año,Sebastian Yatra; Myke Towers,2.209.875,9,26,72
23,Blinding Lights,The Weeknd,2.154.533,1,24,579
24,RAPSTAR,Polo G,2.151.460,3,27,82
25,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),Tyler; The Creator; YoungBoy Never Broke Again; Ty Dolla $ign,2.138.749,13,22,5
26,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,2.119.870,11,23,133
27,favorite crime,Olivia Rodrigo,2.113.998,11,25,40
28,Build a Bitch,Bella Poarch,2.087.086,20,28,47
29,Fiel - Remix,Wisin; Jhayco; Anuel AA; Los Legendarios; Myke Towers,1.866.182,26,31,14
30,ZITTI E BUONI,Måneskin,1.851.932,9,29,39
31,DÁKITI,Bad Bunny; Jhayco,1.779.726,1,30,243
32,Dinero,Trinidad Cardona,1.775.452,31,32,21
33,Watermelon Sugar,Harry Styles,1.761.310,4,34,591
34,Dynamite,BTS,1.742.633,1,35,313
35,Heat Waves,Glass Animals,1.741.534,25,33,186
36,jealousy jealousy,Olivia Rodrigo,1.713.707,14,36,40
