Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,7.714.466,1,1,84
2,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,6.517.968,2,2,70
3,Heat Waves,Glass Animals,4.460.880,3,3,279
4,My Universe,Coldplay; BTS,4.142.687,3,5,7
5,Bad Habits,Ed Sheeran,4.077.321,3,4,98
6,Pepas,Farruko,3.982.650,3,6,81
7,Woman,Doja Cat,3.905.977,5,7,74
8,Shivers,Ed Sheeran,3.706.870,8,8,21
9,THATS WHAT I WANT,Lil Nas X,3.529.010,3,9,14
10,Beggin',Måneskin,3.367.619,1,10,122
11,good 4 u,Olivia Rodrigo,3.287.732,1,11,140
12,MONTERO (Call Me By Your Name),Lil Nas X,3.264.339,1,12,189
13,love nwantiti (ah ah ah),CKay,3.154.464,13,13,18
14,Happier Than Ever,Billie Eilish,2.919.838,6,14,63
15,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,2.844.363,15,18,49
16,Need to Know,Doja Cat,2.843.714,6,15,112
17,Life Goes On,Oliver Tree,2.819.186,16,17,29
18,Way 2 Sexy (with Future & Young Thug),Drake; Future; Young Thug,2.797.081,4,16,28
19,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay; Dj Yo!; AX'EL,2.712.521,19,20,16
20,Kiss Me More (feat. SZA),Doja Cat; SZA,2.664.147,2,19,175
21,MONEY,LISA,2.259.401,21,24,21
22,Fair Trade (with Travis Scott),Drake; Travis Scott,2.242.318,3,21,28
23,Yonaguni,Bad Bunny,2.227.452,3,22,119
24,Knife Talk (with 21 Savage ft. Project Pat),Drake; 21 Savage; Project Pat,2.187.943,11,23,28
25,Todo De Ti,Rauw Alejandro,2.177.181,2,25,133
26,traitor,Olivia Rodrigo,2.136.787,7,26,133
27,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.092.146,4,27,364
28,Volví,Aventura; Bad Bunny,2.088.072,7,28,59
29,LALISA,LISA,2.001.284,15,29,21
30,In Da Getto,J Balvin; Skrillex,1.964.360,22,30,91
31,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,1.959.775,1,31,196
32,Take My Breath - Single Version,The Weeknd,1.891.934,7,32,56
33,Meet Me At Our Spot,THE ANXIETY; WILLOW; Tyler Cole,1.859.659,30,33,31
34,Blinding Lights,The Weeknd,1.839.735,1,34,672
35,Qué Más Pues?,J Balvin; Maria Becerra,1.759.370,9,38,126
36,Girls Want Girls (with Lil Baby),Drake; Lil Baby,1.753.558,1,35,28
37,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,1.748.877,3,37,161
38,I WANNA BE YOUR SLAVE,Måneskin,1.728.271,8,39,131
39,Hurricane,Kanye West,1.724.178,3,36,33
40,drivers license,Olivia Rodrigo,1.677.051,1,40,266
