Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,DÁKITI,Bad Bunny; Jhayco,5.875.955,1,1,39
2,All I Want for Christmas Is You,Mariah Carey,4.161.880,1,2,37
3,positions,Ariana Grande,3.795.935,1,8,46
4,Mood (feat. iann dior),24kGoldn; iann dior,3.531.806,1,9,120
5,Last Christmas,Wham!,3.483.775,2,3,31
6,Blinding Lights,The Weeknd,3.366.182,1,11,375
7,BICHOTA,KAROL G,3.266.699,7,12,46
8,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,3.257.364,2,13,11
9,Dynamite,BTS,3.087.869,1,15,109
10,Therefore I Am,Billie Eilish,3.030.133,2,17,26
11,Santa Tell Me,Ariana Grande,3.022.148,3,4,27
12,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes; Justin Bieber,2.968.895,6,18,18
13,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,2.906.357,2,16,116
14,34+35,Ariana Grande,2.844.869,2,21,39
15,It's Beginning to Look a Lot like Christmas,Michael Bublé,2.726.448,3,5,25
16,Rockin' Around The Christmas Tree,Brenda Lee,2.723.588,3,6,24
17,Jingle Bell Rock,Bobby Helms,2.580.481,4,7,24
18,It's the Most Wonderful Time of the Year,Andy Williams,2.369.164,6,10,24
19,What You Know Bout Love,Pop Smoke,2.340.751,5,25,85
20,Lonely (with benny blanco),Justin Bieber; benny blanco,2.224.247,5,34,53
21,Prisoner (feat. Dua Lipa),Miley Cyrus; Dua Lipa,2.209.389,10,35,18
22,Underneath the Tree,Kelly Clarkson,2.170.251,14,14,21
23,Watermelon Sugar,Harry Styles,2.165.959,4,32,387
24,Hawái,Maluma,2.153.693,2,29,130
25,Whoopty,CJ,2.116.221,25,37,44
26,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,2.107.382,1,31,123
27,Life Goes On,BTS,2.102.957,3,41,18
28,you broke me first,Tate McRae,2.047.254,12,38,150
29,HOLIDAY,Lil Nas X,2.029.698,29,39,25
30,TE MUDASTE,Bad Bunny,2.019.498,3,36,11
31,WITHOUT YOU,The Kid LAROI,1.953.196,31,51,7
32,Mistletoe,Justin Bieber,1.921.438,11,19,20
33,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,1.883.061,1,40,235
34,Levitating (feat. DaBaby),Dua Lipa; DaBaby,1.882.520,21,45,67
35,Wonder,Shawn Mendes,1.854.467,12,42,67
36,Someone You Loved,Lewis Capaldi,1.832.128,4,46,695
37,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.823.477,11,50,148
38,Heather,Conan Gray,1.816.556,11,47,139
39,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,1.804.102,6,43,158
40,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1.767.416,20,20,17
41,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,1.723.059,11,44,95
42,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,1.701.306,21,48,60
43,Feliz Navidad,José Feliciano,1.675.354,10,22,17
44,Dance Monkey,Tones And I,1.669.888,1,49,509
45,Sleigh Ride,The Ronettes,1.659.657,20,23,17
46,Roses - Imanbek Remix,SAINt JHN; Imanbek,1.651.310,2,52,348
47,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,1.638.914,4,56,81
48,Holly Jolly Christmas,Michael Bublé,1.604.428,12,27,17
49,Chica Ideal,Sebastian Yatra; Guaynaa,1.598.825,35,55,46
50,Do They Know It's Christmas? - 1984 Version,Band Aid,1.584.262,3,24,14
51,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra; B. Swanson Quartet,1.576.146,11,28,17
52,La Tóxica,Farruko,1.547.535,19,54,94
53,Before You Go,Lewis Capaldi,1.535.663,17,60,384
54,Vida de Rico,Camilo,1.528.480,23,57,77
55,Don't Start Now,Dua Lipa,1.515.026,2,59,403
56,pov,Ariana Grande,1.497.223,18,66,39
57,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,1.444.774,2,63,116
58,Body,Megan Thee Stallion,1.433.656,54,67,17
59,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1.432.571,10,30,13
60,Reloj,Rauw Alejandro; Anuel AA,1.426.706,59,62,42
61,Jeans,Justin Quiles,1.391.837,31,61,102
62,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.380.447,19,64,168
63,Put Your Records On,Ritt Momney,1.374.956,15,76,87
64,Driving Home for Christmas - 2019 Remaster,Chris Rea,1.374.562,8,26,13
65,Sweater Weather,The Neighbourhood,1.367.793,65,79,86
66,SO DONE,The Kid LAROI,1.355.734,40,81,46
67,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,1.354.493,9,73,137
68,Mi Niña,Wisin; Myke Towers; Los Legendarios,1.347.752,37,71,64
69,Se Te Nota (with Guaynaa),Lele Pons; Guaynaa,1.338.631,23,69,84
70,Happy Xmas (War Is Over) - Remastered 2010,John Lennon; Yoko Ono,1.338.036,7,33,12
71,Una Locura,Ozuna; J Balvin; Chencho Corleone,1.306.567,30,72,91
72,death bed (coffee for your head),Powfu; beabadoobee,1.304.262,4,77,298
73,The Box,Roddy Ricch,1.301.483,1,75,362
74,Ay DiOs Mío!,KAROL G,1.290.577,12,74,148
75,HACIENDO QUE ME AMAS,Bad Bunny,1.266.049,4,84,11
76,Circles,Post Malone,1.265.900,1,86,466
77,Parce (feat. Justin Quiles),Maluma; Lenny Tavárez; Justin Quiles,1.258.883,35,78,109
78,Real Shit (with benny blanco),Juice WRLD; benny blanco,1.255.511,47,83,6
79,Take You Dancing,Jason Derulo,1.248.131,26,92,127
80,Midnight Sky,Miley Cyrus,1.244.346,10,98,116
81,lovely (with Khalid),Billie Eilish; Khalid,1.242.503,19,90,960
82,The Business,Tiësto,1.236.586,74,103,36
83,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,1.235.999,1,82,179
84,Hawái - Remix,Maluma; The Weeknd,1.228.739,13,89,33
85,Breaking Me,Topic; A7S,1.228.446,6,97,262
