Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,4.646.187,1,1,104
2,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,4.606.883,2,2,48
3,cardigan,Taylor Swift,4.247.989,1,3,6
4,Blinding Lights,The Weeknd,4.096.908,1,4,244
5,Watermelon Sugar,Harry Styles,3.720.138,4,6,256
6,exile (feat. Bon Iver),Taylor Swift; Bon Iver,3.591.608,3,5,6
7,Roses - Imanbek Remix,SAINt JHN; Imanbek,3.274.770,2,8,217
8,the 1,Taylor Swift,3.080.575,2,7,6
9,Come & Go (with Marshmello),Juice WRLD; Marshmello,2.821.694,2,9,21
10,Breaking Me,Topic; A7S,2.774.574,8,12,131
11,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,2.573.185,11,14,6
12,the last great american dynasty,Taylor Swift,2.518.804,4,10,6
13,Wishing Well,Juice WRLD,2.506.653,6,15,20
14,my tears ricochet,Taylor Swift,2.474.886,5,11,6
15,death bed (coffee for your head),Powfu; beabadoobee,2.432.205,4,16,167
16,Dance Monkey,Tones And I,2.309.573,1,19,378
17,august,Taylor Swift,2.306.054,9,13,6
18,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,2.278.543,1,20,69
19,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,2.266.930,14,21,75
20,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,2.216.049,9,23,125
21,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,2.201.544,11,24,36
22,POPSTAR (feat. Drake),DJ Khaled; Drake,2.173.746,4,26,13
23,mirrorball,Taylor Swift,2.117.500,8,17,6
24,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,2.082.899,17,31,103
25,seven,Taylor Swift,2.058.950,10,18,6
26,Agua (with J Balvin),Tainy; J Balvin,2.054.571,25,29,20
27,Blueberry Faygo,Lil Mosey,2.048.829,8,30,174
28,Don't Start Now,Dua Lipa,2.048.158,2,32,272
29,How You Like That,BLACKPINK,2.038.019,2,28,34
30,Break My Heart,Dua Lipa,2.021.378,6,33,126
31,invisible string,Taylor Swift,2.009.701,14,22,6
32,Relación,Sech,1.983.910,22,35,83
33,Caramelo,Ozuna,1.974.120,25,38,48
34,Toosie Slide,Drake,1.968.263,1,37,118
35,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke; 50 Cent; Roddy Ricch,1.937.752,12,39,27
36,Someone You Loved,Lewis Capaldi,1.930.648,4,40,564
37,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,1.928.890,28,41,20
38,this is me trying,Taylor Swift,1.927.841,12,25,6
39,illicit affairs,Taylor Swift,1.879.053,13,27,6
40,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,1.852.332,1,43,83
41,betty,Taylor Swift,1.791.491,17,34,6
42,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.784.908,34,44,37
43,Mamichula - con Nicki Nicole,Trueno; Nicki Nicole; Bizarrap; Taiu; TATOOL,1.772.079,43,45,6
44,GREECE (feat. Drake),DJ Khaled; Drake,1.758.620,18,46,13
45,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,1.738.254,8,48,63
46,Party Girl,StaySolidRocky,1.668.131,8,—,1
47,mad woman,Taylor Swift,1.667.221,16,42,6
48,Before You Go,Lewis Capaldi,1.649.472,17,50,253
49,Supalonely,BENEE; Gus Dapperton,1.589.333,10,51,148
50,The Box,Roddy Ricch,1.580.098,1,52,231
51,Go Crazy,Chris Brown; Young Thug,1.558.479,42,53,66
52,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.538.824,52,58,17
53,epiphany,Taylor Swift,1.537.791,19,47,6
