Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,positions,Ariana Grande,7.829.519,1,1,8
2,34+35,Ariana Grande,6.029.516,2,—,1
3,Mood (feat. iann dior),24kGoldn; iann dior,5.361.326,1,2,82
4,motive (with Doja Cat),Ariana Grande; Doja Cat,4.821.156,4,—,1
5,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,4.506.208,2,3,78
6,off the table (with The Weeknd),Ariana Grande; The Weeknd,4.447.198,6,—,1
7,shut up,Ariana Grande,4.253.903,7,—,1
8,just like magic,Ariana Grande,3.858.081,8,—,1
9,DÁKITI,Bad Bunny; Jhayco,3.779.263,9,—,1
10,What You Know Bout Love,Pop Smoke,3.657.535,5,5,47
11,Dynamite,BTS,3.628.695,1,4,71
12,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,3.575.640,1,6,85
13,Blinding Lights,The Weeknd,3.440.824,1,9,337
14,safety net (feat. Ty Dolla $ign),Ariana Grande; Ty Dolla $ign,3.432.394,14,—,1
15,Hawái,Maluma,3.418.848,2,8,92
16,nasty,Ariana Grande,3.400.086,16,—,1
17,six thirty,Ariana Grande,3.340.506,17,—,1
18,pov,Ariana Grande,3.334.692,18,—,1
19,Lonely (with benny blanco),Justin Bieber; benny blanco,3.266.246,7,7,15
20,my hair,Ariana Grande,3.236.886,20,—,1
21,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,3.151.491,4,10,43
22,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,3.135.943,6,12,120
23,Watermelon Sugar,Harry Styles,3.035.720,4,11,349
24,Head & Heart (feat. MNEK),Joel Corry; MNEK,2.862.403,11,13,110
25,west side,Ariana Grande,2.850.790,25,—,1
26,love language,Ariana Grande,2.846.018,26,—,1
27,obvious,Ariana Grande,2.776.917,27,—,1
28,you broke me first,Tate McRae,2.692.508,12,14,112
29,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,2.414.355,1,16,197
30,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,2.403.830,11,18,57
31,Put Your Records On,Ritt Momney,2.390.895,15,15,49
32,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,2.350.272,2,17,78
33,Wonder,Shawn Mendes,2.162.790,12,19,29
34,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,2.158.172,1,21,141
35,Heather,Conan Gray,2.108.486,11,20,101
36,La Tóxica,Farruko,2.078.318,19,24,56
37,Vida de Rico,Camilo,2.028.708,23,25,39
38,Roses - Imanbek Remix,SAINt JHN; Imanbek,2.008.882,2,23,310
39,Se Te Nota (with Guaynaa),Lele Pons; Guaynaa,2.007.497,29,31,46
40,Someone You Loved,Lewis Capaldi,1.983.605,4,22,657
41,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,1.975.055,9,26,99
42,Take You Dancing,Jason Derulo,1.958.619,26,27,89
43,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.941.892,19,29,130
44,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,1.903.082,43,43,22
45,Dreams - 2004 Remaster,Fleetwood Mac,1.866.268,17,28,35
46,Levitating (feat. DaBaby),Dua Lipa; DaBaby,1.855.444,39,39,29
47,Midnight Sky,Miley Cyrus,1.842.686,10,34,78
48,Breaking Me,Topic; A7S,1.841.346,6,33,224
49,Fever,Dua Lipa; Angèle,1.832.874,49,—,1
50,Una Locura,Ozuna; J Balvin; Chencho Corleone,1.811.655,34,38,53
51,Dance Monkey,Tones And I,1.794.103,1,36,471
52,Jeans,Justin Quiles,1.790.551,40,40,64
53,Before You Go,Lewis Capaldi,1.779.926,17,30,346
54,Ice Cream (with Selena Gomez),BLACKPINK; Selena Gomez,1.740.376,4,32,64
55,Ay DiOs Mío!,KAROL G,1.730.691,12,41,110
56,Despeinada,Ozuna; Camilo,1.724.481,33,42,57
57,POPSTAR (feat. Drake),DJ Khaled; Drake,1.713.648,4,35,106
58,MORE,K/DA; Madison Beer; (G)I-DLE; Lexie Liu; Jaira Burns; Seraphine; League of Legends,1.672.451,50,50,3
59,Golden,Harry Styles,1.652.315,21,45,5
60,Diamonds,Sam Smith,1.638.603,36,85,43
61,Come & Go (with Marshmello),Juice WRLD; Marshmello,1.625.354,2,44,114
62,Lovesick Girls,BLACKPINK,1.615.709,3,37,29
63,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,1.587.508,10,47,103
64,Parce (feat. Justin Quiles),Maluma; Lenny Tavárez; Justin Quiles,1.568.694,49,53,71
65,Daisy,Ashnikko,1.557.996,44,46,46
66,Mi Niña,Wisin; Myke Towers; Los Legendarios,1.525.043,58,58,26
