Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Dance Monkey,Tones And I,5.943.521,1,1,216
2,The Box,Roddy Ricch,5.763.703,1,2,69
3,Blinding Lights,The Weeknd,5.701.747,3,3,82
4,Intentions (feat. Quavo),Justin Bieber; Quavo,4.753.680,4,4,12
5,Don't Start Now,Dua Lipa,4.620.166,4,5,110
6,No Time To Die,Billie Eilish,4.339.313,1,6,5
7,Yummy,Justin Bieber,4.033.884,2,7,47
8,Tusa,KAROL G; Nicki Minaj,3.965.183,3,9,103
9,Falling,Trevor Daniel,3.878.033,5,8,94
10,ROXANNE,Arizona Zervas,3.679.493,2,10,114
11,Life Is Good (feat. Drake),Future; Drake,3.461.908,3,11,40
12,everything i wanted,Billie Eilish,3.373.714,1,12,97
13,Circles,Post Malone,2.977.561,1,13,173
14,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,2.884.629,3,15,33
15,Someone You Loved,Lewis Capaldi,2.837.428,4,16,402
16,Forever (feat. Post Malone & Clever),Justin Bieber; Post Malone; Clever,2.791.186,12,14,5
17,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,2.762.429,2,17,152
18,Ignorantes,Bad Bunny; Sech,2.611.487,18,18,5
19,bad guy,Billie Eilish,2.496.895,1,19,327
20,Adore You,Harry Styles,2.382.540,3,20,75
21,Señorita,Shawn Mendes; Camila Cabello,2.294.020,1,21,243
22,Say So,Doja Cat,2.271.424,21,22,55
23,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,2.232.156,6,23,127
24,Before You Go,Lewis Capaldi,2.229.088,17,24,91
25,You should be sad,Halsey,2.219.932,16,25,40
26,My Oh My (feat. DaBaby),Camila Cabello; DaBaby,2.152.218,14,26,75
27,Sigues Con El,Arcángel; Sech; Dímelo Flow,2.123.350,19,28,63
28,Physical,Dua Lipa,2.090.847,17,27,19
29,Blueberry Faygo,Lil Mosey,2.055.251,29,31,12
30,To Die For,Sam Smith,2.040.059,30,30,5
31,Roses - Imanbek Remix,SAINt JHN; Imanbek,2.006.877,29,29,55
32,Lose Control,MEDUZA; Becky Hill; Goodboys,1.873.142,27,32,124
33,Vete,Bad Bunny,1.802.211,6,33,90
34,High Fashion (feat. Mustard),Roddy Ricch; Mustard,1.774.197,26,35,40
35,Ride It,Regard,1.752.123,12,36,166
36,Suicidal,YNW Melly,1.748.230,23,34,64
37,Sunday Best,Surfaces,1.743.495,37,39,32
38,Hola - Remix,Dalex; Lenny Tavárez; Chencho Corleone; Juhn; Dímelo Flow,1.739.203,28,37,98
39,What A Man Gotta Do,Jonas Brothers,1.701.702,24,38,33
40,Morado,J Balvin,1.689.491,30,40,40
41,Keii,Anuel AA,1.660.073,35,41,12
42,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,1.596.529,1,42,285
43,What If I Told You That I Love You,Ali Gatie,1.586.421,32,43,26
44,Lose You To Love Me,Selena Gomez,1.576.279,1,45,119
45,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.562.258,1,44,489
46,Fantasias,Rauw Alejandro; Farruko,1.544.130,25,47,148
47,hot girl bummer,blackbear,1.519.833,9,46,180
48,BOP,DaBaby,1.502.448,21,49,145
49,when the party's over,Billie Eilish,1.487.994,7,48,490
50,Know Your Worth,Khalid; Disclosure,1.472.177,27,50,12
51,SUGAR,BROCKHAMPTON,1.458.880,34,51,48
52,Muévelo,Nicky Jam; Daddy Yankee,1.426.130,35,52,40
53,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,1.383.848,5,54,138
