Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,4.887.153,1,1,73
2,How You Like That,BLACKPINK,4.296.019,2,2,3
3,Blinding Lights,The Weeknd,4.198.759,1,3,213
4,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,3.993.998,3,4,17
5,Roses - Imanbek Remix,SAINt JHN; Imanbek,3.598.058,2,5,186
6,Watermelon Sugar,Harry Styles,3.185.234,5,6,225
7,death bed (coffee for your head),Powfu; beabadoobee,2.971.489,4,7,136
8,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,2.785.919,1,8,38
9,Toosie Slide,Drake,2.769.051,1,9,87
10,Dance Monkey,Tones And I,2.543.786,1,10,347
11,Party Girl,StaySolidRocky,2.540.692,8,12,59
12,Don't Start Now,Dua Lipa,2.473.095,2,11,241
13,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,2.403.324,9,13,94
14,Breaking Me,Topic; A7S,2.352.264,14,14,100
15,Break My Heart,Dua Lipa,2.335.374,6,15,95
16,Blueberry Faygo,Lil Mosey,2.253.498,8,16,143
17,Supalonely,BENEE; Gus Dapperton,2.040.966,10,18,117
18,The Box,Roddy Ricch,2.009.530,1,19,200
19,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,2.000.898,1,20,52
20,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,1.981.080,17,17,72
21,THE SCOTTS,THE SCOTTS; Travis Scott; Kid Cudi,1.925.377,1,21,66
22,Someone You Loved,Lewis Capaldi,1.867.890,4,24,533
23,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,1.852.734,22,22,44
24,Intentions (feat. Quavo),Justin Bieber; Quavo,1.813.347,4,23,143
25,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,1.753.153,25,26,5
26,GOOBA,6ix9ine,1.710.232,2,25,52
27,Sunday Best,Surfaces,1.695.638,12,29,163
28,Say So,Doja Cat,1.686.059,5,28,186
29,Relación,Sech,1.665.328,27,27,52
30,Falling,Trevor Daniel,1.615.673,5,33,225
31,Savage Remix (feat. Beyoncé),Megan Thee Stallion; Beyoncé,1.608.643,11,30,61
32,Hasta Que Dios Diga,Anuel AA; Bad Bunny,1.579.911,23,32,31
33,Before You Go,Lewis Capaldi,1.555.456,17,38,222
34,Tusa,KAROL G; Nicki Minaj,1.553.172,3,31,234
35,Circles,Post Malone,1.522.914,1,35,304
36,In Your Eyes,The Weeknd,1.515.469,4,34,101
37,Play Date,Melanie Martinez,1.501.757,27,40,64
38,goosebumps,Travis Scott,1.491.112,10,39,186
39,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,1.489.668,8,37,32
40,Yo Perreo Sola,Bad Bunny,1.460.712,16,36,121
41,Be Kind (with Halsey),Marshmello; Halsey,1.395.571,19,45,59
42,Señorita,Shawn Mendes; Camila Cabello,1.389.279,1,43,374
43,Safaera,Bad Bunny; Jowell & Randy; Ñengo Flow,1.383.423,7,44,44
44,Adore You,Harry Styles,1.382.363,3,46,206
45,Kings & Queens,Ava Max,1.375.893,37,41,91
46,Lose Somebody,Kygo; OneRepublic,1.371.580,30,42,45
47,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,1.328.403,2,47,283
48,HIGHEST IN THE ROOM,Travis Scott,1.305.093,1,49,269
49,Sour Candy (with BLACKPINK),Lady Gaga; BLACKPINK,1.270.894,2,48,32
50,Caramelo,Ozuna,1.254.022,50,50,17
51,bad guy,Billie Eilish,1.219.612,1,55,458
52,SICKO MODE,Travis Scott,1.218.531,2,54,186
53,WHATS POPPIN,Jack Harlow,1.215.048,23,51,147
54,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.209.699,1,56,620
55,ROXANNE,Arizona Zervas,1.205.941,2,52,245
56,Life Is Good (feat. Drake),Future; Drake,1.182.686,3,53,171
57,After Party,Don Toliver,1.163.148,40,60,73
58,Rojo,J Balvin,1.124.551,14,57,122
59,Elegí (feat. Dímelo Flow),Rauw Alejandro; Dalex; Lenny Tavárez; Dímelo Flow,1.112.533,53,58,87
60,Azul,J Balvin,1.099.647,37,62,101
61,PORFA,Feid; Justin Quiles,1.080.532,51,59,86
62,Chicago Freestyle (feat. Giveon),Drake; Giveon,1.078.927,8,66,59
63,Ride It,Regard,1.058.864,12,61,297
