Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,4.876.318,1,2,51
2,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,4.781.251,1,3,107
3,Blinding Lights,The Weeknd,4.346.043,1,4,247
4,Watermelon Sugar,Harry Styles,4.135.661,4,5,259
5,my future,Billie Eilish,3.712.032,1,1,2
6,Roses - Imanbek Remix,SAINt JHN; Imanbek,3.459.798,2,7,220
7,cardigan,Taylor Swift,3.124.127,1,6,9
8,Breaking Me,Topic; A7S,2.976.429,8,9,134
9,Come & Go (with Marshmello),Juice WRLD; Marshmello,2.722.932,2,10,24
10,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,2.696.429,10,11,9
11,exile (feat. Bon Iver),Taylor Swift; Bon Iver,2.693.003,3,8,9
12,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,2.561.400,12,15,78
13,Dance Monkey,Tones And I,2.549.400,1,13,381
14,Wishing Well,Juice WRLD,2.425.680,6,12,23
15,death bed (coffee for your head),Powfu; beabadoobee,2.372.518,4,17,170
16,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,2.350.098,1,16,72
17,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,2.302.432,9,18,128
18,Caramelo,Ozuna,2.301.154,18,21,51
19,Agua (with J Balvin),Tainy; J Balvin,2.273.410,19,22,23
20,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,2.235.324,17,20,106
21,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,2.226.973,11,19,39
22,Relación,Sech,2.162.363,22,25,86
23,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,2.161.997,23,26,23
24,Break My Heart,Dua Lipa,2.088.118,6,24,129
25,the 1,Taylor Swift,2.073.858,2,14,9
26,Don't Start Now,Dua Lipa,2.043.919,2,27,275
27,POPSTAR (feat. Drake),DJ Khaled; Drake,2.029.109,4,23,16
28,Toosie Slide,Drake,2.008.061,1,29,121
29,Blueberry Faygo,Lil Mosey,2.006.144,8,28,177
30,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.989.691,30,34,40
31,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke; 50 Cent; Roddy Ricch,1.920.379,12,30,30
32,Someone You Loved,Lewis Capaldi,1.860.971,4,36,567
33,Mamichula - con Nicki Nicole,Trueno; Nicki Nicole; Bizarrap; Taiu; TATOOL,1.832.217,33,37,9
34,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.827.266,34,35,20
35,Party Girl,StaySolidRocky,1.821.658,8,41,4
36,How You Like That,BLACKPINK,1.803.555,2,33,37
37,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,1.769.702,1,40,86
38,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,1.755.451,8,42,66
39,GREECE (feat. Drake),DJ Khaled; Drake,1.721.743,18,38,16
40,Djadja (feat. Maluma) - Remix,Aya Nakamura; Maluma,1.711.185,40,46,37
41,Go Crazy,Chris Brown; Young Thug,1.647.550,41,45,69
42,the last great american dynasty,Taylor Swift,1.641.043,4,31,9
43,Supalonely,BENEE; Gus Dapperton,1.639.855,10,43,151
44,The Box,Roddy Ricch,1.623.938,1,44,234
45,Before You Go,Lewis Capaldi,1.610.388,17,47,256
46,august,Taylor Swift,1.589.571,9,39,9
47,my tears ricochet,Taylor Swift,1.573.931,5,32,9
48,Kings & Queens,Ava Max,1.561.179,37,50,125
49,Tusa,KAROL G; Nicki Minaj,1.528.283,3,56,268
50,Intentions (feat. Quavo),Justin Bieber; Quavo,1.507.297,4,53,177
