Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,DÁKITI,Bad Bunny; Jhayco,8.023.337,1,1,15
2,Therefore I Am,Billie Eilish,5.829.722,2,31,2
3,positions,Ariana Grande,5.076.871,1,2,22
4,Mood (feat. iann dior),24kGoldn; iann dior,4.732.978,1,3,96
5,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,4.073.229,2,4,92
6,Lonely (with benny blanco),Justin Bieber; benny blanco,3.355.909,5,5,29
7,What You Know Bout Love,Pop Smoke,3.351.625,5,6,61
8,Dynamite,BTS,3.237.271,1,7,85
9,Blinding Lights,The Weeknd,3.092.814,1,8,351
10,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,3.030.903,1,9,99
11,Hawái,Maluma,2.845.708,2,10,106
12,Watermelon Sugar,Harry Styles,2.742.574,4,11,363
13,Hawái - Remix,Maluma; The Weeknd,2.741.065,13,19,9
14,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,2.706.376,6,12,134
15,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,2.677.148,4,13,57
16,Head & Heart (feat. MNEK),Joel Corry; MNEK,2.623.501,11,15,124
17,you broke me first,Tate McRae,2.595.964,12,14,126
18,34+35,Ariana Grande,2.384.297,2,16,15
19,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,2.261.459,11,17,71
20,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,2.175.435,1,20,211
21,La Nota,Manuel Turizo; Rauw Alejandro; Myke Towers,2.156.334,21,21,36
22,Put Your Records On,Ritt Momney,2.130.582,15,18,63
23,BICHOTA,KAROL G,2.079.547,23,32,22
24,Levitating (feat. DaBaby),Dua Lipa; DaBaby,2.053.682,24,27,43
25,Heather,Conan Gray,2.031.772,11,22,115
26,pov,Ariana Grande,2.031.172,18,30,15
27,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,2.000.809,2,24,92
28,Se Te Nota (with Guaynaa),Lele Pons; Guaynaa,1.999.551,23,25,60
29,La Tóxica,Farruko,1.993.217,19,26,70
30,Someone You Loved,Lewis Capaldi,1.970.989,4,23,671
31,Vida de Rico,Camilo,1.910.186,23,28,53
32,Wonder,Shawn Mendes,1.875.730,12,29,43
33,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.827.975,19,33,144
34,Take You Dancing,Jason Derulo,1.827.582,26,36,103
35,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,1.795.795,9,34,113
36,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,1.790.501,1,41,155
37,Jeans,Justin Quiles,1.779.846,31,38,78
38,Una Locura,Ozuna; J Balvin; Chencho Corleone,1.771.534,30,37,67
39,Mi Niña,Wisin; Myke Towers; Los Legendarios,1.762.597,39,40,40
40,Drankin N Smokin,Future; Lil Uzi Vert,1.734.614,40,—,1
41,Parce (feat. Justin Quiles),Maluma; Lenny Tavárez; Justin Quiles,1.734.552,35,39,85
42,Roses - Imanbek Remix,SAINt JHN; Imanbek,1.725.163,2,43,324
43,Midnight Sky,Miley Cyrus,1.700.236,10,44,92
44,Dance Monkey,Tones And I,1.690.872,1,45,485
45,Stripes Like Burberry,Future; Lil Uzi Vert,1.669.116,45,—,1
46,Before You Go,Lewis Capaldi,1.660.983,17,42,360
47,Breaking Me,Topic; A7S,1.644.356,6,48,238
48,Chica Ideal,Sebastian Yatra; Guaynaa,1.593.411,48,51,22
49,Golden,Harry Styles,1.577.968,21,50,19
50,Ay DiOs Mío!,KAROL G,1.577.381,12,46,124
51,Tú Me Dejaste De Querer,C. Tangana; Niño de Elche; La Húngara,1.560.174,31,52,8
52,Sofia,Clairo,1.558.429,47,47,41
53,SO DONE,The Kid LAROI,1.528.057,40,49,22
54,Despeinada,Ozuna; Camilo,1.459.250,33,54,71
