Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,5.294.768,1,1,91
2,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,4.931.377,2,2,35
3,Blinding Lights,The Weeknd,4.370.035,1,3,231
4,Come & Go (with Marshmello),Juice WRLD; Marshmello,3.977.659,2,4,8
5,Watermelon Sugar,Harry Styles,3.799.695,5,5,243
6,Roses - Imanbek Remix,SAINt JHN; Imanbek,3.608.225,2,6,204
7,Wishing Well,Juice WRLD,3.540.165,6,7,7
8,Breaking Me,Topic; A7S,2.921.877,8,8,118
9,Party Girl (Remix),StaySolidRocky; Lil Uzi Vert,2.826.477,9,9,2
10,death bed (coffee for your head),Powfu; beabadoobee,2.783.391,4,10,154
11,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,2.711.594,1,11,56
12,Dance Monkey,Tones And I,2.533.227,1,14,365
13,How You Like That,BLACKPINK,2.516.021,2,13,21
14,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,2.467.828,9,15,112
15,Life's A Mess (feat. Halsey),Juice WRLD; Halsey,2.460.117,3,12,10
16,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,2.420.771,16,16,62
17,Toosie Slide,Drake,2.404.913,1,17,105
18,Don't Start Now,Dua Lipa,2.375.753,2,18,259
19,Break My Heart,Dua Lipa,2.333.893,6,19,113
20,Blueberry Faygo,Lil Mosey,2.282.988,8,20,161
21,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,2.224.176,17,22,90
22,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD; Marshmello; The Kid LAROI; Polo G,2.151.024,7,25,7
23,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,2.132.936,1,24,70
24,Relación,Sech,2.101.578,24,26,70
25,Conversations,Juice WRLD,2.062.678,4,21,7
26,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,2.056.787,23,28,23
27,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,2.052.768,8,27,50
28,Someone You Loved,Lewis Capaldi,2.034.235,4,29,551
29,Righteous,Juice WRLD,2.021.313,7,23,84
30,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke; 50 Cent; Roddy Ricch,1.991.048,12,30,14
31,Supalonely,BENEE; Gus Dapperton,1.925.805,10,31,135
32,Caramelo,Ozuna,1.925.651,31,32,35
33,Before You Go,Lewis Capaldi,1.855.421,17,33,240
34,Intentions (feat. Quavo),Justin Bieber; Quavo,1.811.849,4,34,161
35,The Box,Roddy Ricch,1.787.289,1,35,218
36,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,1.718.692,9,37,14
37,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,1.642.456,37,45,7
38,THE SCOTTS,THE SCOTTS; Travis Scott; Kid Cudi,1.639.670,1,38,84
39,Blood On My Jeans,Juice WRLD,1.612.842,13,36,7
40,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.601.939,40,40,24
41,Sunday Best,Surfaces,1.601.424,12,39,181
42,Circles,Post Malone,1.564.842,1,41,322
43,Be Kind (with Halsey),Marshmello; Halsey,1.564.671,19,43,77
44,Say So,Doja Cat,1.540.695,5,42,204
45,Kings & Queens,Ava Max,1.502.920,37,49,109
46,In Your Eyes,The Weeknd,1.497.203,4,47,119
47,goosebumps,Travis Scott,1.458.864,10,50,204
48,Tusa,KAROL G; Nicki Minaj,1.454.274,3,51,252
49,Señorita,Shawn Mendes; Camila Cabello,1.417.844,1,55,392
50,Savage Remix (feat. Beyoncé),Megan Thee Stallion; Beyoncé,1.410.528,11,53,79
51,Adore You,Harry Styles,1.406.303,3,56,224
52,Falling,Trevor Daniel,1.406.270,5,54,243
53,Titanic,Juice WRLD,1.395.554,9,44,7
54,Djadja (feat. Maluma) - Remix,Aya Nakamura; Maluma,1.383.510,54,57,21
55,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,1.376.314,2,58,301
56,Stay High,Juice WRLD,1.370.060,21,48,7
57,Go Crazy,Chris Brown; Young Thug,1.363.425,57,63,53
58,Hasta Que Dios Diga,Anuel AA; Bad Bunny,1.360.844,23,62,49
59,Play Date,Melanie Martinez,1.351.115,27,59,82
60,Bad Energy,Juice WRLD,1.349.847,11,46,7
61,GOOBA,6ix9ine,1.316.501,2,64,70
62,Lucid Dreams,Juice WRLD,1.298.546,2,66,796
63,HIGHEST IN THE ROOM,Travis Scott,1.296.060,1,67,287
64,Rags2Riches (feat. ATR Son Son),Rod Wave; ATR Son Son,1.287.265,64,69,9
65,Agua (with J Balvin),Tainy; J Balvin,1.280.336,65,98,7
66,Tell Me U Luv Me (with Trippie Redd),Juice WRLD; Trippie Redd,1.268.578,15,52,7
67,Lose Somebody,Kygo; OneRepublic,1.256.859,30,68,63
68,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.248.525,1,70,638
69,bad guy,Billie Eilish,1.247.516,1,71,476
70,Stunnin' (feat. Harm Franklin),Curtis Waters; Harm Franklin,1.242.210,70,73,27
71,Up Up And Away,Juice WRLD,1.237.227,24,61,7
72,SICKO MODE,Travis Scott,1.225.181,2,72,204
73,Elegí (feat. Dímelo Flow),Rauw Alejandro; Dalex; Lenny Tavárez; Dímelo Flow,1.212.809,53,74,105
74,Fighting Demons,Juice WRLD,1.212.450,17,60,7
75,Man Of The Year,Juice WRLD,1.208.956,31,65,7
76,Life Is Good (feat. Drake),Future; Drake,1.207.816,3,77,189
77,ROXANNE,Arizona Zervas,1.207.391,2,81,263
78,Dior,Pop Smoke,1.201.465,34,75,44
79,Safaera,Bad Bunny; Jowell & Randy; Ñengo Flow,1.199.557,7,76,62
80,Chicago Freestyle (feat. Giveon),Drake; Giveon,1.191.314,8,78,77
81,WHATS POPPIN,Jack Harlow,1.191.246,23,80,165
82,Ride It,Regard,1.188.603,12,85,315
83,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah; Shaggy; DJ Fle,1.167.561,66,88,35
84,Secrets,Regard; RAYE,1.166.263,59,91,42
85,Favorito,Camilo,1.165.181,28,86,103
86,After Party,Don Toliver,1.162.018,40,82,91
87,Azul,J Balvin,1.151.543,37,87,119
88,Yo Perreo Sola,Bad Bunny,1.149.772,16,90,139
89,PORFA Remix ( Feat. Maluma Nicky Jam Sech) - Remix,Feid; J Balvin; Maluma; Nicky Jam; Sech; Justin Quiles,1.121.025,84,93,20
90,We Paid (feat. 42 Dugg),Lil Baby; 42 Dugg,1.111.648,61,95,26
91,Robbery,Juice WRLD,1.111.085,11,92,222
92,Rojo,J Balvin,1.108.732,14,94,140
93,If the World Was Ending (feat. Julia Michaels),JP Saxe; Julia Michaels,1.102.434,37,96,204
94,Tak Tiki Tak,Harry Nach,1.099.537,69,100,44
95,GO (feat. Juice WRLD),The Kid LAROI; Juice WRLD,1.096.040,54,97,35
96,Can't Die,Juice WRLD,1.081.865,28,84,7
97,lovely (with Khalid),Billie Eilish; Khalid,1.080.622,19,101,816
98,Screw Juice,Juice WRLD,1.073.667,19,79,7
99,everything i wanted,Billie Eilish,1.067.241,1,102,246
100,Got It On Me,Pop Smoke,1.064.232,36,99,14
101,I Want It,Juice WRLD,1.037.470,18,83,7
102,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,1.030.862,3,103,182
103,Rover (feat. DTG),S1mba; DTG,1.028.019,69,104,54
104,Some Say - Felix Jaehn Remix,Nea; Felix Jaehn,1.022.413,72,107,35
105,Shallow,Lady Gaga; Bradley Cooper,1.012.970,2,105,658
106,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,1.002.930,1,106,434
107,Boss Bitch,Doja Cat,982.516,18,109,137
108,Mariposa,Peach Tree Rascals,973.740,108,110,26
109,hot girl bummer,blackbear,963.785,9,113,329
110,Are You Bored Yet? (feat. Clairo),Wallows; Clairo,961.793,96,108,26
111,CÓMO SE SIENTE - Remix,Jhayco; Bad Bunny,949.792,21,111,68
112,Believer,Imagine Dragons,942.939,15,114,204
113,Physical,Dua Lipa,935.789,8,116,120
114,Lose Control,MEDUZA; Becky Hill; Goodboys,905.620,27,119,273
115,Walk Em Down (feat. Roddy Ricch),NLE Choppa; Roddy Ricch,901.577,48,115,119
116,Ego Death (feat. Kanye West FKA twigs & Skrillex),Ty Dolla $ign; FKA twigs; Skrillex; Kanye West,892.026,61,120,14
117,Bläulich,Apache 207,881.193,45,117,14
118,Jocelyn Flores,XXXTENTACION,877.922,2,121,181
119,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,865.910,3,126,385
120,rockstar (feat. 21 Savage),Post Malone; 21 Savage,860.453,1,128,204
121,PORFA,Feid; Justin Quiles,858.611,51,123,104
122,Falling,Harry Styles,857.419,18,124,150
123,7 rings,Ariana Grande,853.196,1,127,546
124,SAD!,XXXTENTACION,851.770,1,129,204
125,Tattoo,Rauw Alejandro,846.257,41,122,147
126,you broke me first,Tate McRae,840.574,126,136,6
127,The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi; Eminem,839.054,26,118,7
128,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna; Young Thug,834.692,53,132,44
129,The Bigger Picture,Lil Baby,826.759,38,130,35
130,Sour Candy (with BLACKPINK),Lady Gaga; BLACKPINK,825.914,2,131,50
131,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,825.226,6,134,276
132,Your eyes tell,BTS,822.187,89,89,3
133,Past Life (with Selena Gomez),Trevor Daniel; Selena Gomez,819.431,90,133,21
134,Shape of You,Ed Sheeran,814.139,1,138,204
135,Say You Won't Let Go,James Arthur,810.286,7,142,204
136,Happier,Marshmello; Bastille,808.670,2,139,700
137,Head & Heart (feat. MNEK),Joel Corry; MNEK,808.032,137,150,4
138,when the party's over,Billie Eilish,802.958,7,143,639
139,Bohemian Rhapsody - Remastered 2011,Queen,789.124,10,147,646
140,Flex (feat. Juice WRLD),Polo G; Juice WRLD,788.287,75,140,63
141,Amarillo,J Balvin,784.883,17,145,119
142,All Girls Are The Same,Juice WRLD,784.691,22,137,12
143,Perfect,Ed Sheeran,782.085,3,148,204
144,Stay Gold,BTS,782.060,25,112,3
145,Bandit (with YoungBoy Never Broke Again),Juice WRLD; YoungBoy Never Broke Again,780.655,6,141,287
146,El Efecto,Rauw Alejandro; Chencho Corleone,772.402,91,149,72
147,Ransom,Lil Tecca,767.282,3,152,410
148,Desce Pro Play (PA PA PA),ZAAC; Anitta; Tyga,764.348,95,151,21
149,Reggaetonera,Anuel AA,750.250,72,146,22
150,Savage,Megan Thee Stallion,750.038,15,160,120
151,Without Me,Halsey,747.385,3,158,204
152,Skechers,DripReport,744.504,32,154,124
153,PAM,Justin Quiles; Daddy Yankee; El Alfa,743.994,101,153,64
154,OUT WEST (feat. Young Thug),JACKBOYS; Travis Scott; Young Thug,742.607,11,156,203
155,Ballin' (with Roddy Ricch),Mustard; Roddy Ricch,741.757,35,157,284
156,Jangueo,Alex Rose; Rafa Pabön,738.450,113,159,127
157,TROLLZ (with Nicki Minaj),6ix9ine; Nicki Minaj,738.406,25,155,35
158,Ay DiOs Mío!,KAROL G,729.465,158,161,4
159,Alane,Robin Schulz; Wes,714.253,158,172,8
160,All of Me,John Legend,709.501,77,165,48
161,Diosa,Myke Towers,707.863,49,166,153
162,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,707.725,5,169,5
163,Morado,J Balvin,704.830,27,162,189
164,El Mismo Aire - con Pablo Alborán,Camilo; Pablo Alborán,703.184,164,173,4
165,La Difícil,Bad Bunny,702.868,4,163,139
166,Moonlight,XXXTENTACION,697.265,2,171,5
167,It's You,Ali Gatie,695.791,27,174,5
168,High Fashion (feat. Mustard),Roddy Ricch; Mustard,692.250,26,164,189
169,Bruises,Lewis Capaldi,689.144,53,175,5
170,Youngblood,5 Seconds of Summer,682.521,6,181,5
171,Be Like That - feat. Swae Lee & Khalid,Kane Brown; Swae Lee; Khalid,679.659,92,189,2
172,Get You The Moon (feat. Snøw),Kina; Snøw,679.480,90,179,5
173,Something Just Like This,The Chainsmokers; Coldplay,678.427,2,184,5
174,21,Polo G,677.879,145,167,4
175,Yummy,Justin Bieber,677.641,2,176,196
176,Ignorantes,Bad Bunny; Sech,675.190,4,177,154
177,This City,Sam Fischer,673.922,95,185,4
178,The Less I Know The Better,Tame Impala,672.518,139,183,125
179,Like That (feat. Gucci Mane),Doja Cat; Gucci Mane,671.591,70,187,5
180,Gangstas,Pop Smoke,670.672,26,170,14
181,Wash Us In The Blood,Kanye West; Travis Scott,669.857,26,168,17
182,Sweet but Psycho,Ava Max,669.338,5,186,11
183,Riptide,Vance Joy,668.894,163,188,27
184,Goodbyes (feat. Young Thug),Post Malone; Young Thug,665.520,2,191,4
185,Tiefschwarz (feat. Samra),Kontra K; Samra,665.457,88,144,7
186,Be Alright,Dean Lewis,665.249,12,190,4
187,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,665.165,2,194,469
188,Never Let Me Down,VIZE; Tom Gregory,663.580,181,193,2
189,China,Anuel AA; Daddy Yankee; KAROL G; Ozuna; J Balvin,663.471,2,125,364
190,Lose You To Love Me,Selena Gomez,660.544,1,—,1
191,July,Noah Cyrus,655.764,75,196,4
192,Como Llora,Juanfran,654.532,180,—,1
193,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,653.903,56,182,14
194,thank u next,Ariana Grande,653.900,1,—,1
195,BOP,DaBaby,653.796,21,195,294
196,Lalala,Y2K; bbno$,653.289,4,198,2
197,Wow.,Post Malone,650.903,1,—,1
198,Hola - Remix,Dalex; Lenny Tavárez; Chencho Corleone; Juhn; Dímelo Flow,650.834,28,199,247
199,Sigues Con El,Arcángel; Sech; Dímelo Flow,650.319,19,197,3
200,Closer,The Chainsmokers; Halsey,650.171,2,—,1
