Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,cardigan,Taylor Swift,5.621.828,1,1,2
2,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,5.077.575,1,6,100
3,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,4.990.156,2,7,44
4,exile (feat. Bon Iver),Taylor Swift; Bon Iver,4.872.836,3,3,2
5,the 1,Taylor Swift,4.701.104,2,2,2
6,Blinding Lights,The Weeknd,4.396.701,1,11,240
7,Watermelon Sugar,Harry Styles,3.915.922,4,15,252
8,the last great american dynasty,Taylor Swift,3.806.266,4,4,2
9,my tears ricochet,Taylor Swift,3.743.407,5,5,2
10,Roses - Imanbek Remix,SAINt JHN; Imanbek,3.591.992,2,18,213
11,august,Taylor Swift,3.428.555,9,9,2
12,mirrorball,Taylor Swift,3.270.128,8,8,2
13,seven,Taylor Swift,3.137.577,10,10,2
14,this is me trying,Taylor Swift,2.983.807,12,12,2
15,Come & Go (with Marshmello),Juice WRLD; Marshmello,2.956.942,2,21,17
16,invisible string,Taylor Swift,2.943.321,14,14,2
17,Breaking Me,Topic; A7S,2.885.165,8,24,127
18,illicit affairs,Taylor Swift,2.860.524,13,13,2
19,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,2.727.558,19,22,2
20,betty,Taylor Swift,2.685.854,17,17,2
21,Dance Monkey,Tones And I,2.620.282,1,28,374
22,Wishing Well,Juice WRLD,2.617.584,6,26,16
23,mad woman,Taylor Swift,2.605.176,16,16,2
24,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,2.581.230,14,30,71
25,POPSTAR (feat. Drake),DJ Khaled; Drake,2.571.556,4,25,9
26,death bed (coffee for your head),Powfu; beabadoobee,2.555.948,4,27,163
27,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,2.421.645,9,32,121
28,epiphany,Taylor Swift,2.416.549,19,19,2
29,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,2.411.320,1,31,65
30,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,2.389.534,11,29,32
31,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,2.322.320,17,34,99
32,Agua (with J Balvin),Tainy; J Balvin,2.293.470,25,33,16
33,peace,Taylor Swift,2.277.880,20,20,2
34,Don't Start Now,Dua Lipa,2.194.033,2,36,268
35,Relación,Sech,2.191.234,22,39,79
36,Caramelo,Ozuna,2.167.143,25,43,44
37,Break My Heart,Dua Lipa,2.149.137,6,41,122
38,Toosie Slide,Drake,2.142.057,1,38,114
39,How You Like That,BLACKPINK,2.124.897,2,35,30
40,Blueberry Faygo,Lil Mosey,2.122.570,8,40,170
41,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,2.118.315,28,44,16
42,Party Girl (Remix),StaySolidRocky; Lil Uzi Vert,2.115.243,10,37,9
43,hoax,Taylor Swift,2.072.185,23,23,2
44,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke; 50 Cent; Roddy Ricch,2.000.653,12,45,23
45,GREECE (feat. Drake),DJ Khaled; Drake,1.936.214,18,42,9
46,Someone You Loved,Lewis Capaldi,1.900.968,4,47,560
47,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.898.098,34,49,33
48,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,1.873.561,1,48,79
49,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,1.828.728,8,50,59
50,Supalonely,BENEE; Gus Dapperton,1.719.328,10,51,144
51,Djadja (feat. Maluma) - Remix,Aya Nakamura; Maluma,1.699.498,43,57,30
52,The Box,Roddy Ricch,1.684.342,1,52,227
53,Intentions (feat. Quavo),Justin Bieber; Quavo,1.620.742,4,58,170
54,Go Crazy,Chris Brown; Young Thug,1.611.689,42,59,62
55,Before You Go,Lewis Capaldi,1.600.366,17,54,249
56,Tusa,KAROL G; Nicki Minaj,1.591.590,3,65,261
57,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,1.544.626,9,60,23
58,Head & Heart (feat. MNEK),Joel Corry; MNEK,1.514.049,58,66,13
59,Kings & Queens,Ava Max,1.478.494,37,63,118
60,Nobody's Love,Maroon 5,1.478.286,60,61,2
61,Sunday Best,Surfaces,1.461.817,12,67,190
62,In Your Eyes,The Weeknd,1.446.300,4,69,128
63,Conversations,Juice WRLD,1.435.148,4,62,16
64,Señorita,Shawn Mendes; Camila Cabello,1.430.147,1,73,401
65,Lion King On Ice,J. Cole,1.428.849,26,46,3
66,THE SCOTTS,THE SCOTTS; Travis Scott; Kid Cudi,1.422.758,1,68,93
67,Mamichula - con Nicki Nicole,Trueno; Nicki Nicole; Bizarrap; Taiu; TATOOL,1.416.229,67,110,2
68,Circles,Post Malone,1.412.870,1,70,331
69,Only You Freestyle,Headie One; Drake,1.401.932,38,53,5
70,goosebumps,Travis Scott,1.370.343,10,75,213
71,Perfect,Logic,1.357.274,55,55,2
72,Falling,Trevor Daniel,1.349.338,5,74,252
