Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Mood (feat. iann dior),24kGoldn; iann dior,5.018.434,1,1,65
2,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,4.231.208,2,2,61
3,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,3.890.093,1,3,68
4,Dynamite,BTS,3.720.195,1,4,54
5,Hawái,Maluma,3.548.556,2,5,75
6,What You Know Bout Love,Pop Smoke,3.297.768,6,6,30
7,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,3.158.119,6,8,103
8,Blinding Lights,The Weeknd,3.130.253,1,7,320
9,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,2.960.505,4,9,26
10,Watermelon Sugar,Harry Styles,2.886.884,4,10,332
11,Head & Heart (feat. MNEK),Joel Corry; MNEK,2.605.260,11,11,93
12,you broke me first,Tate McRae,2.509.458,12,12,95
13,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,2.485.581,2,13,61
14,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,2.423.837,1,14,180
15,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,2.325.588,11,15,40
16,Heather,Conan Gray,2.293.418,11,17,84
17,Wonder,Shawn Mendes,2.292.328,12,16,12
18,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,2.251.670,1,18,124
19,Lovesick Girls,BLACKPINK,2.217.234,3,19,12
20,Dreams - 2004 Remaster,Fleetwood Mac,2.072.810,17,20,18
21,Put Your Records On,Ritt Momney,2.014.744,21,22,32
22,Ice Cream (with Selena Gomez),BLACKPINK; Selena Gomez,2.010.935,4,21,47
23,Roses - Imanbek Remix,SAINt JHN; Imanbek,1.938.807,2,24,293
24,Someone You Loved,Lewis Capaldi,1.919.789,4,26,640
25,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.900.193,19,23,113
26,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,1.883.341,9,28,82
27,Vida de Rico,Camilo,1.878.996,23,25,22
28,Breaking Me,Topic; A7S,1.853.134,6,29,207
29,La Tóxica,Farruko,1.850.623,23,27,39
30,POPSTAR (feat. Drake),DJ Khaled; Drake,1.829.057,4,31,89
31,Take You Dancing,Jason Derulo,1.780.167,29,32,72
32,Ay DiOs Mío!,KAROL G,1.775.508,12,30,93
33,Before You Go,Lewis Capaldi,1.760.058,17,33,329
34,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,1.685.533,10,35,86
35,Dance Monkey,Tones And I,1.670.789,1,34,454
36,Se Te Nota (with Guaynaa),Lele Pons; Guaynaa,1.655.663,35,38,29
37,Despeinada,Ozuna; Camilo,1.637.681,33,36,40
38,Come & Go (with Marshmello),Juice WRLD; Marshmello,1.635.683,2,37,97
39,Midnight Sky,Miley Cyrus,1.594.740,10,42,61
40,How You Like That,BLACKPINK,1.578.656,2,39,110
41,death bed (coffee for your head),Powfu; beabadoobee,1.558.548,4,43,243
42,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,1.541.413,12,41,151
43,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,1.531.717,21,40,96
44,Una Locura,Ozuna; J Balvin; Chencho Corleone,1.501.829,37,45,36
45,Bet You Wanna (Feat. Cardi B),BLACKPINK; Cardi B,1.476.741,4,44,12
46,Mr. Right Now (feat. Drake),21 Savage; Metro Boomin; Drake,1.460.236,14,49,12
47,Don't Start Now,Dua Lipa,1.459.068,2,47,348
48,Wishing Well,Juice WRLD,1.447.729,6,46,96
49,Caramelo,Ozuna,1.386.689,15,48,124
50,Mi Cuarto,Jerry Di,1.380.729,43,50,58
51,Pretty Savage,BLACKPINK,1.333.151,8,51,12
52,my ex's best friend (with blackbear),Machine Gun Kelly; blackbear,1.315.583,36,53,68
53,Go Crazy,Chris Brown; Young Thug,1.296.310,36,55,142
54,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,1.293.819,1,56,145
55,Jeans,Justin Quiles,1.293.552,51,52,47
56,Blueberry Faygo,Lil Mosey,1.247.203,8,54,250
57,Runnin,21 Savage; Metro Boomin,1.241.719,9,63,12
58,Daisy,Ashnikko,1.239.351,58,60,29
59,Circles,Post Malone,1.236.690,1,57,411
60,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,1.225.300,1,58,159
61,Mad at Disney,salem ilese,1.183.431,40,61,40
62,Sofia,Clairo,1.171.628,62,62,10
63,Señorita,Shawn Mendes; Camila Cabello,1.165.082,1,64,481
