Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,7.090.370,1,1,22
2,Hawái,Maluma,6.368.684,2,2,29
3,Dynamite,BTS,5.450.493,1,3,8
4,Ice Cream (with Selena Gomez),BLACKPINK; Selena Gomez,5.060.036,4,—,1
5,Mood (feat. iann dior),24kGoldn; iann dior,4.655.558,4,4,19
6,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,4.281.749,1,5,78
7,Watermelon Sugar,Harry Styles,4.088.493,4,6,286
8,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,3.971.771,1,9,134
9,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,3.963.345,2,7,15
10,Blinding Lights,The Weeknd,3.941.865,1,8,274
11,Over Now (with The Weeknd),Calvin Harris; The Weeknd,3.245.686,11,—,1
12,Roses - Imanbek Remix,SAINt JHN; Imanbek,2.884.385,2,10,247
13,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,2.739.992,10,11,40
14,Breaking Me,Topic; A7S,2.720.387,6,12,161
15,Ay DiOs Mío!,KAROL G,2.621.167,15,15,47
16,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,2.608.551,9,13,36
17,Head & Heart (feat. MNEK),Joel Corry; MNEK,2.598.866,13,16,47
18,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,2.488.186,9,14,57
19,Heather,Conan Gray,2.341.392,15,17,38
20,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,2.331.421,20,20,67
21,Come & Go (with Marshmello),Juice WRLD; Marshmello,2.327.942,2,18,51
22,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,2.320.231,12,21,105
23,Caramelo,Ozuna,2.272.047,15,19,78
24,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,2.219.353,21,22,50
25,Dance Monkey,Tones And I,2.213.375,1,23,408
26,Smile (with The Weeknd),Juice WRLD; The Weeknd,2.144.829,5,24,22
27,Relación,Sech,2.063.653,21,25,113
28,Agua (with J Balvin),Tainy; J Balvin,2.042.731,16,27,50
29,How You Like That,BLACKPINK,2.035.098,2,45,64
30,death bed (coffee for your head),Powfu; beabadoobee,1.986.046,4,26,197
31,Wishing Well,Juice WRLD,1.978.507,6,28,50
32,Midnight Sky,Miley Cyrus,1.960.464,10,30,15
33,Someone You Loved,Lewis Capaldi,1.949.025,4,29,594
34,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,1.930.649,34,42,15
35,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,1.915.649,11,32,66
36,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,1.893.932,1,31,99
37,Go Crazy,Chris Brown; Young Thug,1.824.626,36,38,96
38,Before You Go,Lewis Capaldi,1.821.163,17,33,283
39,Don't Start Now,Dua Lipa,1.808.431,2,40,302
40,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,1.803.698,17,37,133
41,GREECE (feat. Drake),DJ Khaled; Drake,1.792.509,18,39,43
42,Break My Heart,Dua Lipa,1.777.868,6,35,156
43,Djadja (feat. Maluma) - Remix,Aya Nakamura; Maluma,1.747.951,33,36,64
44,you broke me first,Tate McRae,1.747.045,43,43,49
45,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,1.724.665,9,34,155
46,Blueberry Faygo,Lil Mosey,1.711.979,8,44,204
47,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke; 50 Cent; Roddy Ricch,1.694.311,12,41,57
48,Kings & Queens,Ava Max,1.619.748,37,48,152
49,Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA; Lenny Santos,1.607.059,49,49,7
50,Mamichula - con Nicki Nicole,Trueno; Nicki Nicole; Bizarrap; Taiu; TATOOL,1.586.139,33,47,36
51,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,1.570.597,1,46,113
52,Party Girl,StaySolidRocky,1.555.940,8,50,31
53,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money; Trippie Redd; Diplo; Juice WRLD,1.545.332,53,—,1
