Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,WAP (feat. Megan Thee Stallion),Cardi B; Megan Thee Stallion,5.815.149,1,1,40
2,Mood (feat. iann dior),24kGoldn; iann dior,5.656.210,2,2,37
3,Hawái,Maluma,4.669.157,2,3,47
4,Dynamite,BTS,4.085.891,1,4,26
5,Watermelon Sugar,Harry Styles,3.524.041,4,5,304
6,Blinding Lights,The Weeknd,3.496.509,1,6,292
7,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,3.432.465,7,8,33
8,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,3.368.341,1,7,96
9,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,3.224.577,1,9,152
10,Laugh Now Cry Later (feat. Lil Durk),Drake; Lil Durk,3.132.961,2,10,33
11,For The Night (feat. Lil Baby & DaBaby),Pop Smoke; Lil Baby; DaBaby,2.919.495,9,11,75
12,Head & Heart (feat. MNEK),Joel Corry; MNEK,2.693.378,12,13,65
13,Heather,Conan Gray,2.673.382,11,12,56
14,POPSTAR (feat. Drake),DJ Khaled; Drake,2.673.043,4,14,61
15,you broke me first,Tate McRae,2.582.914,15,15,67
16,Ice Cream (with Selena Gomez),BLACKPINK; Selena Gomez,2.448.005,4,16,19
17,Roses - Imanbek Remix,SAINt JHN; Imanbek,2.428.321,2,18,265
18,Breaking Me,Topic; A7S,2.424.165,6,17,179
19,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,2.347.062,10,19,58
20,Ay DiOs Mío!,KAROL G,2.242.759,12,20,65
21,UN DIA (ONE DAY) (Feat. Tainy),J Balvin; Dua Lipa; Bad Bunny; Tainy,2.155.980,9,21,54
22,Relación - Remix,Sech; Daddy Yankee; J Balvin; ROSALÍA; Farruko,2.053.149,22,22,12
23,Come & Go (with Marshmello),Juice WRLD; Marshmello,2.024.785,2,23,69
24,La Curiosidad,Jay Wheeler; DJ Nelson; Myke Towers,1.958.281,19,24,85
25,Someone You Loved,Lewis Capaldi,1.896.333,4,25,612
26,Dance Monkey,Tones And I,1.886.667,1,26,426
27,Midnight Sky,Miley Cyrus,1.876.946,10,27,33
28,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,1.807.771,12,28,123
29,Caramelo,Ozuna,1.803.160,15,29,96
30,Before You Go,Lewis Capaldi,1.801.182,17,31,301
31,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,1.784.367,1,32,117
32,Tattoo - Remix with Camilo,Rauw Alejandro; Camilo,1.782.732,21,30,68
33,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,1.758.556,11,37,84
34,Wishing Well,Juice WRLD,1.712.161,6,33,68
35,Take You Dancing,Jason Derulo,1.692.745,33,35,44
36,Go Crazy,Chris Brown; Young Thug,1.683.966,36,36,114
37,death bed (coffee for your head),Powfu; beabadoobee,1.676.180,4,34,215
38,Smile (with The Weeknd),Juice WRLD; The Weeknd,1.560.696,5,38,40
