Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Blinding Lights,The Weeknd,6.846.509,1,1,121
2,Don't Start Now,Dua Lipa,5.693.807,2,2,149
3,The Box,Roddy Ricch,4.578.685,1,3,108
4,Dance Monkey,Tones And I,4.518.077,1,4,255
5,Roses - Imanbek Remix,SAINt JHN; Imanbek,4.360.434,5,5,94
6,death bed (coffee for your head),Powfu; beabadoobee,3.695.747,6,7,44
7,Break My Heart,Dua Lipa,3.688.979,6,6,3
8,Say So,Doja Cat,3.545.896,5,9,94
9,Safaera,Bad Bunny; Jowell & Randy; Ñengo Flow,3.516.331,7,12,29
10,Physical,Dua Lipa,3.469.416,8,8,10
11,Intentions (feat. Quavo),Justin Bieber; Quavo,3.394.535,4,10,51
12,Falling,Trevor Daniel,3.060.862,5,13,133
13,In Your Eyes,The Weeknd,3.040.234,4,11,9
14,Blueberry Faygo,Lil Mosey,2.988.417,14,14,51
15,Tusa,KAROL G; Nicki Minaj,2.836.616,3,19,142
16,Sunday Best,Surfaces,2.825.662,12,15,71
17,ROXANNE,Arizona Zervas,2.689.606,2,18,153
18,Supalonely,BENEE; Gus Dapperton,2.600.997,16,20,25
19,Rojo,J Balvin,2.502.933,14,21,30
20,La Difícil,Bad Bunny,2.434.782,4,24,29
21,Someone You Loved,Lewis Capaldi,2.378.337,4,22,441
22,Circles,Post Malone,2.342.054,1,23,212
23,BELIEVE IT,PARTYNEXTDOOR; Rihanna,2.203.203,16,16,2
24,Turks (feat. Travis Scott),NAV; Gunna; Travis Scott,2.201.499,17,17,2
25,Yo Perreo Sola,Bad Bunny,2.162.536,17,52,29
26,Si Veo a Tu Mamá,Bad Bunny,2.158.215,6,29,29
27,Adore You,Harry Styles,2.121.837,3,26,114
28,After Hours,The Weeknd,2.094.619,4,25,39
29,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,2.078.614,2,28,191
30,Ignorantes,Bad Bunny; Sech,2.036.353,4,30,44
31,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,1.982.520,3,27,72
32,Savage,Megan Thee Stallion,1.921.383,32,33,10
33,bad guy,Billie Eilish,1.901.148,1,34,366
34,Amarillo,J Balvin,1.834.389,17,36,9
35,Morado,J Balvin,1.809.610,27,40,79
36,Life Is Good (feat. Drake),Future; Drake,1.807.617,3,38,79
37,everything i wanted,Billie Eilish,1.766.563,1,39,136
38,Before You Go,Lewis Capaldi,1.741.524,17,42,130
39,Señorita,Shawn Mendes; Camila Cabello,1.720.758,1,44,282
40,Yummy,Justin Bieber,1.704.142,2,41,86
41,Boss Bitch,Doja Cat,1.679.400,41,47,27
42,WHATS POPPIN,Jack Harlow,1.632.984,34,46,55
43,Levitating,Dua Lipa,1.591.948,35,35,2
44,Hallucinate,Dua Lipa,1.546.119,32,32,2
45,Sigues Con El,Arcángel; Sech; Dímelo Flow,1.545.786,19,50,102
46,La Santa,Bad Bunny; Daddy Yankee,1.515.196,10,53,29
47,Tattoo,Rauw Alejandro,1.493.741,43,51,37
48,Vete,Bad Bunny,1.475.567,6,56,129
49,Heartless,The Weeknd,1.452.296,2,48,123
50,Like It Is,Kygo; Zara Larsson; Tyga,1.450.261,45,45,2
51,Future Nostalgia,Dua Lipa,1.438.469,31,31,2
52,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,1.434.211,6,59,166
53,Cool,Dua Lipa,1.419.508,37,37,2
54,Ride It,Regard,1.387.070,12,60,205
55,Pretty Please,Dua Lipa,1.386.046,43,43,2
56,You should be sad,Halsey,1.377.350,16,57,79
57,My Oh My (feat. DaBaby),Camila Cabello; DaBaby,1.365.989,14,54,114
58,Love Again,Dua Lipa,1.327.201,49,49,2
59,Lose Control,MEDUZA; Becky Hill; Goodboys,1.320.785,27,62,163
60,Diosa,Myke Towers,1.288.590,49,72,43
61,High Fashion (feat. Mustard),Roddy Ricch; Mustard,1.285.914,26,63,79
62,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,1.268.146,1,73,324
63,lovely (with Khalid),Billie Eilish; Khalid,1.264.243,19,67,706
64,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.261.576,1,70,528
65,CITY OF ANGELS,24kGoldn,1.259.118,52,65,37
66,Stupid Love,Lady Gaga,1.256.439,6,69,30
67,Moral of the Story,Ashe,1.232.518,33,64,38
