Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,5.312.739,1,1,75
2,Savage Love (Laxed - Siren Beat),Jawsh 685; Jason Derulo,4.502.284,2,2,19
3,Blinding Lights,The Weeknd,4.500.705,1,3,215
4,How You Like That,BLACKPINK,4.006.904,2,4,5
5,Roses - Imanbek Remix,SAINt JHN; Imanbek,3.822.399,2,5,188
6,Watermelon Sugar,Harry Styles,3.461.155,5,6,227
7,death bed (coffee for your head),Powfu; beabadoobee,3.124.550,4,7,138
8,Rain On Me (with Ariana Grande),Lady Gaga; Ariana Grande,3.016.202,1,8,40
9,Toosie Slide,Drake,2.884.675,1,9,89
10,Party Girl,StaySolidRocky,2.656.617,8,10,61
11,Dance Monkey,Tones And I,2.645.411,1,11,349
12,Breaking Me,Topic; A7S,2.590.601,12,14,102
13,ily (i love you baby) (feat. Emilee),Surf Mesa; Emilee,2.590.433,9,12,96
14,Don't Start Now,Dua Lipa,2.583.227,2,13,243
15,Break My Heart,Dua Lipa,2.524.572,6,15,97
16,Blueberry Faygo,Lil Mosey,2.402.312,8,16,145
17,Stuck with U (with Justin Bieber),Ariana Grande; Justin Bieber,2.218.622,1,17,54
18,Supalonely,BENEE; Gus Dapperton,2.146.244,10,18,119
19,The Box,Roddy Ricch,2.135.327,1,19,202
20,MAMACITA,Black Eyed Peas; Ozuna; J. Rey Soul,2.085.692,17,20,74
21,THE SCOTTS,THE SCOTTS; Travis Scott; Kid Cudi,2.047.773,1,21,68
22,Someone You Loved,Lewis Capaldi,2.043.475,4,22,535
23,WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix,Jack Harlow; Tory Lanez; DaBaby; Lil Wayne,1.979.360,23,24,7
24,Intentions (feat. Quavo),Justin Bieber; Quavo,1.949.733,4,23,145
25,La Jeepeta - Remix,Nio Garcia; Anuel AA; Myke Towers; Brray; Juanka,1.931.549,22,25,46
26,GOOBA,6ix9ine,1.829.026,2,26,54
27,Before You Go,Lewis Capaldi,1.813.866,17,31,224
28,Say So,Doja Cat,1.779.399,5,27,188
29,Relación,Sech,1.764.255,27,30,54
30,TKN (feat. Travis Scott),ROSALÍA; Travis Scott,1.741.651,8,33,34
31,Wash Us In The Blood,Kanye West; Travis Scott,1.740.720,31,—,1
32,Falling,Trevor Daniel,1.739.155,5,29,227
33,Sunday Best,Surfaces,1.728.569,12,28,165
34,Savage Remix (feat. Beyoncé),Megan Thee Stallion; Beyoncé,1.683.286,11,32,63
35,Circles,Post Malone,1.641.573,1,34,306
36,In Your Eyes,The Weeknd,1.629.229,4,35,103
37,Play Date,Melanie Martinez,1.590.466,27,36,66
38,goosebumps,Travis Scott,1.562.494,10,37,188
39,Hasta Que Dios Diga,Anuel AA; Bad Bunny,1.559.501,23,40,33
40,Be Kind (with Halsey),Marshmello; Halsey,1.556.617,19,39,61
41,Tusa,KAROL G; Nicki Minaj,1.537.282,3,38,236
42,Kings & Queens,Ava Max,1.500.860,37,42,93
43,Adore You,Harry Styles,1.500.154,3,41,208
44,Lose Somebody,Kygo; OneRepublic,1.495.617,30,43,47
45,Señorita,Shawn Mendes; Camila Cabello,1.475.652,1,44,376
46,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,1.431.183,2,45,285
47,Caramelo,Ozuna,1.422.539,47,48,19
48,Yo Perreo Sola,Bad Bunny,1.419.229,16,46,123
49,HIGHEST IN THE ROOM,Travis Scott,1.404.252,1,47,271
50,Safaera,Bad Bunny; Jowell & Randy; Ñengo Flow,1.334.096,7,50,46
51,Sour Candy (with BLACKPINK),Lady Gaga; BLACKPINK,1.303.454,2,49,34
52,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1.282.709,1,54,622
53,bad guy,Billie Eilish,1.280.896,1,55,460
54,SICKO MODE,Travis Scott,1.279.984,2,52,188
55,WHATS POPPIN,Jack Harlow,1.276.077,23,51,149
56,Life Is Good (feat. Drake),Future; Drake,1.271.097,3,53,173
57,ROXANNE,Arizona Zervas,1.250.045,2,56,247
