Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Dance Monkey,Tones And I,6.714.648,1,2,213
2,The Box,Roddy Ricch,6.390.573,1,3,66
3,Blinding Lights,The Weeknd,6.002.927,3,4,79
4,No Time To Die,Billie Eilish,5.218.837,1,1,2
5,Intentions (feat. Quavo),Justin Bieber; Quavo,5.038.460,5,5,9
6,Don't Start Now,Dua Lipa,4.852.415,4,6,107
7,Tusa,KAROL G; Nicki Minaj,4.749.359,3,8,100
8,Yummy,Justin Bieber,4.571.117,2,7,44
9,Falling,Trevor Daniel,4.229.767,5,9,91
10,ROXANNE,Arizona Zervas,4.053.589,2,10,111
11,Life Is Good (feat. Drake),Future; Drake,3.708.762,3,11,37
12,everything i wanted,Billie Eilish,3.442.762,1,13,94
13,Forever (feat. Post Malone & Clever),Justin Bieber; Post Malone; Clever,3.122.761,12,12,2
14,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,3.055.232,3,14,30
15,Circles,Post Malone,3.022.172,1,15,170
16,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,2.897.320,2,16,149
17,Someone You Loved,Lewis Capaldi,2.780.709,4,17,399
18,bad guy,Billie Eilish,2.729.150,1,19,324
19,Ignorantes,Bad Bunny; Sech,2.678.457,18,18,2
20,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,2.617.101,6,21,124
21,Señorita,Shawn Mendes; Camila Cabello,2.482.502,1,22,240
22,Say So,Doja Cat,2.311.011,21,25,52
23,Sigues Con El,Arcángel; Sech; Dímelo Flow,2.301.140,19,28,60
24,My Oh My (feat. DaBaby),Camila Cabello; DaBaby,2.273.652,14,26,72
25,Adore You,Harry Styles,2.250.108,3,23,72
26,Before You Go,Lewis Capaldi,2.168.566,17,27,88
27,You should be sad,Halsey,2.145.631,16,29,37
28,Physical,Dua Lipa,2.082.923,17,31,16
29,Roses - Imanbek Remix,SAINt JHN; Imanbek,2.018.431,29,34,52
30,Vete,Bad Bunny,2.005.392,6,35,87
31,Hola - Remix,Dalex; Lenny Tavárez; Chencho Corleone; Juhn; Dímelo Flow,1.924.003,28,40,95
32,Ride It,Regard,1.911.292,12,39,163
