Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Shape of You,Ed Sheeran,7.058.537,1,1,18
2,Paris,The Chainsmokers,3.845.754,2,2,11
3,Castle on the Hill,Ed Sheeran,3.487.635,2,3,18
4,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,3.220.708,4,5,23
5,Starboy,The Weeknd; Daft Punk,3.134.154,1,4,23
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,3.062.127,3,6,23
7,Say You Won't Let Go,James Arthur,2.649.878,7,8,23
8,Closer,The Chainsmokers; Halsey,2.621.619,2,7,23
9,I Feel It Coming,The Weeknd; Daft Punk,2.498.506,7,10,23
10,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,2.436.688,5,11,23
11,Fake Love,Drake,2.367.866,6,9,23
12,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,2.187.582,12,13,23
13,Despacito,Luis Fonsi; Daddy Yankee,2.162.256,13,19,10
14,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,2.144.280,11,12,23
15,Let Me Love You,DJ Snake; Justin Bieber,2.092.355,3,15,23
16,Chantaje (feat. Maluma),Shakira; Maluma,2.069.169,11,14,23
17,Just Hold On,Steve Aoki; Louis Tomlinson,2.056.477,15,16,23
18,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,2.045.642,18,18,23
19,24K Magic,Bruno Mars,1.969.037,7,17,23
20,How Far I'll Go - From "Moana",Alessia Cara,1.716.988,20,21,23
21,Side To Side,Ariana Grande; Nicki Minaj,1.640.716,17,23,23
22,One Dance,Drake; Wizkid; Kyla,1.634.004,5,22,23
23,Black Beatles,Rae Sremmurd; Gucci Mane,1.630.867,9,20,23
24,All Night,The Vamps; Matoma,1.614.201,24,25,23
25,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,1.608.039,14,24,23
26,Mercy,Shawn Mendes,1.596.315,21,26,23
27,In the Name of Love,Martin Garrix; Bebe Rexha,1.539.526,14,27,23
28,Hear Me Now,Alok; Zeeba; Bruno Martini,1.530.359,27,28,23
29,Now and Later,Sage The Gemini,1.473.227,29,29,23
30,Solo Dance,Martin Jensen,1.433.329,30,30,23
31,Shed a Light,Robin Schulz; David Guetta; Cheat Codes,1.431.988,29,31,23
32,Love Me Now,John Legend,1.398.391,30,34,23
33,I Would Like,Zara Larsson,1.396.916,28,32,23
34,Scars To Your Beautiful,Alessia Cara,1.392.318,27,33,23
35,Starving,Hailee Steinfeld; Grey; Zedd,1.372.887,20,35,23
36,My Way,Calvin Harris,1.359.370,23,36,23
37,By Your Side,Jonas Blue; RAYE,1.325.778,31,38,23
38,All Time Low,Jon Bellion,1.288.589,38,39,23
39,Reggaetón Lento (Bailemos),CNCO,1.287.615,30,37,23
40,All We Know,The Chainsmokers; Phoebe Ryan,1.275.121,22,40,23
41,Bounce Back,Big Sean,1.229.300,41,42,23
42,Heathens,Twenty One Pilots,1.222.139,25,41,23
43,Alone,Alan Walker,1.204.640,37,43,23
44,Treat You Better,Shawn Mendes,1.171.595,21,44,23
45,Caroline,Aminé,1.107.212,41,45,23
46,Don't Let Me Down,The Chainsmokers; Daya,1.085.382,20,46,23
47,Weak,AJR,1.049.262,47,50,23
48,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth; Selena Gomez,1.029.558,39,49,23
49,Safari,J Balvin; Pharrell Williams; BIA; Sky Rompiendo,1.028.095,33,47,23
50,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),Justin Timberlake,995.122,19,48,23
51,Don't Leave,Snakehips; MØ,985.654,51,51,18
52,iSpy (feat. Lil Yachty),KYLE; Lil Yachty,905.825,52,59,23
53,Water Under the Bridge,Adele,905.385,53,58,23
54,Make Me (Cry),Noah Cyrus; Labrinth,904.806,52,55,23
55,Human,Rag'n'Bone Man,892.315,51,54,23
56,Sunset Lover,Petit Biscuit,872.710,55,57,23
57,Photograph,Ed Sheeran,864.883,40,61,23
58,Otra vez (feat. J Balvin),Zion & Lennox; J Balvin,862.798,47,52,23
59,Lot to Learn,Luke Christopher,857.286,59,60,23
60,The Greatest (feat. Kendrick Lamar),Sia; Kendrick Lamar,849.271,46,56,23
61,Party Monster,The Weeknd,844.648,53,62,23
62,Issues,Julia Michaels,827.687,62,70,7
63,Broccoli (feat. Lil Yachty),DRAM; Lil Yachty,813.956,31,53,23
64,Sexual,NEIKED; Dyo,801.344,51,64,23
65,I Got You,Bebe Rexha,798.348,61,65,23
66,Vente Pa' Ca (feat. Maluma),Ricky Martin; Maluma,763.067,37,63,23
67,Touch,Little Mix,748.889,67,72,22
68,I Took A Pill In Ibiza - Seeb Remix,Mike Posner; Seeb,747.997,32,66,23
69,The Mack,Nevada; Mark Morrison; Fetty Wap,744.346,36,74,23
70,It's Gotta Be You,Isaiah Firebrace,740.504,69,69,21
71,El Amante,Nicky Jam,739.495,71,102,4
72,Cheap Thrills,Sia,738.592,27,67,23
73,Redbone,Childish Gambino,736.427,67,73,23
74,Deja Vu,J. Cole,718.770,54,84,23
75,Thinking out Loud,Ed Sheeran,714.905,54,79,23
76,Perfect Strangers,Jonas Blue; JP Cooper,707.381,52,75,23
77,Ride,Twenty One Pilots,698.351,55,68,23
78,You Don't Know Me (feat. RAYE),Jax Jones; RAYE,693.097,78,105,15
79,Lighthouse - Andrelli Remix,Hearts & Colors; Andrelli,692.657,68,85,23
80,This Is What You Came For,Calvin Harris; Rihanna,689.106,34,78,23
81,T-Shirt,Migos,687.440,80,88,10
82,i hate u i love u (feat. olivia o'brien),gnash; Olivia O'Brien,687.091,62,83,23
83,Faded,Alan Walker,680.648,67,80,23
84,Stressed Out,Twenty One Pilots,677.948,63,77,23
85,X (feat. Future),21 Savage; Metro Boomin; Future,677.382,72,76,23
86,No Lie,Sean Paul; Dua Lipa,674.616,72,89,23
87,Work from Home (feat. Ty Dolla $ign),Fifth Harmony; Ty Dolla $ign,674.471,35,82,23
88,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone; J. Davi$; J Spooks,673.108,71,71,23
89,Versace on the Floor,Bruno Mars,668.275,79,87,23
90,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy; Marc E. Bassy,662.671,82,90,23
91,Setting Fires,The Chainsmokers; XYLØ,651.278,66,91,23
92,Too Good,Drake; Rihanna,649.187,60,86,23
93,Panda,Desiigner,642.220,59,81,23
94,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice; Jasmine Thompson; Skizzy Mars,640.106,83,95,23
95,Love Yourself,Justin Bieber,635.116,52,94,23
96,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat; Selena Gomez; Tory Lanez,631.396,71,98,23
97,Shout Out to My Ex,Little Mix,626.797,77,92,23
98,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne; Wiz Khalifa; Imagine Dragons; X Ambassadors; Logic; Ty Dolla $ign,621.349,71,93,23
99,Ay Mi Dios,IAmChino; Pitbull; Yandel; El Chacal,615.639,92,96,23
100,September Song,JP Cooper,608.436,100,111,22
101,Sorry,Justin Bieber,607.387,55,97,23
102,Vacaciones,Wisin,598.893,99,100,23
103,Sneakin’,Drake; 21 Savage,594.284,85,103,23
104,Fresh Eyes,Andy Grammer,593.748,97,113,23
105,Not Going Home,DVBBS; CMC$; Gia Koka,591.722,93,114,22
106,Traicionera,Sebastian Yatra,591.438,71,99,23
107,No Heart,21 Savage; Metro Boomin,588.673,88,104,23
108,The Ocean (feat. Shy Martin),Mike Perry; shy martin,583.850,74,108,23
109,Hymn for the Weekend - Seeb Remix,Coldplay; Seeb,583.532,74,109,23
110,La Bicicleta,Carlos Vives; Shakira,574.545,57,101,23
111,Needed Me,Rihanna,570.598,81,112,23
112,Six Feet Under,The Weeknd,570.016,99,119,23
113,Dile Que Tu Me Quieres,Ozuna,564.996,100,106,23
114,Me llamas (feat. Maluma) - Remix,Piso 21; Maluma,559.646,111,117,23
115,Capsize,FRENSHIP; Emily Warren,558.438,90,118,23
116,Work,Rihanna; Drake,558.322,46,110,23
117,Controlla,Drake,558.035,69,107,23
118,Light,San Holo,556.600,104,115,23
119,Oceans Away,A R I Z O N A,556.448,119,127,14
120,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer; Nyla; Fuse ODG,556.386,70,137,23
121,Love On The Brain,Rihanna,554.876,113,126,23
122,This Town,Niall Horan,551.389,101,121,23
123,Sidewalks,The Weeknd; Kendrick Lamar,551.041,88,123,23
124,Cake - Challenge Version,Flo Rida; 99 Percent,538.983,108,116,17
125,7 Years,Lukas Graham,536.429,86,122,23
126,Cake By The Ocean,DNCE,531.633,53,124,23
