Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Shape of You,Ed Sheeran,7.081.620,1,1,7
2,Castle on the Hill,Ed Sheeran,4.318.590,2,2,7
3,Starboy,The Weeknd; Daft Punk,3.565.509,1,3,12
4,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,3.296.224,4,4,12
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,3.204.571,3,5,12
6,Closer,The Chainsmokers; Halsey,2.978.360,2,6,12
7,Say You Won't Let Go,James Arthur,2.700.028,7,7,12
8,I Feel It Coming,The Weeknd; Daft Punk,2.653.707,8,9,12
9,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,2.629.010,5,8,12
10,Fake Love,Drake,2.574.514,6,10,12
11,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,2.478.495,11,11,12
12,Let Me Love You,DJ Snake; Justin Bieber,2.377.275,3,12,12
13,24K Magic,Bruno Mars,2.255.848,7,13,12
14,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,2.219.271,12,14,12
15,Chantaje (feat. Maluma),Shakira; Maluma,2.155.741,11,15,12
16,Just Hold On,Steve Aoki; Louis Tomlinson,2.097.390,16,16,12
17,Black Beatles,Rae Sremmurd; Gucci Mane,2.042.996,9,17,12
18,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,2.013.911,18,18,12
19,One Dance,Drake; Wizkid; Kyla,1.847.116,5,21,12
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,1.836.586,14,20,12
21,Side To Side,Ariana Grande; Nicki Minaj,1.832.384,17,19,12
22,In the Name of Love,Martin Garrix; Bebe Rexha,1.770.827,14,22,12
23,Mercy,Shawn Mendes,1.709.759,21,23,12
24,All We Know,The Chainsmokers; Phoebe Ryan,1.645.026,22,24,12
25,Starving,Hailee Steinfeld; Grey; Zedd,1.550.515,20,25,12
26,All Night,The Vamps; Matoma,1.501.314,26,26,12
27,My Way,Calvin Harris,1.475.791,23,27,12
28,I Would Like,Zara Larsson,1.472.251,28,28,12
29,Shed a Light,Robin Schulz; David Guetta; Cheat Codes,1.454.321,29,29,12
30,How Far I'll Go - From "Moana",Alessia Cara,1.443.793,30,31,12
31,Scars To Your Beautiful,Alessia Cara,1.431.256,27,30,12
32,Now and Later,Sage The Gemini,1.430.717,32,32,12
33,Hear Me Now,Alok; Zeeba; Bruno Martini,1.422.324,33,35,12
34,Heathens,Twenty One Pilots,1.410.108,25,34,12
35,Love Me Now,John Legend,1.394.997,30,33,12
36,By Your Side,Jonas Blue; RAYE,1.372.950,31,36,12
37,Treat You Better,Shawn Mendes,1.339.849,21,37,12
38,Reggaetón Lento (Bailemos),CNCO,1.289.889,30,38,12
39,Don't Let Me Down,The Chainsmokers; Daya,1.282.768,20,39,12
40,Alone,Alan Walker,1.255.666,37,40,12
41,Bounce Back,Big Sean,1.254.173,41,41,12
42,Caroline,Aminé,1.220.007,41,42,12
43,Photograph,Ed Sheeran,1.152.503,40,43,12
44,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth; Selena Gomez,1.143.421,39,44,12
45,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),Justin Timberlake,1.127.980,19,45,12
46,Broccoli (feat. Lil Yachty),DRAM; Lil Yachty,1.106.037,31,50,12
47,The Greatest (feat. Kendrick Lamar),Sia; Kendrick Lamar,1.088.593,46,46,12
48,Cheap Thrills,Sia,1.083.334,27,49,12
49,Safari,J Balvin; Pharrell Williams; BIA; Sky Rompiendo,1.081.493,33,48,12
50,Solo Dance,Martin Jensen,1.052.594,50,51,12
51,The Mack,Nevada; Mark Morrison; Fetty Wap,1.050.795,36,47,12
52,All Time Low,Jon Bellion,974.033,52,53,12
53,Party Monster,The Weeknd,950.623,53,57,12
54,Human,Rag'n'Bone Man,939.779,52,52,12
55,Make Me (Cry),Noah Cyrus; Labrinth,920.726,55,56,12
56,I Took A Pill In Ibiza - Seeb Remix,Mike Posner; Seeb,912.533,32,54,12
57,Water Under the Bridge,Adele,903.632,55,55,12
58,Vente Pa' Ca (feat. Maluma),Ricky Martin; Maluma,898.144,37,58,12
59,Otra vez (feat. J Balvin),Zion & Lennox; J Balvin,897.522,47,59,12
60,Deja Vu,J. Cole,868.665,54,60,12
61,Sunset Lover,Petit Biscuit,866.960,61,63,12
62,Sexual,NEIKED; Dyo,860.314,51,62,12
63,Thinking out Loud,Ed Sheeran,858.590,54,61,12
64,This Is What You Came For,Calvin Harris; Rihanna,855.303,34,66,12
65,Lot to Learn,Luke Christopher,837.100,62,64,12
66,Don't Leave,Snakehips; MØ,815.871,65,65,7
67,Too Good,Drake; Rihanna,810.033,60,69,12
68,Perfect Strangers,Jonas Blue; JP Cooper,803.834,52,67,12
69,Ride,Twenty One Pilots,802.262,55,68,12
70,iSpy (feat. Lil Yachty),KYLE; Lil Yachty,785.724,70,72,12
71,Work from Home (feat. Ty Dolla $ign),Fifth Harmony; Ty Dolla $ign,780.465,35,71,12
72,Setting Fires,The Chainsmokers; XYLØ,777.994,70,73,12
73,i hate u i love u (feat. olivia o'brien),gnash; Olivia O'Brien,776.141,62,70,12
74,Stressed Out,Twenty One Pilots,771.040,63,75,12
75,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone; J. Davi$; J Spooks,762.978,75,76,12
76,I Got You,Bebe Rexha,756.688,74,74,12
77,Panda,Desiigner,750.596,59,80,12
78,Faded,Alan Walker,741.686,67,78,12
79,X (feat. Future),21 Savage; Metro Boomin; Future,740.309,72,79,12
80,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat; Selena Gomez; Tory Lanez,732.752,72,77,12
81,Love Yourself,Justin Bieber,730.005,52,81,12
82,Work,Rihanna; Drake,711.505,46,87,12
83,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne; Wiz Khalifa; Imagine Dragons; X Ambassadors; Logic; Ty Dolla $ign,705.969,71,82,12
84,Sorry,Justin Bieber,701.906,55,93,12
85,Sneakin’,Drake; 21 Savage,701.330,85,85,12
86,Lighthouse - Andrelli Remix,Hearts & Colors; Andrelli,699.372,85,91,12
87,Versace on the Floor,Bruno Mars,696.746,79,83,12
88,Redbone,Childish Gambino,695.588,83,86,12
89,No Heart,21 Savage; Metro Boomin,693.670,88,88,12
90,The Ocean (feat. Shy Martin),Mike Perry; shy martin,687.198,74,84,12
91,Traicionera,Sebastian Yatra,681.144,71,95,12
92,Hymn for the Weekend - Seeb Remix,Coldplay; Seeb,678.819,74,92,12
93,Weak,AJR,677.991,87,90,12
94,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice; Jasmine Thompson; Skizzy Mars,676.847,86,94,12
95,Sidewalks,The Weeknd; Kendrick Lamar,674.959,88,96,12
96,Shout Out to My Ex,Little Mix,660.575,77,89,12
97,Needed Me,Rihanna,653.740,81,100,12
98,Controlla,Drake,644.935,69,97,12
99,Six Feet Under,The Weeknd,644.913,99,102,12
100,Capsize,FRENSHIP; Emily Warren,644.608,90,99,12
101,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy; Marc E. Bassy,636.211,101,103,12
102,La Bicicleta,Carlos Vives; Shakira,630.783,57,101,12
103,Fresh Eyes,Andy Grammer,624.288,97,98,12
104,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer; Nyla; Fuse ODG,616.244,70,104,12
105,7 Years,Lukas Graham,610.242,86,107,12
106,Cake By The Ocean,DNCE,596.729,53,110,12
107,No Lie,Sean Paul; Dua Lipa,595.963,106,106,12
108,This Town,Niall Horan,594.397,101,105,12
109,Dynamite (feat. Pretty Sister),Nause; Pretty Sister,593.403,109,111,12
110,Dile Que Tu Me Quieres,Ozuna,592.671,100,108,12
111,Ay Mi Dios,IAmChino; Pitbull; Yandel; El Chacal,590.736,105,109,12
112,You Was Right,Lil Uzi Vert,585.920,112,112,12
113,Send My Love (To Your New Lover),Adele,578.271,73,117,12
114,Dancing On My Own,Calum Scott,576.490,108,116,12
115,Into You,Ariana Grande,576.004,63,114,12
116,Love On The Brain,Rihanna,575.339,113,113,12
117,Middle,DJ Snake; Bipolar Sunshine,575.128,99,118,12
118,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper; Lil Wayne; 2 Chainz,569.995,95,125,12
119,September Song,JP Cooper,564.872,115,115,11
120,Swang,Rae Sremmurd,559.376,120,123,12
121,Not Going Home,DVBBS; CMC$; Gia Koka,558.429,118,121,11
122,Juju on That Beat (TZ Anthem),Zay Hilfigerrr; Zayion McCall,551.536,74,122,12
123,Love on Me,Galantis; Hook N Sling,551.253,117,120,12
124,Shaky Shaky,Daddy Yankee,548.894,66,124,12
125,It's Gotta Be You,Isaiah Firebrace,546.071,119,128,10
126,Me llamas (feat. Maluma) - Remix,Piso 21; Maluma,545.510,124,129,12
127,pick up the phone,Young Thug; Travis Scott,544.975,118,130,12
128,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs; Cookin' On 3 Burners,544.003,88,127,12
129,Fast Car,Jonas Blue; Dakota,540.570,94,131,12
130,Lean On (feat. MØ & DJ Snake),Major Lazer; MØ; DJ Snake,539.767,104,133,12
131,Light,San Holo,536.690,125,132,12
132,Touch,Little Mix,536.336,119,119,11
133,Final Song,MØ,529.141,104,126,12
134,Vacaciones,Wisin,521.258,116,137,12
135,Me Myself & I,G-Eazy; Bebe Rexha,513.883,101,140,12
136,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias; Wisin,512.306,75,138,12
137,Hello,Adele,511.377,123,141,12
138,Miss You,James Hersey,504.426,126,134,12
139,Neighbors,J. Cole,504.107,127,136,12
140,The Greatest,Sia,502.821,85,139,12
141,Taped Up Heart (feat. Clara Mae),KREAM; Clara Mae,490.990,141,146,12
142,Roses,The Chainsmokers; ROZES,487.388,121,150,12
143,Cake - Challenge Version,Flo Rida; 99 Percent,486.233,143,143,6
144,OOOUUU,Young M.A,485.096,90,148,12
145,The A Team,Ed Sheeran,483.690,71,135,7
146,Reminder,The Weeknd,482.929,141,156,12
147,Sex,Cheat Codes; Kris Kross Amsterdam,480.933,110,145,12
148,Let It Go,James Bay,480.537,144,144,12
149,Lose Yourself - From "8 Mile" Soundtrack,Eminem,475.388,149,155,12
150,Stitches,Shawn Mendes,473.478,124,152,12
151,Andas En Mi Cabeza,Chino & Nacho; Daddy Yankee,473.043,107,153,12
152,Lush Life,Zara Larsson,472.191,127,154,12
153,Deu Onda,MC G15,468.572,75,142,12
154,Oh Lord,MiC LOWRY,467.249,149,149,12
155,PILLOWTALK,ZAYN,464.328,124,159,12
156,That's What I Like,Bruno Mars,463.894,148,151,12
157,Borro Cassette,Maluma,462.361,106,158,12
158,I See Fire - From "The Hobbit - The Desolation Of Smaug",Ed Sheeran,462.142,115,147,7
159,Oceans Away,A R I Z O N A,462.085,159,160,3
160,The Hills,The Weeknd,459.790,154,163,12
161,Ain't My Fault,Zara Larsson,453.209,129,157,12
162,What Do You Mean?,Justin Bieber,450.412,126,166,12
163,Die For You,The Weeknd,450.137,161,170,12
164,Love$ick (feat. A$AP Rocky),Mura Masa; A$AP Rocky,450.036,161,161,11
165,Low Life (feat. The Weeknd),Future; The Weeknd,449.189,152,171,12
166,Jumpman,Drake; Future,448.390,122,167,12
167,Used to This (feat. Drake),Future; Drake,444.150,164,164,12
168,Moves,Big Sean,443.844,165,165,7
169,Never Be Like You,Flume; kai,443.067,130,179,12
170,Let Me Hold You (Turn Me On),Cheat Codes; Dante Klein,442.468,152,162,12
171,Hotline Bling,Drake,442.423,128,172,12
172,No Role Modelz,J. Cole,439.496,162,175,12
173,Rockin’,The Weeknd,438.055,151,168,12
174,Million Reasons,Lady Gaga,436.298,158,169,11
175,You Don't Know Me (feat. RAYE),Jax Jones; RAYE,433.203,175,177,4
176,goosebumps,Travis Scott,431.897,170,181,10
177,Cuatro Babys (feat. Trap Capos Noriel Bryant Myers & Juhn),Maluma; Trap Capos; Noriel; Bryant Myers; Juhn,428.229,158,174,12
178,Cocoon,Milky Chance,427.730,171,173,11
179,Cool Girl,Tove Lo,422.225,158,180,12
180,Till I Collapse,Eminem; Nate Dogg,418.171,180,182,11
181,Please Don't Go,Joel Adams,416.367,157,186,12
182,Immortal,J. Cole,416.355,146,178,12
183,You & Me,Marc E. Bassy; G-Eazy,414.993,163,184,12
184,Gyal You a Party Animal - Remix,Charly Black; Daddy Yankee,413.277,153,185,12
185,Party (feat. Usher & Gucci Mane),Chris Brown; Usher; Gucci Mane,412.951,183,183,4
186,No Money,Galantis,409.910,130,190,12
187,All of Me,John Legend,409.242,178,188,6
188,Let Her Go,Passenger,406.015,181,187,6
189,Say It,Flume; Tove Lo,405.855,169,191,3
190,Can't Feel My Face,The Weeknd,403.960,156,196,12
191,Tenerife Sea,Ed Sheeran,402.315,143,176,7
192,White Iverson,Post Malone,399.417,188,198,5
193,True Colors,The Weeknd,395.523,179,200,5
194,Secrets,The Weeknd,395.079,174,199,4
195,Chillax (feat. Ky-Mani Marley),Farruko; Ky-Mani Marley,394.650,174,194,3
196,Gold,Kiiara,394.365,151,193,12
197,Stay With Me,Sam Smith,387.791,182,195,5
198,The Scientist,Coldplay,386.649,186,—,1
199,Would I Lie to You - Radio Edit,David Guetta; Cedric Gervais; Chris Willis,385.521,174,192,2
200,Mr. Brightside,The Killers,383.709,192,—,1
