Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Shape of You,Ed Sheeran,7.458.487,1,1,33
2,Paris,The Chainsmokers,4.009.158,2,2,26
3,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,3.826.728,3,3,38
4,Despacito,Luis Fonsi; Daddy Yankee,3.767.920,3,4,25
5,Castle on the Hill,Ed Sheeran,3.171.754,2,5,33
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,3.084.627,3,6,38
7,Scared to Be Lonely,Martin Garrix; Dua Lipa,2.770.680,7,8,12
8,Say You Won't Let Go,James Arthur,2.704.842,7,7,38
9,Starboy,The Weeknd; Daft Punk,2.585.830,1,9,38
10,Closer,The Chainsmokers; Halsey,2.474.521,2,10,38
11,I Feel It Coming,The Weeknd; Daft Punk,2.446.005,7,11,38
12,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,2.418.608,8,12,38
13,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,2.359.040,12,13,38
14,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,2.293.131,5,14,38
15,Chantaje (feat. Maluma),Shakira; Maluma,2.241.192,11,15,38
16,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,2.055.014,16,16,38
17,Just Hold On,Steve Aoki; Louis Tomlinson,2.036.395,15,17,38
18,Issues,Julia Michaels,1.961.432,18,18,22
19,How Far I'll Go - From "Moana",Alessia Cara,1.891.385,19,19,38
20,Fake Love,Drake,1.868.448,6,20,38
21,Bounce Back,Big Sean,1.843.596,19,21,38
22,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer; PARTYNEXTDOOR; Nicki Minaj,1.816.714,22,24,12
23,Let Me Love You,DJ Snake; Justin Bieber,1.765.404,3,22,38
24,24K Magic,Bruno Mars,1.760.564,7,23,38
25,All Night,The Vamps; Matoma,1.709.065,21,25,38
26,Solo Dance,Martin Jensen,1.622.060,25,26,38
27,One Dance,Drake; Wizkid; Kyla,1.555.077,5,27,38
28,Hear Me Now,Alok; Zeeba; Bruno Martini,1.545.439,26,28,38
29,Weak,AJR,1.531.384,29,31,38
30,All Time Low,Jon Bellion,1.527.816,30,30,38
31,Side To Side,Ariana Grande; Nicki Minaj,1.474.473,17,29,38
32,Shed a Light,Robin Schulz; David Guetta; Cheat Codes,1.422.740,29,34,38
33,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,1.416.402,14,32,38
34,Reggaetón Lento (Bailemos),CNCO,1.407.978,30,33,38
35,Now and Later,Sage The Gemini,1.386.176,29,35,38
36,Love Me Now,John Legend,1.366.775,30,36,38
37,In the Name of Love,Martin Garrix; Bebe Rexha,1.358.783,14,37,38
38,El Amante,Nicky Jam,1.332.752,38,40,19
39,Black Beatles,Rae Sremmurd; Gucci Mane,1.327.931,9,38,38
40,Don't Leave,Snakehips; MØ,1.276.724,40,42,33
41,Starving,Hailee Steinfeld; Grey; Zedd,1.266.865,20,39,38
42,I Would Like,Zara Larsson,1.264.446,28,41,38
43,T-Shirt,Migos,1.245.977,37,45,25
44,No Favors,Big Sean; Eminem,1.230.326,37,44,5
45,My Way,Calvin Harris,1.217.431,23,43,38
46,Mercy,Shawn Mendes,1.197.183,21,46,38
47,Alone,Alan Walker,1.154.842,37,47,38
48,Moves,Big Sean,1.117.772,47,49,33
49,All We Know,The Chainsmokers; Phoebe Ryan,1.092.022,22,48,38
50,iSpy (feat. Lil Yachty),KYLE; Lil Yachty,1.056.902,50,53,38
51,Heathens,Twenty One Pilots,1.043.995,25,50,38
52,Otra vez (feat. J Balvin),Zion & Lennox; J Balvin,984.170,47,55,38
53,Scars To Your Beautiful,Alessia Cara,981.438,27,52,38
54,Treat You Better,Shawn Mendes,959.666,21,54,38
55,Caroline,Aminé,950.383,41,57,38
56,Safari,J Balvin; Pharrell Williams; BIA; Sky Rompiendo,941.843,33,56,38
57,Million Reasons,Lady Gaga,926.251,51,51,3
58,Sunset Lover,Petit Biscuit,918.302,55,61,38
59,I Got You,Bebe Rexha,914.022,59,62,38
60,Lot to Learn,Luke Christopher,899.072,57,64,38
61,Water Under the Bridge,Adele,899.008,53,63,38
62,By Your Side,Jonas Blue; RAYE,889.078,31,58,38
63,Human,Rag'n'Bone Man,875.542,51,59,38
64,Don't Let Me Down,The Chainsmokers; Daya,873.199,20,66,38
65,Photograph,Ed Sheeran,864.567,40,65,38
66,You Don't Know Me (feat. RAYE),Jax Jones; RAYE,851.369,60,60,30
67,CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),Justin Timberlake,844.908,19,68,38
68,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth; Selena Gomez,844.241,39,69,38
69,Touch,Little Mix,834.392,67,67,37
70,Make Me (Cry),Noah Cyrus; Labrinth,832.630,52,70,38
71,It's Gotta Be You,Isaiah Firebrace,816.265,68,71,36
72,Vente Pa' Ca (feat. Maluma),Ricky Martin; Maluma,793.295,37,72,38
