Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,Shape of You,Ed Sheeran,6.557.531,1,1,3
2,Castle on the Hill,Ed Sheeran,4.584.668,2,2,3
3,Starboy,The Weeknd; Daft Punk,3.127.938,1,3,8
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit; Sean Paul; Anne-Marie,2.802.693,3,4,8
5,Closer,The Chainsmokers; Halsey,2.697.878,2,5,8
6,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN; Taylor Swift,2.658.820,4,6,8
7,Say You Won't Let Go,James Arthur,2.371.671,7,10,8
8,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5; Kendrick Lamar,2.339.709,5,7,8
9,Fake Love,Drake,2.288.806,6,9,8
10,Let Me Love You,DJ Snake; Justin Bieber,2.197.149,3,8,8
11,I Feel It Coming,The Weeknd; Daft Punk,2.183.331,8,11,8
12,24K Magic,Bruno Mars,2.070.404,7,12,8
13,Black Beatles,Rae Sremmurd; Gucci Mane,1.934.944,9,13,8
14,Call on Me (Ryan Riback Remix),Starley; Ryan Riback,1.912.818,12,15,8
15,Chantaje (feat. Maluma),Shakira; Maluma,1.897.499,11,14,8
16,Bad and Boujee (feat. Lil Uzi Vert),Migos; Lil Uzi Vert,1.746.914,14,18,8
17,Just Hold On,Steve Aoki; Louis Tomlinson,1.742.116,17,19,8
18,One Dance,Drake; Wizkid; Kyla,1.703.538,5,17,8
19,In the Name of Love,Martin Garrix; Bebe Rexha,1.670.391,14,16,8
20,Bad Things (with Camila Cabello),Machine Gun Kelly; Camila Cabello,1.667.236,20,22,8
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,1.663.606,14,20,8
22,Side To Side,Ariana Grande; Nicki Minaj,1.637.378,17,21,8
23,Mercy,Shawn Mendes,1.498.777,21,23,8
24,All We Know,The Chainsmokers; Phoebe Ryan,1.425.231,22,24,8
25,Starving,Hailee Steinfeld; Grey; Zedd,1.373.097,20,26,8
26,My Way,Calvin Harris,1.331.114,23,25,8
27,Heathens,Twenty One Pilots,1.311.680,25,27,8
28,All Night,The Vamps; Matoma,1.276.266,28,29,8
29,Scars To Your Beautiful,Alessia Cara,1.253.173,27,31,8
30,Treat You Better,Shawn Mendes,1.241.574,21,28,8
