ID,Track,Singer(s),Stream
110,Wake Me Up,Avicii,2726210
111,No Guidance (feat. Drake),Chris Brown; Drake,26132505
112,Hate Me (with Juice WRLD),Ellie Goulding; Juice WRLD,27543420
113,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug; Travis Scott; Gunna,24998318
114,WHAT TO DO? (feat. Don Toliver),JACKBOYS; Travis Scott; Don Toliver,7904010
115,High Hopes,Panic! At The Disco,24039384
116,If the World Was Ending (feat. Julia Michaels),JP Saxe; Julia Michaels,38755031
117,SAD!,XXXTENTACION,26277263
118,Que Calor,Major Lazer; J Balvin; El Alfa; Diplo,17462419
119,Talk (feat. Disclosure),Khalid; Disclosure,20031233
120,Had Enough (feat. Quavo & Offset),Don Toliver; Offset; Quavo,8720453
121,Into the Unknown,Idina Menzel; AURORA,16160918
122,Supera - Ao Vivo,Marília Mendonça,761330
123,Better Now,Post Malone,24520941
124,Dancing With A Stranger (with Normani),Sam Smith; Normani,26816476
125,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis; Macklemore; Ryan Lewis; Ray Dalton,759930
126,Otro Trago - Remix,Sech; Ozuna; Anuel AA; Darell; Nicky Jam,22408630
127,Higher Love,Kygo; Whitney Houston,25450344
128,Cheirosa - Ao Vivo,Jorge & Mateus,753095
129,223's (feat. 9lokknine),YNW Melly; 9lokknine,21574717
130,Surtada - Remix Brega Funk,Dadá Boladão; Tati Zaqui; OIK,743853
131,Taki Taki (feat. Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,8809264
132,Graveyard,Halsey,26852257
133,Up All Night,Khalid,13715923
134,QUE PRETENDES,J Balvin; Bad Bunny,23225724
135,bury a friend,Billie Eilish,27214854
136,I Like It,Cardi B; Bad Bunny; J Balvin,713706
137,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,9678287
138,Stuck In A Dream (feat. Gunna),Lil Mosey; Gunna,12144436
139,Havana (feat. Young Thug),Camila Cabello; Young Thug,705143
140,11 PM,Maluma,16278689
141,New Rules,Dua Lipa,700901
142,Panini,Lil Nas X,17412632
143,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,25433993
144,Look At Her Now,Selena Gomez,29018639
145,Legends,Juice WRLD,14308722
146,Say So,Doja Cat,48547874
147,MIDDLE CHILD,J. Cole,21697337
148,MIA,Bad Bunny; Drake,687030
149,July,Noah Cyrus,31367982
150,Liar,Camila Cabello,25243049
151,goosebumps,Travis Scott,24000972
152,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,675777
153,Pa' Olvidarme De Ella,Piso 21; Christian Nodal,23005140
154,Don't Call Me Up,Mabel,11280211
155,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone; Ozzy Osbourne; Travis Scott,11930166
156,One Dance,Drake; Wizkid; Kyla,653196
157,Candy,Doja Cat,2129852
158,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix,Justin Quiles; NATTI NATASHA; Farruko; Lenny Tavárez; Dalex; Zion,22579713
159,The London (feat. J. Cole & Travis Scott),Young Thug; J. Cole; Travis Scott,17287482
160,Some que ele vem atrás,Anitta; Marília Mendonça,647025
161,Perfect,Ed Sheeran,24307851
162,Family,The Chainsmokers; Kygo,8357447
163,Perreo en La Luna,Rich Music LTD; Sech; Dalex; Justin Quiles; Lenny Tavárez; Feid,25234212
164,Baila Conmigo (feat. Kelly Ruiz),Dayvi; Victor Cardenas; Kelly Ruíz,641303
165,Old Town Road,Lil Nas X,3759397
166,Another One Bites The Dust - Remastered 2011,Queen,3885843
167,Say You Won't Let Go,James Arthur,25263867
168,If I Can't Have You,Shawn Mendes,21673780
169,Something Just Like This,The Chainsmokers; Coldplay,10934720
170,Under Pressure - Remastered 2011,Queen; David Bowie,1244316
171,Youngblood,5 Seconds of Summer,20611293
172,ocean eyes,Billie Eilish,23985871
173,Moonlight,XXXTENTACION,20190441
174,Pumped Up Kicks,Foster The People,623950
175,All Girls Are The Same,Juice WRLD,7209894
176,Death,Trippie Redd; DaBaby,9036439
177,Jocelyn Flores,XXXTENTACION,22780042
178,The Middle,Zedd; Maren Morris; Grey,619671
179,Thunder,Imagine Dragons,12049823
180,Africa,TOTO,616152
181,VALENTINO,24kGoldn,6136961
182,Uptown Funk (feat. Bruno Mars),Mark Ronson; Bruno Mars,614459
183,I Like Me Better,Lauv,20701609
184,Hit Contagiante,Felipe Original; MC Kevin o Chris; Sodré; JS o Mão de Ouro,612337
185,Takeaway,The Chainsmokers; ILLENIUM; Lennon Stella,20446809
186,Nice To Meet Ya,Niall Horan,13132616
187,You Need To Calm Down,Taylor Swift,17975179
188,Feel It Still,Portugal. The Man,601606
189,3 Batidas - Ao Vivo,Guilherme & Benuto,601352
190,Never Seen the Rain,Tones And I,27855444
191,Let Me Down Slowly,Alec Benjamin,16940790
192,Turn Me On (feat. Vula),Riton; Oliver Heldens; Vula,22821591
193,Fantasía,Ozuna,7370513
194,Going Bad (feat. Drake),Meek Mill; Drake,12968144
195,Bruises,Lewis Capaldi,28386590
196,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,589282
197,Verdinha,LUDMILLA; Topo La Maskara; Walshy Fire,588554
198,Don't Stop Believin',Journey,586900
199,Nunca Es Suficiente,Los Ángeles Azules; Natalia Lafourcade,586686
200,SUGAR,BROCKHAMPTON,45064450
201,Get You The Moon (feat. Snøw),Kina; Snøw,24043793
202,Be Alright,Dean Lewis,19091028
203,all the good girls go to hell,Billie Eilish,16476347
204,Only Human,Jonas Brothers,22996079
205,Can We Kiss Forever?,Kina; Adriana Proenza,22131442
206,Maniac,Conan Gray,21690456
207,All of Me,John Legend,19444018
208,Lover (Remix) [feat. Shawn Mendes],Taylor Swift; Shawn Mendes,686841
209,Alone Pt. II,Alan Walker; Ava Max,28609223
210,2002,Anne-Marie,8302590
211,3 Nights,Dominic Fike,22550012
212,SLOW DANCING IN THE DARK,Joji,9702320
213,fuck i'm lonely,Lauv; Anne-Marie,7566261
214,wish you were gay,Billie Eilish,11362764
215,Post Malone (feat. RANI),Sam Feldt; RANI,11695543
216,i'm so tired...,Lauv; Troye Sivan,9540582
217,Roller,Apache 207,6850030
218,I.F.L.Y.,Bazzi,17897795
219,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby; Lil Baby; Moneybagg Yo,32669572
220,Never Really Over,Katy Perry,6687886
221,i love you,Billie Eilish,10282049
222,Photograph,Ed Sheeran,7240334
223,GATTI,JACKBOYS; Pop Smoke; Travis Scott,1301913
224,Let Me Know (I Wonder Why Freestyle),Juice WRLD,628927
225,One Thing Right,Marshmello; Kane Brown,3904250
226,Better,Khalid,3951662
227,Boy With Luv (feat. Halsey),BTS; Halsey,8709796
228,comethru,Jeremy Zucker,1846652
229,Yummy,Justin Bieber,142174381
230,Changes,Lauv,807822
231,Wrong Direction,Hailee Steinfeld,677077
232,Ne reviens pas,Gradur; Heuss L'enfoiré,626238
233,In My Mind,Dynoro; Gigi D'Agostino,611800
234,FML,Arizona Zervas,23971260
235,idontwannabeyouanymore,Billie Eilish,4451002
236,Start Wit Me (feat. Gunna),Roddy Ricch; Gunna,7842561
237,GOODMORNINGTOKYO!,TOKYO’S REVENGE,16291924
238,All I Want - From "High School Musical: The Musical: The Series",Olivia Rodrigo; Disney,14774078
239,The Less I Know The Better,Tame Impala,4069717
240,Infeliz,Arcángel; Bad Bunny,20152323
241,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch; A Boogie Wit da Hoodie,5037158
242,Lost In Yesterday,Tame Impala,2868589
243,Life Is Good (feat. Drake),Future; Drake,106500933
244,Rare,Selena Gomez,56849573
245,Good News,Mac Miller,55277641
246,You should be sad,Halsey,53922046
247,Dance Again,Selena Gomez,7223853
248,Vulnerable,Selena Gomez,7308153
249,Eleven,Khalid,28966033
250,Ring,Selena Gomez,5858865
251,Crowded Room (feat. 6LACK),Selena Gomez; 6LACK,5013271
252,People You Know,Selena Gomez,4824958
253,Let Me Get Me,Selena Gomez,2915120
254,Muévelo,Nicky Jam; Daddy Yankee,31242448
255,A Sweeter Place (feat. Kid Cudi),Selena Gomez; Kid Cudi,2878031
256,Kinda Crazy,Selena Gomez,2106482
257,Sum 2 Prove,Lil Baby,21593035
258,Cut You Off,Selena Gomez,1999060
259,Morado,J Balvin,33442683
260,Fun,Selena Gomez,1816271
261,Diamonds (with Normani),Megan Thee Stallion; Normani,2878811
262,High Fashion (feat. Mustard),Roddy Ricch; Mustard,26003146
263,Kraazy,Likybo,2016671
264,Me Gusta,Shakira; Anuel AA,26090274
265,Peta (feat. Meek Mill),Roddy Ricch; Meek Mill,685719
266,Godzilla (feat. Juice WRLD),Eminem; Juice WRLD,78346951
267,Unaccommodating (feat. Young M.A),Eminem; Young M.A,20652019
268,Those Kinda Nights (feat. Ed Sheeran),Eminem; Ed Sheeran,25605613
269,You Gon’ Learn (feat. Royce Da 5'9" & White Gold),Eminem; Royce Da 5'9"; White Gold,22261149
270,Premonition - Intro,Eminem,11305998
271,Darkness,Eminem,23591149
272,Black Swan,BTS,27155075
273,Blue World,Mac Miller,20288775
274,In Too Deep,Eminem,12714368
275,Leaving Heaven (feat. Skylar Grey),Eminem; Skylar Grey,16368582
276,Complicated,Mac Miller,9363971
277,I Can See,Mac Miller,10002673
278,What A Man Gotta Do,Jonas Brothers,30598490
279,Hand Me Downs,Mac Miller,10209335
280,Alfred - Interlude,Eminem,6480928
281,Stepdad,Eminem,9730551
282,Yah Yah (feat. Royce Da 5'9" Black Thought Q-Tip & Denaun),Eminem; Royce Da 5'9"; Black Thought; Q-Tip; Denaun,9329598
283,Everybody,Mac Miller,7381446
284,Marsh,Eminem,9897849
285,Woods,Mac Miller,8206216
286,No Regrets (feat. Don Toliver),Eminem; Don Toliver,10821337
287,Lock It Up (feat. Anderson .Paak),Eminem; Anderson .Paak,10662701
288,Never Love Again,Eminem,8882697
289,Little Engine,Eminem,7717040
290,Farewell,Eminem,8836673
291,That's On Me,Mac Miller,5180339
292,Surf,Mac Miller,6215704
293,I Will (feat. KXNG Crooked Royce Da 5'9" & Joell Ortiz),Eminem; KXNG Crooked; Royce Da 5'9"; Joell Ortiz,6231281
294,Hands,Mac Miller,4117806
295,Still Learning,Halsey,6894580
296,Once A Day,Mac Miller,4877180
297,Kein Wort,Juju; Loredana; Miksu / Macloud,15760010
298,Big Drip,Ufo361; Future,2983865
299,me & ur ghost,blackbear,13846784
300,Me & You Together Song,The 1975,1184536
301,Alfred - Outro,Eminem,1967538
302,Blanche,Maes; Booba,2694164
303,Ashley,Halsey,1036558
304,Tattoos Together,Lauv,1018783
305,3am,Halsey,1004137
306,Dans l'espace (feat. Heuss l'Enfoiré),Gambi; Heuss L'enfoiré,3262376
307,Distant,Maes; Ninho,900433
308,Dybala,Maes; Jul,866308
309,SUGA's Interlude,Halsey; SUGA; BTS,833873
310,Finally // beautiful stranger,Halsey,811128
311,I HATE EVERYBODY,Halsey,804865
312,Tudo Ok,Thiaguinho MT; Mila; JS o Mão de Ouro,11520546
313,Break My Stride,Matthew Wilder,12496634
314,Sunday Best,Surfaces,13876787
315,Simmer,Hayley Williams,803506
316,Calmo - feat. tha Supreme,Shiva; thasup,788015
317,What If I Told You That I Love You,Ali Gatie,14577405
318,Forever Yours - Avicii Tribute,Kygo; Avicii; Sandro Cavazza,8685097
319,Donuts,Gzuz,6446981
320,B.I.T.C.H.,Megan Thee Stallion,2504962
321,Zu Ende,Samra; ELIF,2280686
322,Kommunikation,Eno; Nimo,794366
323,Juro Que,ROSALÍA,757746
324,Graveto - Ao Vivo,Marília Mendonça,690454
325,changes,XXXTENTACION,623745
326,Anyone,Demi Lovato,5088398
327,you should see me in a crown,Billie Eilish,4327659
328,xanny,Billie Eilish,3069995
329,EARFQUAKE,Tyler; The Creator,3912640
330,my strange addiction,Billie Eilish,1359522
331,Girl,Myke Towers,3783072
332,Get Me,Justin Bieber; Kehlani,6538029
333,Physical,Dua Lipa,2828437
334,I Do It (ft. Big Sean Lil Baby),Lil Wayne; Big Sean; Lil Baby,1571690
335,Baby,Joker Bra; VIZE,1201937
336,Only The Young - Featured in Miss Americana,Taylor Swift,1158087
337,King Of My City,A Boogie Wit da Hoodie,1094701
338,Mon Ami,Samra,1056642
339,Funeral,Lil Wayne,909626
340,Mahogany,Lil Wayne,871511
341,Rodeo - feat. Nas,Lil Nas X; Nas,867581
342,Nice to Meet Ya (feat. Nicki Minaj),Meghan Trainor; Nicki Minaj,864344
343,GUESS WHAT (feat. Rick Ross),Russ; Rick Ross,855371
344,Momentary Bliss (feat. slowthai and Slaves),Gorillaz; slowthai; SOFT PLAY,788712
345,Mama Mia,Lil Wayne,770955
